grp , pp , S , IDR , IDL , decTimeL , MTL , peakVelR , maxangleR , rho , circularityR , accQL , accTimeR , q4L , Rf , q2L , IPerfEfL , q3L , accQR , q2R , flsAmp , peakVelL , phDiffStd , MTR , decTimeR , IPerfR , IPerfL , circularityL , phDiffMean , IPerfEfR , q3R , maxangleL , flsPC , q1L , accTimeL , q4R , q1R , Lf
2,1,4,2,2,0.49467,0.75385,0.24218,0.31075,1,0.81701,1.1827,0.49297,0.80735,0.64248,0.76482,5.6459,0.91702,1.2202,0.68968,0.16245,0.2268,0.0036692,0.7544,0.50838,5.3928,3.5059,0.83506,0.06713,5.9219,0.87059,0.25563,0.17671,0.92849,0.50668,0.71306,0.97447,0.64248
2,1,4,2,2,0.48887,0.77484,0.22192,0.5905,1,0.82789,1.1083,0.5025,0.84028,0.65104,0.7783,4.9738,0.92029,1.1155,0.61363,0.16865,0.20828,0.0022955,0.77453,0.4988,5.1783,3.36,0.87858,0.096293,5.8664,0.84621,0.50652,0.1755,0.94805,0.51242,0.75144,0.89063,0.65104
2,1,4,2,2,0.49258,0.71945,0.25051,0.55702,1,0.7964,1.0939,0.5066,0.71642,0.69754,0.73877,5.1467,0.86555,1.1112,0.60245,0.17059,0.24397,0.0050415,0.70947,0.49522,7.2757,3.6214,0.80879,0.099174,8.1524,0.81389,0.32723,0.17602,0.87653,0.50881,0.7122,0.90318,0.69754
2,1,4,3,1,0.487,1.247,0.19649,0.50281,1,0.74231,1.3703,0.51018,0.57302,0.40023,0.60022,4.404,0.88382,1.2397,0.61132,0.11909,0.18851,0.0013931,1.2,0.49106,3.2356,4.2962,0.71047,0.11209,5.4724,0.77596,0.44152,0.17668,0.88906,0.5138,0.54068,0.81526,0.40023
2,1,4,3,1,0.48068,1.0856,0.1928,0.54822,1,0.76581,1.2424,0.50281,0.59447,0.45461,0.64228,4.9532,0.93539,1.1851,0.51411,0.12746,0.20493,0.0030349,1.0449,0.49856,3.5545,4.9525,0.6901,0.11753,5.4432,0.80049,0.40024,0.1763,0.88412,0.52025,0.58589,0.77658,0.45461
2,1,4,3,1,0.46632,1.1494,0.21766,0.52411,1,0.72985,1.225,0.50695,0.66497,0.43597,0.63504,4.6731,0.85849,1.3223,0.45846,0.12899,0.21409,0.0026298,1.1423,0.49394,2.3085,4.6998,0.72105,0.1039,3.3651,0.68138,0.33204,0.17676,0.84441,0.53456,0.62143,0.73352,0.43597
2,1,4,3,2,0.51448,0.51665,0.31464,0.3732,1,0.82135,1.1142,0.47075,0.8324,0.9375,0.86604,6.894,0.88616,1.1981,0.80396,0.17672,0.29633,0.0077815,0.51622,0.5312,5.0599,5.0478,0.86604,0.12664,7.2211,0.93605,0.26446,0.1761,0.99729,0.48747,0.7271,0.97017,0.9375
2,1,4,3,2,0.50743,0.37198,0.39842,0.17407,1,0.86713,1.0418,0.46431,0.90218,1.2817,0.85053,9.8079,0.8571,1.1805,0.84729,0.17323,0.37698,0.0057406,0.37172,0.5384,7.0293,7.022,0.90537,0.14965,9.8908,0.83635,0.17747,0.17658,0.93939,0.49527,0.83057,0.93759,1.2817
2,1,4,3,2,0.48337,0.3056,0.47542,0.13029,1,0.84551,0.94998,0.49678,0.91287,1.4273,0.85805,9.2036,0.80705,1.052,0.8392,0.15933,0.44378,0.015031,0.30584,0.50658,8.7324,8.7414,0.86177,0.054643,10.067,0.74706,0.11639,0.17512,0.77414,0.51999,0.94923,0.79432,1.4273
2,1,7,1,1,0.46523,1.465,0.16524,0.32109,1,0.6857,1.1406,0.52426,0.61051,0.32552,0.6439,4.154,0.77522,1.1295,0.59022,0.10862,0.1779,0.0020754,1.2796,0.47782,11.087,4.002,0.68259,0.089375,12.988,0.76556,0.29547,0.17652,0.68403,0.53552,0.57477,0.59143,0.32552
2,1,7,1,1,0.45136,1.5397,0.16599,0.33304,1,0.72204,1.0608,0.51122,0.58799,0.31346,0.61534,3.546,0.75269,1.2817,0.60258,0.10052,0.18269,0.0032598,1.3879,0.49041,8.6422,3.5125,0.7151,0.022197,8.707,0.77527,0.38684,0.17676,0.82684,0.5493,0.6129,0.7704,0.31346
2,1,7,1,1,0.49034,1.4551,0.16805,0.33307,1,0.73484,1.2431,0.52903,0.59959,0.35095,0.60951,3.732,0.67992,1.0812,0.59003,0.11572,0.19019,0.0046049,1.2344,0.47305,11.051,3.7273,0.67089,0.057583,10.93,0.79796,0.27704,0.17642,0.80255,0.51036,0.63988,0.65203,0.35095
2,1,7,1,2,0.47832,0.558,0.10393,0.22426,3.0435,0.81116,0.97839,0.46155,0.78897,0.28796,0.8449,5.9331,0.8414,1.3998,0.71905,0.116,0.27111,0.9772,1.4925,0.53993,7.9043,4.706,0.77808,2.3544,7.2577,0.77958,0.18962,0.10426,0.82638,0.52349,0.70689,0.79757,0.8764
2,1,7,1,2,0.47482,0.57085,0.10419,0.26246,3.1923,0.85838,0.95195,0.47151,0.84856,0.28212,0.83734,5.9824,0.76186,1.4114,0.72672,0.089396,0.26879,0.96,1.4883,0.53,8.0566,4.6013,0.81345,-0.25805,5.4931,0.7608,0.21466,0.082264,0.75984,0.52695,0.72071,0.85611,0.90061
2,1,7,1,2,0.47297,0.55329,0.095817,0.2857,3.125,0.78741,0.94189,0.44782,0.76039,0.28238,0.90366,5.69,0.72753,1.4435,0.67174,0.11861,0.28444,0.96667,1.3282,0.55474,13.62,4.748,0.84996,-2.8004,12.76,0.71641,0.20062,0.10695,0.74493,0.52885,0.63246,0.93881,0.88244
2,1,7,2,1,0.48714,1.2974,0.19662,0.27325,1,0.66862,1.2607,0.50217,0.60446,0.40109,0.55301,4.456,0.74544,1.2318,0.63659,0.11763,0.19244,0.0012298,1.2946,0.49861,3.1121,4.1591,0.64253,0.069314,3.3811,0.83117,0.25133,0.17654,0.71031,0.51365,0.65903,0.72501,0.40109
2,1,7,2,1,0.48694,1.1584,0.18507,0.5458,1,0.71019,1.192,0.52803,0.58072,0.40838,0.61158,6.5778,0.76796,1.069,0.60514,0.12181,0.17168,0.0017141,1.2072,0.47281,3.3321,6.5756,0.7786,0.095265,3.5072,0.85091,0.37931,0.17671,0.83908,0.51429,0.56814,0.76423,0.40838
2,1,7,2,1,0.49609,1.1352,0.17885,0.5071,1,0.72027,1.2996,0.48679,0.67376,0.43634,0.5624,4.8478,0.8949,1.2385,0.73146,0.11759,0.17646,0.0023363,1.1334,0.5141,3.559,4.7373,0.75713,0.14447,3.6094,0.62134,0.45331,0.17515,0.87721,0.5048,0.6203,0.82009,0.43634
2,1,7,2,2,0.46082,0.50659,0.14309,0.27047,1.9677,0.81451,0.89498,0.45696,0.78694,0.51311,0.79362,5.9815,0.85267,1.3887,0.65857,0.15149,0.32032,0.98897,0.97532,0.54465,6.4496,5.1751,0.80621,2.8996,6.7688,0.62761,0.22281,0.15204,0.75539,0.54117,0.79519,0.81864,1.0097
2,1,7,2,2,0.48606,0.52145,0.16955,0.18526,1.8462,0.78175,0.98337,0.42436,0.8055,0.51818,0.84725,6.6958,0.87815,1.4842,0.69816,0.17507,0.32351,0.94984,0.94587,0.57697,5.2861,5.0158,0.82846,-1.1893,5.8342,0.636,0.18642,0.17225,0.79936,0.51587,0.81934,0.87306,0.95663
2,1,7,2,2,0.49381,0.53435,0.15828,0.3147,2,0.82062,1.0513,0.42419,0.75777,0.47084,0.79722,6.6065,0.91535,1.5471,0.73395,0.17443,0.30824,0.44667,0.98698,0.5775,6.7595,4.9134,0.79807,-2.0141,7.3655,0.63615,0.27156,0.17032,0.85809,0.50808,0.81402,0.97028,0.94169
2,1,7,3,1,0.49979,1.8716,0.31135,0.2349,4.44,0.8441,1.1565,0.5026,0.71814,1.0733,0.54435,8.567,0.75293,1.0152,0.84843,8.5685e-05,0.097666,0.98702,0.46399,0.49956,5.6172,8.2823,0.79953,-1.2873,7.8731,0.81865,0.30487,0.00012301,0.81068,0.50176,0.82401,0.81825,0.24172
2,1,7,3,1,0.50541,1.8283,0.31688,0.11966,4.2222,0.81214,1.2565,0.50221,0.68628,1.0308,0.70488,7.732,0.78866,1.0223,0.82911,4.5358e-05,0.085913,0.97115,0.46802,0.49994,5.5999,8.1708,0.76984,-1.2334,7.5997,0.69308,0.24854,6.4326e-05,0.8345,0.49612,0.82186,0.75237,0.24414
2,1,7,3,1,0.51921,1.9672,0.33471,0.26444,4.6429,0.85448,1.3073,0.51198,0.66967,1.1335,0.79414,5.7819,0.77863,0.97414,0.8314,8.5058e-05,0.096013,0.96463,0.43635,0.49032,5.9794,5.4311,0.82568,-1.7129,8.1345,0.81133,0.34222,0.0001591,0.82258,0.48181,0.87294,0.81769,0.24414
