grp , pp , S , ID , Uq1R , UaccTimeR , Uq3R , UdecTimeR , UpeakVelR , UmaxangleR , UIPerfR , UcircularityR , UMTR , Uq2R , UIPerfEfR , UaccQR , Uq4R
2,4,1,2,0.89939,0.51062,0.88748,0.49114,0.27666,0.33712,7.0232,0.82184,0.57138,0.75091,8.0535,0.98954,0.80034
2,4,1,3,0.74046,0.54542,0.85903,0.45766,0.5368,0.17976,7.9928,0.79799,0.33055,0.7716,11.145,0.84623,0.74675
2,4,1,3,0.76044,0.55508,0.7475,0.44829,0.54433,0.16589,8.7706,0.81096,0.30972,0.89056,11.417,0.80996,0.84123
2,4,1,3,0.88449,0.53981,0.82275,0.46379,0.5639,0.11931,9.3549,0.82425,0.28174,0.84847,10.648,0.86438,0.8927
2,4,4,1,0.63952,0.5195,0.7534,0.48151,0.21724,0.19065,5.3957,0.62474,0.99873,0.58212,5.6342,1.1216,0.63972
2,4,4,1,0.8121,0.52684,0.82248,0.47423,0.21513,0.31964,5.6895,0.70887,0.94357,0.57848,6.0575,1.1462,0.60987
2,4,4,1,0.79772,0.51912,0.87729,0.48188,0.19297,0.36102,5.3435,0.72891,1.0037,0.65462,5.4763,1.2209,0.64635
2,4,4,2,0.7491,0.52642,0.80691,0.47519,0.27034,0.50868,6.4499,0.79445,0.62265,0.75646,7.5056,0.93001,0.75379
2,4,4,2,0.90936,0.52691,0.89601,0.4748,0.28658,0.57469,6.8055,0.8293,0.58974,0.69131,7.2602,0.92209,0.80845
2,4,4,2,0.67855,0.52892,0.92153,0.47276,0.27862,0.64215,6.714,0.74989,0.59788,0.64979,8.0287,0.91167,0.7323
2,4,4,3,0.90768,0.53754,0.89274,0.46613,0.5596,0.1607,9.5332,0.87107,0.27463,0.84601,13.425,0.87114,0.83191
2,4,4,3,0.827,0.53968,0.85417,0.46445,0.60943,0.20448,10.735,0.84674,0.24308,0.8916,14.666,0.86462,0.81927
2,4,4,3,0.87593,0.53491,0.9347,0.46902,0.57237,0.21746,10.22,0.89194,0.25581,0.93398,12.67,0.88025,0.80676
2,4,7,1,0.85914,0.55126,0.95315,0.44975,0.19227,0.68552,5.3507,0.77628,1.0101,0.61608,5.6623,1.0191,0.71407
2,4,7,1,0.94383,0.53779,0.9625,0.46394,0.18228,0.78949,9.224,0.78612,0.95924,0.56265,9.8419,1.0695,0.72185
2,4,7,1,0.98956,0.53941,0.99917,0.46164,0.2052,0.48316,5.5732,0.82997,0.97052,0.61833,5.9251,1.1597,0.70984
2,4,7,2,0.84829,0.51584,0.88173,0.48588,0.28006,0.35008,6.8572,0.77164,0.58688,0.76707,7.6291,0.96676,0.74701
2,4,7,2,0.83491,0.51423,0.87441,0.48769,0.31794,0.50386,7.6607,0.80197,0.52383,0.72985,8.3987,0.96637,0.85004
2,4,7,2,0.81104,0.50704,0.83922,0.49506,0.33978,0.3915,8.4043,0.77624,0.47732,0.68573,9.4318,0.9909,0.81385
2,4,7,3,0.89989,0.5253,0.87481,0.47815,0.5629,0.31721,8.9552,0.87916,0.29317,0.89937,12.927,0.91367,0.74515
2,4,7,3,0.83973,0.53359,0.90997,0.47063,0.60308,0.19936,10.964,0.84283,0.2387,0.85333,16.846,0.88526,0.82784
2,4,7,3,0.89204,0.55131,0.92092,0.45355,0.64984,0.21057,12.655,0.88761,0.2059,0.88898,16.525,0.82702,0.86321
2,5,1,1,0.75703,0.48821,0.628,0.51334,0.16883,0.2173,8.2145,0.63399,1.1552,0.56899,8.4914,1.277,0.64177
2,5,1,1,0.67323,0.49544,0.83847,0.50607,0.15131,0.19015,8.0046,0.7568,1.2126,0.63248,8.4349,1.255,0.65771
2,5,1,1,0.78675,0.49432,0.74872,0.50773,0.15341,0.34097,10.889,0.7469,1.0646,0.63243,10.704,1.2463,0.58536
2,5,1,2,0.81305,0.51258,0.92461,0.48956,0.19274,0.18164,8.5286,0.74885,0.74183,0.7073,7.5039,1.0639,0.68016
2,5,1,2,0.83696,0.50324,0.86563,0.49817,0.20702,0.29532,5.6264,0.82616,0.78713,0.67579,5.8404,1.0866,0.71139
2,5,1,2,0.62837,0.51429,0.66327,0.48823,0.18922,0.31061,10.09,0.72025,0.76503,0.57199,8.6487,1.062,0.62918
2,5,1,3,0.80482,0.50532,0.79405,0.49663,0.27648,0.2512,5.068,0.77844,0.5152,0.78327,6.8464,1.0005,0.76947
2,5,1,3,0.78671,0.51843,0.87243,0.48358,0.28651,0.23141,5.2272,0.83502,0.4984,0.78841,7.0151,0.9404,0.83502
2,5,1,3,0.9258,0.5243,0.82653,0.4777,0.28688,0.18319,5.1867,0.8606,0.50302,0.81742,7.4382,0.92191,0.86615
2,5,4,1,0.69504,0.50909,0.66424,0.493,0.1914,0.21101,11.134,0.69777,0.91131,0.65837,9.9576,1.0826,0.61051
2,5,4,1,0.84172,0.51912,0.91949,0.48223,0.18799,0.20891,7.1633,0.64659,1.0953,0.59784,6.9114,1.1686,0.56427
2,5,4,1,0.71877,0.52167,0.85812,0.47934,0.20578,0.28656,5.3265,0.73883,1.005,0.68578,5.4685,1.0437,0.62224
2,5,4,2,0.77274,0.51652,0.76397,0.48531,0.30601,0.25769,7.305,0.79149,0.54975,0.78971,7.854,0.94559,0.81341
2,5,4,2,0.8054,0.52241,0.84681,0.47934,0.28782,0.26216,6.9663,0.80075,0.57693,0.78698,7.764,0.93083,0.77049
2,5,4,2,0.86155,0.51565,0.88453,0.48637,0.32802,0.41383,8.1114,0.82665,0.49407,0.79369,8.8023,0.95471,0.71823
2,5,4,3,0.88016,0.53549,0.88763,0.46784,0.44635,0.26266,8.6494,0.88171,0.30136,0.90841,12.924,0.87805,0.88215
2,5,4,3,0.81313,0.53504,0.87734,0.46852,0.45114,0.21201,9.2384,0.88254,0.2822,0.90125,12.269,0.88329,0.81151
2,5,4,3,0.82874,0.53471,0.85559,0.46898,0.48037,0.14924,9.5982,0.86875,0.27169,0.91447,13.345,0.88578,0.83875
2,5,7,1,0.5232,0.53547,0.74796,0.46578,0.2223,0.27775,6.6557,0.71339,0.84512,0.64495,5.3843,0.94745,0.66019
2,5,7,1,0.62567,0.51594,0.77075,0.48554,0.25805,0.41268,7.8554,0.62302,0.7269,0.64145,7.4112,1.0207,0.57504
2,5,7,1,0.61318,0.51628,0.75415,0.48545,0.24707,0.57708,9.1954,0.71784,0.69854,0.62352,7.7559,0.9874,0.63026
2,5,7,2,0.84284,0.5281,0.82339,0.47428,0.35256,0.15566,9.4885,0.77688,0.43567,0.85681,6.464,0.91419,0.67102
2,5,7,2,0.82466,0.52839,0.90037,0.4741,0.39254,0.43308,9.9648,0.83863,0.40226,0.82395,10.399,0.90282,0.78079
2,5,7,2,0.84596,0.52046,0.88685,0.48211,0.39294,0.3616,10.265,0.83802,0.39026,0.79868,11.049,0.93366,0.83747
2,5,7,3,0.84887,0.53854,0.88168,0.46487,0.44088,0.24862,8.8509,0.81149,0.29509,0.91182,11.263,0.86943,0.79725
2,5,7,3,0.85166,0.53889,0.9611,0.46462,0.47566,0.28647,9.124,0.84731,0.28569,0.84095,12.967,0.86532,0.83125
2,5,7,3,0.86385,0.54064,0.93686,0.46294,0.47957,0.21966,9.3189,0.85973,0.27948,0.88233,12.32,0.86126,0.84146
1,6,1,1,0.79089,0.48239,0.8727,0.51975,0.14695,0.32986,11.392,0.73172,1.2299,0.67481,12.06,1.3785,0.59847
1,6,1,1,0.8353,0.50575,0.85104,0.49473,0.099285,0.21271,2.5262,0.73944,2.1759,0.60574,2.7447,1.3348,0.61979
1,6,1,1,0.90163,0.49606,0.82917,0.50467,0.13747,0.43844,3.8502,0.82782,1.3968,0.68557,3.8574,1.2245,0.68423
1,6,1,2,0.84831,0.48209,0.74354,0.51915,0.15435,0.24002,4.9598,0.81252,1.0603,0.71818,4.2329,1.26,0.60449
1,6,1,2,0.85516,0.45118,0.88467,0.55143,0.17492,0.19907,10.431,0.77959,0.85626,0.68182,10.315,1.3463,0.71621
1,6,1,2,0.74911,0.49336,0.62161,0.51116,0.069134,0.33189,18.112,0.60554,0.65332,0.70615,9.1472,1.1532,0.62861
1,6,1,3,0.74264,0.48668,0.71408,0.51491,0.1838,0.11402,4.1214,0.72817,0.87422,0.76076,5.5924,1.2186,0.7218
1,6,1,3,0.90573,0.47659,0.83754,0.52442,0.15596,0.2494,2.6195,0.79895,1.0026,0.77101,3.6601,1.1753,0.77552
1,6,1,3,0.83307,0.48157,0.80916,0.51949,0.17032,0.19583,2.7547,0.826,0.95233,0.77714,4.4146,1.2634,0.77815
1,6,4,1,0.77533,0.47736,0.7623,0.5239,0.18327,0.44769,6.6915,0.65832,1.0896,0.59887,6.7117,1.2125,0.60522
1,6,4,1,0.70285,0.49342,0.65961,0.5098,0.14644,0.23806,17.152,0.68312,0.98255,0.64199,18.097,1.1514,0.64663
1,6,4,1,0.66224,0.48203,0.73873,0.52113,0.15654,0.43332,16.85,0.67825,0.97314,0.57824,17.931,1.1781,0.5991
1,6,4,2,0.82765,0.48256,0.7582,0.51919,0.20154,0.29441,7.0047,0.74281,0.89021,0.7047,8.0672,1.1303,0.69912
1,6,4,2,0.72537,0.4692,0.71293,0.53219,0.25004,0.40997,5.5358,0.72256,0.72779,0.74077,6.5299,1.1462,0.67575
1,6,4,2,0.86479,0.47669,0.68322,0.52466,0.23951,0.43842,5.3852,0.77841,0.74793,0.74155,6.0728,1.1121,0.78405
1,6,4,3,0.83352,0.49233,0.88638,0.50933,0.2743,0.27036,4.3342,0.83941,0.60126,0.8031,5.7092,1.051,0.81931
1,6,4,3,0.78409,0.51405,0.8027,0.48768,0.27286,0.3526,4.5201,0.7566,0.57593,0.80309,7.3291,0.95392,0.76773
1,6,4,3,0.86256,0.50162,0.8225,0.50006,0.27007,0.2512,4.3543,0.8272,0.59886,0.86977,5.4266,1.0061,0.83154
1,6,7,1,0.67443,0.49,0.68199,0.51375,0.14794,0.2552,19.968,0.64599,1.0098,0.61395,23.042,1.1987,0.61341
1,6,7,1,0.66731,0.48698,0.60153,0.51623,0.15306,0.18348,17.06,0.67079,1.035,0.65745,19.096,1.2271,0.62127
1,6,7,1,0.81647,0.4668,0.67944,0.53639,0.1658,0.21087,17.025,0.68205,0.98557,0.6697,18.217,1.3034,0.58605
1,6,7,2,0.75252,0.46682,0.65807,0.53466,0.2568,0.41902,5.8977,0.79429,0.68538,0.78629,7.2307,1.1549,0.81247
1,6,7,2,0.80791,0.47651,0.73681,0.52504,0.26712,0.40328,6.1987,0.7698,0.64961,0.7802,7.7709,1.1182,0.69426
1,6,7,2,0.82371,0.45346,0.71871,0.54809,0.26622,0.2588,6.1947,0.80599,0.6529,0.79523,6.9165,1.2312,0.80959
1,6,7,3,0.86147,0.48703,0.89578,0.51457,0.2524,0.24569,4.1504,0.77178,0.62814,0.79012,6.5813,1.0645,0.77686
1,6,7,3,0.95984,0.48627,0.82309,0.51549,0.27355,0.32519,4.5656,0.8492,0.57091,0.88872,7.3097,1.0763,0.82791
1,6,7,3,0.93933,0.46725,0.77408,0.53456,0.27656,0.4218,4.6939,0.79396,0.55598,0.82122,7.1483,1.1568,0.76616
2,7,1,1,0.82276,0.49888,0.88781,0.50215,0.13436,0.24717,5.4584,0.7199,1.2677,0.64087,5.1843,1.2708,0.6756
2,7,1,1,0.62447,0.50667,0.75451,0.49546,0.13846,0.18462,11.317,0.70632,1.0886,0.67709,10.444,1.1439,0.69902
2,7,1,1,0.82038,0.49875,0.82526,0.50313,0.14013,0.4049,9.9829,0.73339,1.0143,0.62495,9.6705,1.1617,0.70317
