grp , pp , S , ID , UIPerfEfL , Uq1L , UpeakVelL , Uq3L , Uq2L , Uq4L , UaccQL , UcircularityL , UIPerfL , UaccTimeL , UdecTimeL , UMTL , UmaxangleL
2,4,7,2,12.831,0.87381,0.60369,0.92434,0.91998,0.84201,0.8537,0.8952,11.135,0.54388,0.4604,0.23396,0.26741
2,4,7,2,14.302,0.86176,0.601,0.91866,0.85813,0.81204,0.84667,0.86218,11,0.54575,0.45848,0.23796,0.23447
2,5,1,1,3.8084,0.7745,0.14687,0.87306,0.61446,0.61696,1.1659,0.6414,3.748,0.50643,0.49428,1.4541,0.15794
2,5,1,1,7.9592,0.78857,0.15463,0.695,0.57334,0.61484,1.1954,0.69847,7.8672,0.50842,0.49306,1.2805,0.2093
2,5,1,1,6.1234,0.77175,0.16136,0.79111,0.60225,0.57137,1.1846,0.62096,6.2201,0.51372,0.48745,1.2408,0.21416
2,5,1,2,5.6644,0.79733,0.23333,0.8126,0.8523,0.83688,1.0473,0.82649,4.3522,0.49845,0.50323,0.62043,0.12866
2,5,1,2,7.6348,0.84887,0.30651,0.81199,0.8241,0.88551,0.96188,0.84338,5.47,0.51315,0.48896,0.47784,0.23318
2,5,1,2,7.0772,0.83361,0.30176,0.83818,0.87032,0.85298,0.97893,0.86102,5.4062,0.50936,0.49272,0.48343,0.15474
2,5,4,1,4.628,0.73491,0.15883,0.73212,0.62705,0.54181,1.3268,0.70137,4.4554,0.50343,0.4974,1.2052,0.2401
2,5,4,1,5.0761,0.69713,0.19442,0.7054,0.67762,0.64582,1.1909,0.68945,4.9032,0.51579,0.48513,1.098,0.21406
2,5,4,1,5.6078,0.76017,0.19455,0.7117,0.56716,0.6602,1.1024,0.73613,5.2655,0.52008,0.48091,1.0166,0.31642
2,5,4,2,11.085,0.82857,0.46574,0.962,0.85877,0.87505,0.89983,0.83017,8.3019,0.52987,0.47332,0.31407,0.23695
2,5,4,2,9.5547,0.84156,0.43637,0.87762,0.87258,0.8218,0.9323,0.8586,7.6887,0.52162,0.48134,0.33906,0.19724
2,5,4,2,11.402,0.8325,0.42524,0.91597,0.85857,0.87896,0.89451,0.87439,7.9884,0.53137,0.4717,0.32668,0.23642
2,5,7,1,5.8537,0.80031,0.20228,0.83914,0.54983,0.6387,1.2867,0.68172,5.3462,0.5074,0.49361,1.0034,0.2143
2,5,7,1,5.7228,0.75286,0.1953,0.84548,0.55937,0.58555,1.2354,0.73019,5.5006,0.50697,0.49407,0.97228,0.32283
2,5,7,1,5.1827,0.90706,0.16994,0.95175,0.60621,0.57212,1.3284,0.76251,4.8376,0.51451,0.4864,1.1052,0.33743
2,5,7,2,12.515,0.89139,0.46301,0.89594,0.85642,0.81245,0.96606,0.83581,8.3282,0.51189,0.49132,0.31332,0.20994
2,5,7,2,12.291,0.82072,0.49122,0.87912,0.86151,0.8893,0.95092,0.87003,9.1049,0.51564,0.48787,0.28627,0.1934
2,5,7,2,10.148,0.80265,0.51576,0.94652,0.83152,0.79769,1.0129,0.85859,9.3429,0.50046,0.50313,0.27881,0.24263
1,6,1,1,12.486,0.73907,0.14093,0.80342,0.60107,0.58012,1.1296,0.71915,12.05,0.50693,0.49534,1.1578,0.21351
1,6,1,1,12.459,0.80657,0.15203,0.83645,0.56929,0.66506,1.1781,0.74713,12.178,0.50081,0.50148,1.2598,0.19185
1,6,1,1,8.1267,0.71283,0.15249,0.74348,0.66751,0.67456,1.176,0.75006,8.2918,0.49045,0.51111,1.1589,0.25903
1,6,1,2,3.2033,0.7903,0.1873,0.66376,0.67293,0.78531,1.127,0.79086,2.7359,0.49234,0.50872,0.97533,0.23437
1,6,1,2,5.0803,0.84975,0.22684,0.79999,0.7574,0.81031,1.0951,0.77863,3.5171,0.49567,0.50569,0.74247,0.26507
1,6,1,2,5.5579,0.93212,0.23556,0.8807,0.71735,0.79671,0.97893,0.80196,3.8533,0.52033,0.48115,0.67616,0.25259
1,6,4,1,11.25,0.72501,0.15292,0.63126,0.64078,0.6437,1.1075,0.7472,13.131,0.51294,0.48953,1.0849,0.21174
1,6,4,1,10.483,0.94034,0.17273,0.74745,0.624,0.63847,1.1498,0.74702,9.5867,0.49575,0.50605,1.0839,0.21049
1,6,4,1,9.8655,0.77608,0.19039,0.66601,0.55218,0.62815,1.1682,0.75551,9.0974,0.49263,0.50908,1.0977,0.28577
1,6,4,2,6.379,0.86453,0.27004,0.80383,0.74742,0.8416,1.1125,0.8068,4.3204,0.47791,0.52375,0.6043,0.1592
1,6,4,2,6.5132,0.94009,0.2863,0.83964,0.81913,0.84804,1.0279,0.85555,4.5599,0.49946,0.50229,0.57107,0.17896
1,6,4,2,5.7899,0.83249,0.28204,0.91595,0.78097,0.83143,1.0126,0.84269,4.5623,0.50526,0.4965,0.57186,0.27639
1,6,7,1,14.848,0.80226,0.18513,0.61333,0.61618,0.60772,1.2077,0.70104,13.507,0.48441,0.51813,0.9882,0.35632
1,6,7,1,12.645,0.95551,0.19275,0.72288,0.53661,0.65582,1.1836,0.68849,11.57,0.48581,0.51636,0.96196,0.38149
1,6,7,1,15.17,0.69692,0.17575,0.76645,0.55703,0.54813,1.0902,0.65152,14.178,0.50127,0.5014,0.90589,0.49326
1,6,7,2,6.8804,0.89017,0.26821,0.80288,0.74777,0.77534,1.0571,0.77775,4.3783,0.49057,0.51112,0.59458,0.33243
1,6,7,2,7.2704,0.90131,0.28608,0.92655,0.74696,0.80867,1.1215,0.83445,4.5565,0.47627,0.52549,0.57128,0.27964
1,6,7,2,6.9023,0.89589,0.29156,0.84618,0.79592,0.77707,1.0958,0.82944,4.6742,0.48141,0.52038,0.55791,0.34332
2,7,1,1,3.0057,0.91284,0.11131,0.78234,0.62222,0.64257,1.2428,0.83442,4.1439,0.49176,0.50902,1.6229,0.23923
2,7,1,1,4.0059,0.60509,0.14246,0.75911,0.62408,0.62214,1.0635,0.66315,3.8112,0.52806,0.47266,1.4101,0.16711
2,7,1,1,3.6102,0.81431,0.13854,0.81045,0.6581,0.6492,1.121,0.72828,3.6343,0.52215,0.47853,1.4814,0.23759
2,7,1,2,9.3797,0.90641,0.50114,0.79702,0.89417,0.87599,1.0254,0.8662,9.019,0.50017,0.5033,0.30195,0.18076
2,7,1,2,9.5752,0.81287,0.45939,0.8638,0.90756,0.84906,0.96201,0.84906,8.5174,0.51489,0.48839,0.30858,0.13947
2,7,1,2,7.8734,0.77999,0.41847,0.80991,0.83806,0.87329,1.0733,0.81995,7.2847,0.48844,0.51436,0.36037,0.19703
2,7,4,1,6.7467,0.91871,0.15991,0.73077,0.65006,0.54304,1.2993,0.71334,6.7808,0.48789,0.51338,1.138,0.30843
2,7,4,1,6.6372,0.70294,0.17864,0.5804,0.53245,0.5194,1.2584,0.643,6.2195,0.49155,0.50962,1.1626,0.30885
2,7,4,1,7.6399,0.90221,0.169,0.63891,0.60182,0.52619,1.2758,0.6944,7.0834,0.48226,0.51908,1.0844,0.70163
2,7,4,2,11.309,0.89057,0.53351,0.85117,0.89762,0.88393,0.94369,0.89302,9.4793,0.51845,0.48519,0.27807,0.16091
2,7,4,2,8.4349,0.7442,0.46503,0.8311,0.92928,0.85642,0.95766,0.87146,8.4107,0.51543,0.48781,0.31069,0.17871
2,7,4,2,11.489,0.88419,0.48809,0.8965,0.94336,0.88043,1.014,0.90245,9.2398,0.50228,0.50128,0.28256,0.2069
2,7,7,1,5.0393,0.62008,0.19496,0.76788,0.57284,0.60053,1.0656,0.66755,4.7297,0.51967,0.48122,1.1347,0.41765
2,7,7,1,8.9837,0.64935,0.18191,0.61276,0.58718,0.63471,1.0746,0.67779,8.911,0.52135,0.48033,1.0079,0.21916
2,7,7,1,6.1296,0.58998,0.23241,0.5069,0.62997,0.6318,1.0698,0.60859,5.4037,0.51693,0.48409,0.99787,0.24901
2,7,7,2,13.101,0.85324,0.53993,0.85036,0.88892,0.85204,0.97262,0.85186,10.11,0.5109,0.49299,0.25862,0.15508
2,7,7,2,16.584,0.80133,0.601,0.83925,0.92652,0.89374,0.95751,0.88795,11.911,0.51584,0.48874,0.21904,0.1493
2,7,7,2,14.856,0.91587,0.64375,0.92371,0.94769,0.86677,0.92847,0.90661,11.853,0.5237,0.48086,0.22,0.18969
1,8,1,1,5.6748,0.70197,0.2279,0.68333,0.53884,0.58878,1.2485,0.63353,5.9209,0.51153,0.48958,1.0826,0.23005
1,8,1,1,5.3343,0.6445,0.25556,0.79032,0.57139,0.59381,1.1676,0.54947,5.0165,0.51558,0.48537,1.0791,0.19624
1,8,1,1,8.3898,0.68214,0.2342,0.68029,0.58241,0.63241,1.2321,0.69914,8.5376,0.50517,0.49643,1.0158,0.19066
1,8,1,2,8.1901,0.84478,0.48191,0.90033,0.85158,0.89782,1.0729,0.84823,7.4307,0.48631,0.51655,0.35151,0.26032
1,8,1,2,9.8914,0.77862,0.64198,0.89253,0.94796,0.8068,0.86814,0.88908,10.489,0.54434,0.45969,0.24829,0.18953
1,8,1,2,12.849,0.83567,0.6386,0.88907,0.92605,0.89961,0.81937,0.89961,10.825,0.56024,0.44393,0.24078,0.16126
1,8,4,1,4.9184,0.79049,0.18761,0.75555,0.64629,0.5547,1.2537,0.78264,4.7011,0.50415,0.49673,1.1403,0.27696
1,8,4,1,5.061,0.78322,0.20812,0.94966,0.65742,0.63803,1.2777,0.68882,4.6952,0.50499,0.49589,1.1426,0.44591
1,8,4,1,4.6005,0.62962,0.18446,0.80108,0.57385,0.58175,1.1458,0.67683,4.4659,0.52282,0.47802,1.1972,0.28962
1,8,4,2,15.917,0.84523,0.70005,0.85338,0.94734,0.85574,0.80763,0.86794,13.573,0.56211,0.44311,0.19191,0.17399
1,8,4,2,16.77,0.77927,0.80724,0.93293,0.91835,0.85435,0.72887,0.84714,14.15,0.58584,0.41961,0.18388,0.16212
1,8,4,2,16.209,0.81679,0.74964,0.93419,0.98721,0.84004,0.76092,0.91857,13.758,0.5765,0.42879,0.18927,0.15221
1,8,7,1,5.217,0.73845,0.22798,0.83403,0.59285,0.60984,1.233,0.76075,5.1566,0.50477,0.4962,1.0368,0.2618
1,8,7,1,5.2174,0.80431,0.21333,0.92506,0.55104,0.56247,1.1833,0.6879,5.7576,0.50271,0.49837,0.97094,0.60963
1,8,7,1,6.2437,0.56553,0.23457,0.84697,0.58174,0.53373,1.2131,0.6615,6.423,0.49249,0.50872,0.97129,0.46722
1,8,7,2,13.925,0.76468,0.73777,0.82279,0.93242,0.83359,0.80335,0.89548,13.657,0.563,0.44225,0.19074,0.19473
1,8,7,2,18.683,0.80731,0.79286,0.84741,0.87627,0.82184,0.70887,0.86563,15.778,0.59275,0.41332,0.16516,0.16202
1,8,7,2,14.914,0.8756,0.84126,0.86496,0.88628,0.88964,0.6937,0.89066,15.877,0.59821,0.40789,0.16404,0.17127
