grp,pp,S,DID,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,3,2,1,1,1,1,1,1,0.86356,0.84984,0.9341,0.9341,3.5229,4.0096,0.3542,0.35074,0.475,0.484,0.219,0.227,0.247,0.241,0.46944,0.4988,5.4726,8.2645,7.4165,8.2844,0.85851,0.84842,0.1374,0.13782,0.8769,0.86487,0.8486,0.78927,0.87809,0.84799,0.85972,0.85622,0.1751,0.28982,0.75014,1,0.99586,0.99129,-0.030439,0.0067203,1.221,0.7726,0.89975,-0.025543,-0.001,-0.0042105
1,2,3,2,1,1,1,1,1,1,0.87277,0.88041,1.021,1.0653,4.2271,4.6622,0.33675,0.35494,0.47,0.469,0.223,0.228,0.236,0.231,0.4902,0.50718,5.5308,8.5288,8.9938,9.9408,0.87957,0.86751,0.14063,0.16692,0.87612,0.84931,0.85676,0.8432,0.88914,0.87949,0.88192,0.89617,0.24836,0.54799,0.75509,1,0.98377,0.99289,0.062201,0.0080324,1.2434,0.82309,0.9125,0.065628,0.014,0.059574
1,2,3,2,1,1,1,1,1,1,0.85068,0.84958,0.97656,0.97656,3.8063,4.2039,0.3198,0.3152,0.5015,0.5015,0.2245,0.2325,0.2725,0.2655,0.45181,0.46665,5.1834,7.9761,7.5899,8.3827,0.83019,0.81722,0.15351,0.14174,0.87427,0.85008,0.78633,0.77375,0.84792,0.82541,0.82044,0.82885,0.21585,0.32916,0.77053,1,0.99774,0.99594,0.038026,0.0046732,1.2112,0.80451,0.87721,0.047154,0.0105,0.041874
1,2,3,3,0.053256,0.059069,0.053295,0.0649,0.050265,0.049716,0.76507,0.80322,0.64248,0.64248,3.9763,5.1949,0.29276,0.28136,0.798,0.781,0.236,0.234,0.54,0.559,0.30303,0.30668,3.2575,6.8142,4.9828,6.6515,0.705,0.73292,0.2583,0.35259,0.88647,0.9134,0.66691,0.65577,0.78895,0.86884,0.65995,0.64416,1.1459,0.44687,0.77992,1,0.99388,0.86442,-0.058076,0.0044381,1.1581,0.4216,0.97587,-0.049048,-0.012,-0.030075
1,2,3,3,0.15683,0.11498,0.1917,0.15781,0.13653,0.073758,0.78955,0.8145,0.7053,0.7053,4.206,5.2992,0.23391,0.25383,0.744,0.736,0.263,0.249,0.473,0.482,0.34845,0.3403,3.4939,7.2309,5.6533,7.2,0.73285,0.74903,0.24182,0.2943,0.82326,0.82747,0.67735,0.69558,0.79282,0.89518,0.69063,0.71746,0.2345,0.5981,0.84197,1,0.99673,0.91434,-0.12252,0.0063393,1.1618,0.58496,0.92892,-0.11289,-0.033,-0.08871
1,2,3,3,0.039403,0.034372,0.023634,0.027238,0.041296,0.035617,0.77078,0.82226,0.60096,0.60096,3.4635,5.491,0.30972,0.29201,0.804,0.808,0.24,0.234,0.574,0.566,0.30336,0.28554,3.2332,6.5865,4.3078,6.7958,0.74174,0.74186,0.26938,0.37731,0.89067,0.94148,0.6592,0.69155,0.84073,0.94163,0.70532,0.68308,1.3741,0.82557,0.85043,1,0.97569,0.78216,-0.12561,0.0072246,1.1698,0.39079,0.98853,-0.1017,-0.037,-0.09204
1,3,1,1,1,0.17847,1,0.31467,0.14275,0.093962,0.8216,0.78235,0.87193,0.87193,2.6395,3.2579,0.28765,0.2884,0.574,0.574,0.231,0.231,0.338,0.344,0.40619,0.40203,4.5287,4.5287,4.5985,5.6759,0.85826,0.77921,0.17477,0.19157,0.8877,0.80638,0.8733,0.74467,0.90144,0.82766,0.73239,0.71681,0.2813,0.22533,0.78555,1,0.99323,0.97006,0.11606,0.0146,1.1488,0.77177,0.8002,0.09451,0.011,0.038328
1,3,1,1,1,0.7517,1,1,1,0.19524,0.81677,0.80645,0.9375,0.9375,3.0701,3.7795,0.2809,0.27696,0.535,0.535,0.2395,0.225,0.2965,0.314,0.45062,0.41215,4.8588,4.8588,5.7384,7.0644,0.83513,0.7771,0.18034,0.1761,0.8447,0.82264,0.89011,0.76612,0.8445,0.80456,0.74516,0.72721,0.22503,0.1543,0.78158,1,0.99439,0.9857,0.09414,0.0092566,1.1529,0.78672,0.81798,0.086506,0.007,0.026168
1,3,1,1,1,1,1,1,1,1,0.80792,0.80668,1.0173,1.0173,2.7458,3.4698,0.2843,0.29213,0.501,0.503,0.216,0.223,0.273,0.293,0.44785,0.43761,5.1885,5.1679,5.4807,6.8982,0.81075,0.8219,0.16644,0.19951,0.8102,0.82263,0.87666,0.84923,0.86324,0.84618,0.68569,0.71619,0.18149,0.20262,0.79131,1,0.99739,0.99827,0.10911,0.010361,1.1583,0.81974,0.77594,0.10435,0.014,0.055888
1,3,1,2,0.13575,0.096215,0.19731,0.10296,0.092326,0.084573,0.82646,0.84491,0.61035,0.61035,3.8427,4.6352,0.2429,0.28864,0.824,0.834,0.328,0.308,0.503,0.533,0.39752,0.37544,3.1547,4.7962,4.6635,5.5578,0.79999,0.81309,0.20468,0.24485,0.88522,0.89767,0.77244,0.79552,0.84803,0.89829,0.73796,0.7028,0.45543,0.54458,0.81478,1,0.99404,0.84495,0.13457,0.01088,1.208,0.52429,1.0174,0.12144,0.007,0.01699
