grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,8,1,1,0.045525,0.85024,5.616,0.44389,0.25167,1.1445,0.386,0.7445,0.34871,4.65,4.907,0.74785,0.26428,0.91522,0.71893,0.84338,0.64691,0.5437
1,8,1,2,1,0.85333,2.9073,1.4361,0.4821,0.347,0.1775,0.1715,0.50649,7.4913,8.3784,0.89249,0.11015,0.90546,0.83164,0.78942,0.91841,0.15527
1,8,1,2,1,0.8515,2.5201,2.0345,0.64405,0.249,0.142,0.118,0.54682,10.44,10.121,0.87408,0.1735,0.76751,0.87058,0.94677,0.89528,0.14178
1,8,1,2,1,0.82825,3.0804,2.0419,0.63128,0.241,0.131,0.109,0.53191,10.786,12.782,0.8535,0.12403,0.76763,0.86328,0.88682,0.87352,0.14163
1,8,2,1,0.081646,0.81768,5.5113,0.41853,0.182,1.136,0.37,0.764,0.33536,4.6848,4.8515,0.74855,0.30644,0.83475,0.66113,0.86617,0.68479,0.48072
1,8,2,1,0.048978,0.8483,5.7949,0.42614,0.20803,1.121,0.367,0.766,0.33129,4.7475,5.1694,0.78554,0.35448,0.89822,0.70943,0.95694,0.75354,1.0436
1,8,2,1,0.069394,0.84198,5.5213,0.41016,0.18718,1.202,0.386,0.807,0.3305,4.4276,4.5934,0.78655,0.306,0.84912,0.72131,0.89892,0.68166,0.70999
1,8,2,2,1,0.85294,3.0125,2.6042,0.69701,0.192,0.105,0.093,0.51795,13.539,15.69,0.89093,0.20514,0.81814,0.78435,0.91172,0.84778,0.03852
1,8,2,2,1,0.85816,3.0417,2.6855,0.80368,0.185,0.09,0.09,0.47778,14.051,16.441,0.88797,0.14729,0.86873,0.78435,0.89685,0.88259,0.072039
1,8,2,2,1,0.84043,3.0785,2.6042,0.75336,0.19,0.096,0.092,0.49485,13.681,16.202,0.85633,0.10454,0.79308,0.88083,0.86796,0.90487,0.30816
1,8,3,1,0.065349,0.83116,5.3824,0.47832,0.22569,1.0205,0.3415,0.6805,0.33129,5.215,5.2743,0.72522,0.33953,0.82675,0.6887,0.88696,0.69772,1.0558
1,8,3,1,0.084702,0.86755,5.248,0.50863,0.21555,0.974,0.34,0.645,0.35023,5.464,5.3881,0.8504,0.29123,0.92702,0.79179,0.9469,0.76824,0.31384
1,8,3,1,0.058041,0.84657,5.3929,0.48828,0.24207,1.018,0.3615,0.643,0.35708,5.2278,5.2976,0.79906,0.28065,0.87109,0.73756,0.88834,0.73764,2.5302
1,8,3,2,1,0.82336,2.7034,2.6042,0.73941,0.191,0.1025,0.088,0.54677,13.61,14.154,0.90602,0.11344,0.78827,0.92494,0.91319,0.90268,0.069807
1,8,3,2,1,0.84504,3.0344,3.0518,0.79478,0.166,0.083,0.082,0.48101,15.659,18.28,0.90769,0.14391,0.90293,0.91205,0.86796,0.7566,0.18423
1,8,3,2,1,0.83496,2.454,3.0692,0.85459,0.165,0.081,0.084,0.47929,15.754,14.872,0.90364,0.04968,0.90926,0.90229,0.86796,0.9145,0.18388
1,9,1,1,0.093055,0.85559,4.9381,0.49867,0.19487,1.012,0.386,0.6,0.38196,5.2588,4.8795,0.81702,0.25774,0.90095,0.73408,0.88461,0.7912,0.44632
1,9,1,1,0.096071,0.79196,4.9169,0.42614,0.16639,1.1525,0.4285,0.736,0.37682,4.6177,4.2663,0.7417,0.26015,0.81451,0.67727,0.80474,0.68659,0.4096
1,9,1,1,0.14828,0.86817,5.3012,0.44041,0.16738,1.136,0.393,0.7145,0.34721,4.6849,4.6666,0.84096,0.29424,0.93285,0.78206,0.92724,0.76834,0.38228
1,9,1,2,0.29542,0.81305,3.5554,0.8138,0.218,0.629,0.279,0.358,0.43472,4.1327,5.6524,0.82301,0.19712,0.83815,0.82866,0.85439,0.76773,0.29909
1,9,1,2,1,0.77833,3.4652,0.97656,0.25483,0.502,0.235,0.265,0.47166,5.1782,6.9027,0.78088,0.17588,0.81243,0.75901,0.78213,0.76979,0.19721
