grp,pp,S,IDL,IDR,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,2,2,1,1,1,1,1,1,0.85617,0.87082,1.0653,1.1097,3.4212,4.0307,0.34463,0.34316,0.469,0.463,0.227,0.227,0.251,0.24,0.46545,0.48276,5.5426,8.6393,7.2948,8.7055,0.85564,0.84679,0.12428,0.15553,0.91097,0.84638,0.85095,0.82185,0.8247,0.87418,0.83034,0.85831,0.25524,0.14831,0.75308,1,0.9942,0.99818,0.0061579,0.0063591,1.2245,0.80971,0.89832,0.015149,0.008,0.034115
1,2,2,2,2,1,1,1,1,1,1,0.84273,0.86969,1.3021,1.3021,3.7524,4.0428,0.4038,0.40636,0.387,0.384,0.188,0.195,0.198,0.19,0.49734,0.50949,6.717,10.417,9.6962,10.528,0.83611,0.85232,0.13303,0.11991,0.84901,0.85661,0.87998,0.86222,0.81355,0.85064,0.8095,0.84764,0.21249,0.37074,0.74816,1,0.98938,0.99296,-0.0053729,0.0061469,1.2125,0.86282,0.84883,-0.010626,0.002,0.010336
1,2,2,2,2,1,1,1,1,1,1,0.83995,0.85363,1.4361,1.4361,3.6601,4.1569,0.46497,0.4372,0.357,0.356,0.178,0.186,0.181,0.171,0.49448,0.52201,7.2814,11.236,10.253,11.677,0.85358,0.86913,0.12943,0.16365,0.86969,0.86326,0.90646,0.92089,0.83663,0.84628,0.81523,0.86275,0.14996,0.14107,0.75888,1,0.99915,0.94566,-0.028562,0.0041313,1.2212,0.81735,0.85614,-0.018073,0,0
1,2,2,2,3,1,1,1,1,1,1,0.82677,0.84841,2.0345,2.0345,3.0057,2.8098,0.56924,0.58346,0.25,0.249,0.13,0.135,0.122,0.12,0.51172,0.52439,10.398,10.44,12.023,11.284,0.80814,0.87223,0.084703,0.17072,0.85935,0.78096,0.80563,0.94344,0.78377,0.9016,0.84096,0.82499,0.18957,0.31667,0.76811,1,0.99888,0.77615,0.067265,0.016627,1.1899,0.88489,0.80191,0.094423,0.006,0.048
1,2,2,2,3,1,1,1,1,1,1,0.82856,0.86831,2.2461,2.2461,2.6888,3.2986,0.70062,0.69762,0.223,0.221,0.109,0.112,0.112,0.11,0.49794,0.51244,11.657,11.762,12.058,14.926,0.84463,0.88018,0.080378,0.071015,0.87768,0.87774,0.85244,0.87343,0.82721,0.83957,0.8642,0.90864,0.18544,0.33949,0.74817,1,0.98513,0.82424,-0.027573,0.008046,1.2091,0.89683,0.79344,-0.017369,-0.002,-0.017937
1,2,2,2,3,1,1,1,1,1,1,0.78699,0.83886,2.1159,2.1159,2.6749,2.8351,0.61222,0.57371,0.252,0.245,0.129,0.13,0.122,0.118,0.51748,0.52564,10.315,10.61,10.615,11.572,0.77979,0.84408,0.096019,0.1672,0.80211,0.85148,0.73672,0.87486,0.73305,0.81758,0.80015,0.86064,0.16879,0.15779,0.74073,1,0.99637,0.80192,-0.0084648,0.016777,1.1605,0.87324,0.75409,0.011292,0.003,0.02381
1,2,3,1,1,0.053012,0.078397,0.033091,0.078397,0.096019,0.066249,0.7913,0.73876,0.46875,0.46875,5.0902,5.1909,0.23347,0.23213,1.1255,1.095,0.4105,0.37,0.7255,0.744,0.35979,0.33033,4.7285,4.8602,4.5226,4.7406,0.67087,0.62893,0.32887,0.37319,0.74315,0.85418,0.57245,0.60007,0.72129,0.78647,0.63064,0.56537,0.84323,3.0642,0.7532,1,0.97984,0.86254,-0.069745,0.010631,1.1505,0.31493,1.0514,-0.066499,-0.054,-0.095957
1,2,3,1,1,0.08307,0.13334,0.072108,0.1395,0.08307,0.1,0.816,0.77486,0.43403,0.43403,5.2535,5.1915,0.19579,0.19861,1.106,1.106,0.408,0.407,0.7,0.716,0.3699,0.36149,4.8119,4.8119,4.75,4.694,0.73521,0.69387,0.29929,0.36992,0.829,0.92047,0.61882,0.64508,0.83461,0.87386,0.70475,0.57833,0.34888,0.84799,0.73825,1,0.99073,0.79698,-0.10596,0.014259,1.1739,0.44029,1.0177,-0.086183,-0.121,-0.21881
1,2,3,1,1,0.053117,0.083615,0.039587,0.062093,0.097881,0.095554,0.80101,0.76779,0.45211,0.45211,5.3847,5.3855,0.28047,0.25649,1.142,1.132,0.3755,0.382,0.76,0.749,0.31872,0.32026,4.6602,4.7013,4.7151,4.7575,0.63706,0.64341,0.33753,0.36986,0.85353,0.90024,0.5718,0.59399,0.76986,0.86335,0.60654,0.58501,1.0462,0.29789,0.80659,1,0.99102,0.81565,-0.083604,0.0073375,1.1685,0.2383,1.0885,-0.062809,-0.0365,-0.063923
1,2,3,1,2,0.033071,0.083576,0.031866,0.093162,0.030015,0.070177,0.78321,0.73708,0.52083,0.52083,5.4696,4.5302,0.25726,0.25912,0.933,0.924,0.255,0.286,0.674,0.6395,0.27482,0.31137,5.7042,4.329,5.8624,4.9028,0.65046,0.61121,0.38033,0.41717,0.83504,0.87667,0.57499,0.57656,0.8134,0.86793,0.60107,0.54106,2.8601,1.1271,0.74923,1,0.98068,0.90404,-0.056013,0.0092256,1.1208,0.33602,0.99971,-0.049419,-0.0365,-0.078242
1,2,3,1,2,0.048192,0.048638,0.045651,0.041354,0.054781,0.053819,0.76833,0.72879,0.53478,0.55804,5.0245,4.3895,0.22999,0.23372,0.9385,0.912,0.277,0.2375,0.655,0.6785,0.29247,0.25669,5.6707,4.386,5.3537,4.8131,0.69342,0.62826,0.34613,0.39457,0.8324,0.8618,0.6125,0.5938,0.82634,0.84355,0.61328,0.53524,0.47799,0.9611,0.74141,1,0.99234,0.90231,-0.032933,0.0099437,1.0965,0.42555,0.92993,-0.038368,-0.025,-0.053277
1,2,3,1,2,0.045637,0.054046,0.020847,0.057347,0.064888,0.049379,0.79461,0.72005,0.47871,0.47871,5.4832,4.6928,0.21557,0.21184,1.062,1.052,0.29,0.307,0.754,0.732,0.27333,0.29856,5.0112,3.8023,5.1631,4.4609,0.68509,0.69559,0.36214,0.37778,0.91279,0.88293,0.62265,0.59154,0.8673,0.84801,0.66837,0.52865,0.49808,0.24477,0.75695,1,0.97361,0.88486,-0.029457,0.0079713,1.1065,0.39744,0.95261,-0.029379,-0.025,-0.047081
1,2,3,1,3,0.03578,0.030619,0.032983,0.025494,0.033406,0.037823,0.77416,0.73489,0.52235,0.52235,5.3744,4.2501,0.22174,0.2162,0.964,0.96,0.2695,0.268,0.6995,0.702,0.28108,0.27438,5.5207,2.7078,5.5751,4.4272,0.67863,0.63027,0.36443,0.37558,0.82498,0.88156,0.59793,0.57708,0.81257,0.8711,0.60873,0.58182,1.1109,0.30072,0.75254,1,0.9836,0.89956,0.076523,0.013623,1.1073,0.41716,0.93937,0.029898,0.0005,0.0010373
1,2,3,1,3,0.040881,0.037863,0.052774,0.032857,0.027063,0.037863,0.78041,0.71838,0.54253,0.54253,5.4263,3.3412,0.22228,0.21782,0.921,0.929,0.264,0.253,0.66,0.659,0.28317,0.27878,5.7784,2.7981,5.8918,3.5965,0.73148,0.67792,0.3666,0.41141,0.78479,0.81581,0.59231,0.6192,0.85205,0.85864,0.63885,0.54686,0.5079,2.4439,0.7234,1,0.96495,0.94095,0.11645,0.022708,1.0917,0.45982,0.91205,0.057192,0.009,0.019544
1,2,3,1,3,0.040071,0.034909,0.039347,0.031791,0.039083,0.034909,0.76492,0.68068,0.54506,0.54506,5.3173,3.9416,0.22948,0.22323,0.886,0.892,0.246,0.219,0.645,0.677,0.27183,0.24095,6.0067,2.9142,6.0014,4.4188,0.64217,0.66425,0.33594,0.46303,0.78128,0.7546,0.58538,0.5685,0.74392,0.73343,0.62606,0.48667,0.57859,0.52558,0.73108,1,0.97739,0.92762,0.050137,0.010358,1.0592,0.38917,0.92285,0.02398,-0.001,-0.0022573
1,2,3,2,1,0.053256,0.059069,0.053295,0.0649,0.050265,0.049716,0.76507,0.80322,0.64248,0.64248,3.9763,5.1949,0.29276,0.28136,0.798,0.781,0.236,0.234,0.54,0.559,0.30303,0.30668,3.2575,6.8142,4.9828,6.6515,0.705,0.73292,0.2583,0.35259,0.88647,0.9134,0.66691,0.65577,0.78895,0.86884,0.65995,0.64416,1.1459,0.44687,0.77992,1,0.99388,0.86442,-0.058076,0.0044381,1.1581,0.4216,0.97587,-0.049048,-0.012,-0.030075
1,2,3,2,1,0.15683,0.11498,0.1917,0.15781,0.13653,0.073758,0.78955,0.8145,0.7053,0.7053,4.206,5.2992,0.23391,0.25383,0.744,0.736,0.263,0.249,0.473,0.482,0.34845,0.3403,3.4939,7.2309,5.6533,7.2,0.73285,0.74903,0.24182,0.2943,0.82326,0.82747,0.67735,0.69558,0.79282,0.89518,0.69063,0.71746,0.2345,0.5981,0.84197,1,0.99673,0.91434,-0.12252,0.0063393,1.1618,0.58496,0.92892,-0.11289,-0.033,-0.08871
1,2,3,2,1,0.039403,0.034372,0.023634,0.027238,0.041296,0.035617,0.77078,0.82226,0.60096,0.60096,3.4635,5.491,0.30972,0.29201,0.804,0.808,0.24,0.234,0.574,0.566,0.30336,0.28554,3.2332,6.5865,4.3078,6.7958,0.74174,0.74186,0.26938,0.37731,0.89067,0.94148,0.6592,0.69155,0.84073,0.94163,0.70532,0.68308,1.3741,0.82557,0.85043,1,0.97569,0.78216,-0.12561,0.0072246,1.1698,0.39079,0.98853,-0.1017,-0.037,-0.09204
