grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,3,3,2,0.16446,0.86347,4.3243,0.939,0.35079,0.564,0.239,0.324,0.42655,7.0922,7.6672,0.86073,0.20521,0.85807,0.84624,0.91251,0.80475,0.37542
1,3,3,2,0.12823,0.86354,4.2813,1.019,0.38042,0.4855,0.2175,0.273,0.44531,8.2389,8.8182,0.86717,0.1666,0.87601,0.86472,0.90956,0.82629,0.50754
1,3,3,2,0.13343,0.88757,4.3666,0.97656,0.35795,0.517,0.237,0.28,0.45541,7.7369,8.446,0.89581,0.15669,0.89398,0.89142,0.92555,0.82909,0.25715
1,3,3,3,1,0.85726,3.6159,1.7439,0.45271,0.297,0.146,0.152,0.5,8.7524,12.175,0.86306,0.16638,0.85721,0.91204,0.86709,0.7993,0.32802
1,3,3,3,1,0.86385,3.3249,1.4974,0.44135,0.33,0.168,0.165,0.50134,7.8772,10.075,0.88017,0.15458,0.88328,0.96407,0.89333,0.81285,0.23282
1,3,3,3,1,0.86987,3.5752,1.6741,0.47325,0.29,0.151,0.152,0.51039,8.9637,12.328,0.8749,0.14411,0.88294,0.95811,0.88415,0.81967,0.19979
1,6,1,1,0.10539,0.80516,5.6185,0.39062,0.16121,1.331,0.444,0.875,0.34184,3.9984,4.2212,0.71808,0.33211,0.79899,0.62937,0.90807,0.69693,0.46924
1,6,1,1,0.1451,0.76516,5.6431,0.19531,0.10202,2.106,0.627,1.427,0.31625,2.527,2.6795,0.72394,0.39758,0.89155,0.66452,0.78873,0.60048,0.41563
1,6,1,1,0.080295,0.83658,5.3553,0.33675,0.13675,1.388,0.5095,0.8865,0.35003,3.8342,3.8583,0.80264,0.25696,0.892,0.74151,0.88304,0.74231,0.37839
1,6,1,2,0.090886,0.82125,3.7233,0.46875,0.16585,1.125,0.404,0.714,0.36888,3.5556,3.3096,0.78759,0.25462,0.88074,0.70685,0.90524,0.7709,0.31467
