grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,9,2,1,0.8647,1.013,0.328,0.691,0.31925,5.2536,-2.5467,0.066287,0.47789,0.811,0.3207,0.95077,0.7342,0.95055,0.76626,1.5083
1,9,2,2,0.84451,0.2875,0.1535,0.135,0.53457,9.0416,-8.216,1,1.7278,0.8261,0.15363,0.81288,0.93675,0.84822,0.78042,0.81253
1,9,2,2,0.81826,0.265,0.14,0.127,0.52788,9.8093,-8.7072,1,1.8717,0.80475,0.16988,0.79016,0.94726,0.80982,0.74244,0.80503
1,9,2,2,0.88772,0.262,0.1405,0.124,0.53385,9.9216,-9.2243,1,1.8717,0.85901,0.1381,0.83554,0.94867,0.86739,0.8265,0.65557
1,9,3,1,0.81426,0.975,0.343,0.626,0.35962,5.4584,-2.6173,0.15021,0.5008,0.77747,0.26165,0.88752,0.74575,0.85356,0.72196,1.5708
1,9,3,1,0.82157,0.9805,0.353,0.6265,0.36215,5.4278,-2.5606,0.11686,0.48828,0.79291,0.29101,0.8847,0.68765,0.8846,0.77029,1.5708
1,9,3,1,0.87312,0.867,0.309,0.552,0.35824,6.1383,-2.9626,0.15456,0.58129,0.83757,0.2872,0.92257,0.75159,0.91579,0.79533,1.5167
1,9,3,2,0.79519,0.245,0.126,0.119,0.50661,10.61,-9.6753,1,2.0419,0.80543,0.14646,0.73985,0.83693,0.81841,0.75517,0.53314
1,9,3,2,0.89118,0.2415,0.124,0.117,0.5125,10.764,-9.6454,1,2.1307,0.87057,0.17666,0.84362,0.90585,0.88506,0.84144,0.6641
1,9,3,2,0.8907,0.225,0.114,0.111,0.51308,11.553,-10.733,1,2.2461,0.87403,0.11787,0.87118,0.91239,0.86522,0.83032,0.52935
2,1,1,1,0.86348,1.1715,0.363,0.8115,0.30587,4.5428,-2.1396,0.066179,0.41118,0.76378,0.33926,0.9226,0.72505,0.92118,0.70793,2.0306
2,1,1,1,0.8446,1.073,0.323,0.738,0.30462,4.9599,-2.3683,0.088399,0.46503,0.77357,0.32113,0.92445,0.74328,0.91226,0.7137,1.3738
2,1,1,1,0.8407,1.1335,0.342,0.783,0.311,4.6952,-2.2113,0.085991,0.4534,0.79031,0.33913,0.92438,0.72802,0.90923,0.69076,2.7298
2,1,1,2,0.75434,0.362,0.156,0.2045,0.43484,7.1808,-6.6162,1,1.4361,0.7567,0.17597,0.81475,0.73382,0.7639,0.75559,1.0063
2,1,1,2,0.77783,0.349,0.149,0.193,0.43195,7.4483,-6.8661,1,1.4038,0.78152,0.14187,0.79155,0.75112,0.83027,0.76623,0.97758
