grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,8,1,2,0.80582,0.555,0.262,0.307,0.47222,7.2072,-4.4518,0.09893,0.89164,0.80171,0.19512,0.8773,0.80521,0.76837,0.75935,1.6781
1,8,1,2,0.79782,0.52,0.229,0.287,0.45618,7.6923,-4.7833,0.39967,0.85449,0.80698,0.15338,0.87202,0.81084,0.79003,0.77247,1.1297
1,8,1,2,0.84003,0.64,0.2685,0.3725,0.41677,6.25,-3.8605,0.21449,0.78125,0.81553,0.22859,0.88412,0.788,0.83884,0.74919,1.5708
1,8,1,3,0.84224,0.226,0.1245,0.1045,0.54605,11.502,-10.815,1,2.2461,0.82271,0.16987,0.75525,0.85506,0.85102,0.76519,0.43143
1,8,1,3,0.92669,0.194,0.104,0.096,0.51741,13.399,-12.527,1,2.6042,0.90835,0.13066,0.87726,0.98717,0.91217,0.87583,0.70744
1,8,1,3,0.92029,0.2465,0.1325,0.115,0.53451,10.546,-9.701,1,2.0345,0.90568,0.15676,0.85656,0.94319,0.89928,0.90288,0.99983
1,8,2,1,0.82895,1.054,0.352,0.688,0.33611,5.0493,-2.3932,0.048342,0.46705,0.78396,0.36075,0.90602,0.68701,0.91671,0.75814,2.1538
1,8,2,1,0.66255,1.202,0.3905,0.8225,0.33046,4.4276,-2.0317,0.053701,0.41556,0.67168,0.35455,0.76956,0.60858,0.77759,0.59375,2.234
1,8,2,1,0.89055,1.14,0.3475,0.7975,0.2995,4.6684,-2.137,0.035497,0.44389,0.78261,0.36941,0.92174,0.7239,0.91047,0.70901,1.8237
1,8,2,2,0.77301,0.636,0.253,0.397,0.38706,6.2893,-3.9089,0.21504,0.7487,0.76043,0.23422,0.84258,0.697,0.83584,0.75044,3.1416
1,8,2,2,0.83375,0.428,0.202,0.214,0.48655,9.3458,-5.6495,1,1.0742,0.83114,0.12517,0.82275,0.83866,0.79911,0.83035,0.97111
