grp,pp,S,DID,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,2,1,0.69084,0.76272,1.2415,1.2255,0.474,0.4115,0.7585,0.825,0.37248,0.32647,4.2868,4.3432,-1.988,-2.0357,0.08951,0.09514,0.40409,0.40409,0.59898,0.65054,0.32767,0.48057,0.81811,0.85556,0.56699,0.55983,0.74969,0.87556,0.58212,0.52144,2.1555,2.0096,0.63951,1,0.97142,0.81352,-0.22656,0.026096,1.1367,0.33981,1.0534,-0.14802,-0.067,-0.10793
1,2,2,1,0.76866,0.77622,1.332,1.362,0.508,0.462,0.842,0.892,0.37734,0.34401,3.9954,3.9074,-1.8273,-1.8402,0.074903,0.12557,0.36821,0.36821,0.64146,0.65707,0.29165,0.60961,0.88192,0.81715,0.57582,0.53599,0.84454,0.9483,0.61096,0.52457,2.4488,2.3191,0.64504,1,0.95666,0.79698,-0.20896,0.013733,1.1455,0.33298,1.0644,-0.15629,-0.032,-0.048048
1,2,2,2,0.69407,0.71368,1.203,1.191,0.372,0.413,0.805,0.7715,0.32154,0.33924,4.4239,3.359,-2.1217,-2.0407,0.078434,0.16852,0.41594,0.41594,0.62757,0.6056,0.40116,0.41852,0.76139,0.78526,0.5854,0.57057,0.86111,0.85051,0.58661,0.50209,1.9616,2.0308,0.73115,1,0.95066,0.86263,-0.082505,0.012571,1.0879,0.39465,0.96331,-0.050971,-0.051,-0.084788
1,2,2,2,0.65621,0.6123,1.1925,1.198,0.3495,0.4315,0.838,0.758,0.29616,0.3475,4.4629,3.339,-2.145,-2.0447,0.048229,0.16468,0.43777,0.43777,0.61681,0.64487,0.42344,0.51782,0.75297,0.75243,0.54105,0.54031,0.79134,0.7788,0.5939,0.50781,3.1416,3.095,0.68232,1,0.9729,0.83727,-0.075493,0.017554,1.0612,0.32817,0.96416,-0.046688,-0.058,-0.097275
1,2,2,2,0.76401,0.81392,1.167,1.157,0.38,0.422,0.783,0.741,0.32578,0.37257,4.5603,3.4572,-2.1874,-2.1255,0.076565,0.17823,0.43597,0.43597,0.70412,0.75162,0.31806,0.43818,0.87862,0.87122,0.62906,0.59838,0.81938,0.95279,0.64623,0.54277,1.5708,3.1416,0.62533,1,0.95229,0.87862,-0.25002,0.024693,1.1169,0.45239,0.95208,-0.17847,-0.084,-0.14396
1,2,2,3,0.70359,0.70482,1.021,1.013,0.2745,0.2705,0.7465,0.7565,0.26162,0.26359,5.2125,2.5661,-2.4749,-2.3518,0.071343,0.063461,0.47871,0.47871,0.65048,0.6521,0.45301,0.36774,0.87932,0.79861,0.58618,0.55808,0.75822,0.79702,0.57973,0.53925,2.3474,1.6531,0.7456,1,0.97093,0.88956,0.038679,0.0084504,1.0506,0.35013,0.90901,0.018257,-0.002,-0.0039177
1,2,2,3,0.80496,0.62289,0.931,0.9195,0.232,0.2405,0.675,0.671,0.25013,0.26383,5.7165,2.827,-2.7198,-2.638,0.053401,0.097104,0.49913,0.49913,0.61009,0.59085,0.30226,0.35112,0.86076,0.74365,0.58717,0.51292,0.96252,0.78215,0.58342,0.56933,1.5077,1.7572,0.7485,1,0.9657,0.91289,-0.036653,0.008649,1.0862,0.31108,0.97183,-0.023914,-0.0065,-0.013963
1,2,2,3,0.67361,0.7006,0.889,0.876,0.229,0.236,0.645,0.6465,0.26615,0.272,5.9864,2.9675,-2.8395,-2.7738,0.034278,0.05086,0.55804,0.55804,0.60706,0.62015,0.34656,0.35791,0.82468,0.83192,0.56892,0.56926,0.75883,0.79836,0.57731,0.52913,2.193,1.677,0.79145,1,0.97715,0.93578,-0.070429,0.0076615,1.0733,0.31798,0.95479,-0.0638,-0.0175,-0.03937
1,2,3,1,0.6211,0.70834,1.126,1.095,0.414,0.369,0.727,0.749,0.36017,0.32941,4.7264,4.8602,-2.2389,-2.2765,0.052649,0.11058,0.47871,0.47871,0.66303,0.62895,0.33895,0.35275,0.74317,0.85419,0.57246,0.60007,0.72128,0.78641,0.63063,0.56535,2.3172,1.99,0.75349,1,0.97983,0.87169,-0.06972,0.010526,1.1485,0.31554,1.0499,-0.067547,-0.055,-0.097691
1,2,3,1,0.72559,0.78594,1.1065,1.1055,0.408,0.4065,0.7005,0.717,0.3689,0.35925,4.8097,4.814,-2.3273,-2.2743,0.084749,0.19863,0.44389,0.44389,0.73521,0.70673,0.30632,0.3691,0.829,0.92047,0.61882,0.64508,0.83461,0.87386,0.70475,0.57833,1.5708,2.9274,0.74093,1,0.99069,0.80784,-0.10512,0.014019,1.1727,0.44098,1.017,-0.084589,-0.1225,-0.22142
1,2,3,1,0.70648,0.75249,1.144,1.132,0.378,0.38,0.75,0.751,0.31951,0.31902,4.652,4.7013,-2.1572,-2.1762,0.056548,0.089501,0.46165,0.46165,0.63706,0.6434,0.33871,0.36561,0.85353,0.90024,0.5718,0.59399,0.76986,0.86335,0.60653,0.58498,2.3444,3.1416,0.80647,1,0.99106,0.82525,-0.084086,0.0072856,1.1697,0.23811,1.0901,-0.063237,-0.033,-0.057692
1,2,3,2,0.66948,0.76155,0.936,0.925,0.254,0.287,0.674,0.637,0.27411,0.31144,5.6858,4.3243,-2.7206,-2.6902,0.035928,0.09389,0.52083,0.52083,0.65046,0.61127,0.39676,0.41679,0.83505,0.87666,0.57499,0.57653,0.8134,0.86794,0.60108,0.54111,2.9225,2.039,0.74509,1,0.98072,0.90401,-0.061406,0.01008,1.1191,0.33946,0.99824,-0.051251,-0.031,-0.066239
1,2,3,2,0.71408,0.73996,0.938,0.914,0.281,0.239,0.655,0.678,0.29304,0.25762,5.6737,4.3764,-2.6856,-2.714,0.05103,0.047497,0.54506,0.54506,0.69671,0.62827,0.32768,0.40275,0.82531,0.86177,0.59615,0.59047,0.81655,0.84356,0.61328,0.53522,1.5708,1.5282,0.74322,1,0.99235,0.89291,-0.035006,0.0098991,1.095,0.42606,0.92958,-0.040699,-0.027,-0.057569
1,2,3,2,0.77008,0.74284,1.0585,1.051,0.2895,0.308,0.753,0.7315,0.27232,0.29966,5.0279,3.8059,-2.3959,-2.3263,0.044842,0.076064,0.4695,0.4695,0.68509,0.69559,0.37168,0.37759,0.88697,0.88001,0.62265,0.59154,0.8673,0.84801,0.66837,0.52865,1.5018,3.1416,0.75542,1,0.97349,0.87699,-0.027375,0.0080351,1.1064,0.39745,0.95219,-0.027563,-0.0255,-0.048181
1,2,3,3,0.6821,0.78436,0.962,0.962,0.271,0.269,0.692,0.702,0.2831,0.27884,5.5321,2.7021,-2.6534,-2.57,0.03591,0.044117,0.53267,0.53267,0.6832,0.62032,0.3524,0.36768,0.82499,0.87743,0.59793,0.57741,0.81255,0.87121,0.60874,0.57921,1.5201,2.0248,0.74956,1,0.98231,0.9099,0.073224,0.013717,1.1052,0.4178,0.93828,0.027009,0,0
1,2,3,3,0.71423,0.7755,0.9195,0.93,0.264,0.2505,0.6595,0.6605,0.28226,0.27447,5.7879,2.7951,-2.78,-2.5975,0.04166,0.051351,0.53074,0.53074,0.73149,0.65212,0.36089,0.40324,0.78478,0.82392,0.59233,0.62192,0.85205,0.8606,0.63884,0.55334,1.5051,1.5708,0.72484,1,0.95827,0.94206,0.11738,0.022778,1.0879,0.46168,0.90708,0.059675,0.0085,0.018488
1,2,3,3,0.63121,0.60276,0.8855,0.8915,0.246,0.221,0.644,0.674,0.2737,0.24368,6.0101,2.9158,-2.8883,-2.7592,0.040308,0.037251,0.53267,0.53267,0.66365,0.66424,0.34786,0.4063,0.76606,0.74841,0.58536,0.56847,0.74391,0.73343,0.62605,0.48668,1.4715,2.3728,0.73176,1,0.97724,0.91975,0.054047,0.010804,1.059,0.38996,0.92325,0.026222,-0.0005,-0.0011293
1,3,1,1,0.83407,0.84514,1.7505,1.7255,0.667,0.643,1.031,1.056,0.37936,0.38954,3.0404,3.0844,-1.4046,-1.4123,0.10046,0.072036,0.3102,0.3102,0.76565,0.74892,0.36512,0.40431,0.92775,0.94217,0.70995,0.72901,0.90829,0.88807,0.691,0.64588,2.7879,2.7857,0.74354,1,0.9982,0.53871,0.088344,0.0080678,1.2933,0.17084,1.2349,0.050445,0.0135,0.015424
1,3,1,1,0.8389,0.86688,1.637,1.57,0.574,0.58,1.082,0.974,0.35913,0.36753,3.251,3.3898,-1.4984,-1.5739,0.084409,0.064527,0.31635,0.31635,0.74107,0.74565,0.34132,0.36226,0.93233,0.95038,0.73067,0.72795,0.87075,0.90676,0.6385,0.64128,3.1416,3.1416,0.75921,1,0.99542,0.53154,0.080822,0.0053788,1.2811,0.19065,1.2041,0.05546,0.01,0.012217
1,3,1,1,0.85732,0.77902,1.6555,1.696,0.6025,0.636,1.059,1.068,0.34532,0.36045,3.215,3.1381,-1.4946,-1.4484,0.054724,0.064105,0.29871,0.29871,0.7789,0.73818,0.36907,0.36763,0.94484,0.90104,0.70159,0.65137,0.91642,0.87772,0.66895,0.6527,3.1416,3.1416,0.72651,1,0.9989,0.52757,0.05025,0.0040225,1.3001,0.1602,1.2441,0.030901,-0.025,-0.030202
1,3,1,2,0.74516,0.78063,2.015,2.0435,0.763,0.764,1.242,1.226,0.38141,0.38701,2.6412,1.9575,-1.2394,-1.1951,0.11244,0.089106,0.2414,0.2414,0.74168,0.74261,0.3428,0.36072,0.8754,0.85516,0.6583,0.68083,0.86591,0.88091,0.63755,0.63041,2.9404,2.4368,0.73743,1,0.99852,0.47843,0.059789,0.0047154,1.2671,0.18782,1.2199,0.034795,0.0135,0.0134
1,3,1,2,0.875,0.81944,1.5355,1.5445,0.5735,0.59,0.961,0.9665,0.3778,0.37411,3.4659,2.5899,-1.6051,-1.5356,0.061587,0.052327,0.32124,0.32124,0.78742,0.76096,0.36982,0.37971,0.94712,0.89477,0.72686,0.75358,0.92031,0.85697,0.69331,0.60843,2.6427,3.1416,0.73385,1,0.99914,0.59861,0.08311,0.01038,1.2557,0.19373,1.1867,0.051956,-0.007,-0.0091176
1,3,1,2,0.90439,0.84263,1.5735,1.591,0.6045,0.604,0.972,0.991,0.37793,0.37597,3.3822,2.5141,-1.5783,-1.5006,0.052893,0.044322,0.313,0.313,0.79958,0.78046,0.40129,0.3648,0.96981,0.93193,0.74715,0.77189,0.94891,0.89913,0.7294,0.6164,2.8729,3.1416,0.72047,1,0.99901,0.59019,0.06699,0.0077303,1.2924,0.17224,1.2343,0.030941,-0.037,-0.047029
1,3,1,3,0.88266,0.86061,1.3005,1.276,0.469,0.459,0.817,0.824,0.35918,0.36776,4.0923,2.0372,-1.9293,-1.8532,0.062832,0.051794,0.39673,0.39673,0.8221,0.77046,0.31778,0.28984,0.95693,0.90891,0.78292,0.79823,0.9189,0.8741,0.71089,0.61915,3.1416,1.7215,0.78637,1,0.97382,0.79989,0.079678,0.0061054,1.2185,0.31809,1.0969,0.054669,0.023,0.035371
1,3,1,3,0.79632,0.80577,1.3135,1.2915,0.486,0.4665,0.816,0.8225,0.36918,0.36907,4.0517,2.0127,-1.8776,-1.8195,0.059254,0.031574,0.39405,0.39405,0.73684,0.75158,0.32416,0.2429,0.903,0.82323,0.69198,0.73958,0.86913,0.8281,0.64431,0.6172,3.1416,2.5947,0.76653,1,0.99864,0.70192,0.074123,0.0054085,1.214,0.20746,1.1493,0.039695,0.01,0.015226
1,3,1,3,0.81938,0.80566,1.519,1.511,0.5,0.4795,0.998,1.091,0.34429,0.31142,3.5036,1.7204,-1.6615,-1.5905,0.051919,0.023352,0.33854,0.33854,0.76609,0.73885,0.34938,0.34031,0.93328,0.88618,0.73522,0.73591,0.88198,0.86243,0.68071,0.59674,3.1416,3.1416,0.76217,1,0.9881,0.68338,0.062762,0.006734,1.2044,0.30405,1.0871,0.036139,0.03,0.0395
1,3,2,1,0.74465,0.81199,1.577,1.6515,0.613,0.668,0.957,0.952,0.39055,0.41225,3.375,3.2225,-1.5501,-1.4911,0.11439,0.11988,0.29668,0.29668,0.7781,0.79404,0.28278,0.29701,0.79479,0.85381,0.67398,0.72438,0.89282,0.91241,0.72658,0.75483,3.1416,2.8141,0.75704,1,0.99319,0.49392,0.098377,0.0087898,1.2461,0.23371,1.1935,0.059093,-0.0045,-0.005707
1,3,2,1,0.75895,0.86813,1.616,1.6455,0.5655,0.6535,1.03,0.995,0.36838,0.40282,3.2943,3.2342,-1.5744,-1.5218,0.12419,0.10775,0.30353,0.30353,0.76311,0.82456,0.31511,0.28624,0.82382,0.89371,0.68347,0.74392,0.92786,0.93038,0.73424,0.78599,2.8544,3.1416,0.74449,1,0.99757,0.52461,0.096053,0.011066,1.2937,0.28789,1.2181,0.065824,0.0445,0.055074
1,3,2,1,0.77962,0.81845,1.5245,1.4915,0.5895,0.574,0.9395,0.9225,0.38477,0.38617,3.491,3.5682,-1.6772,-1.6775,0.11935,0.10828,0.33854,0.33854,0.79335,0.79822,0.29868,0.2912,0.81624,0.87409,0.69845,0.72121,0.93553,0.91133,0.7701,0.75845,3.1269,2.8251,0.76695,1,0.99974,0.59745,0.10197,0.008569,1.2731,0.32158,1.1892,0.06778,-0.0005,-0.00065595
1,3,2,2,0.80665,0.77966,1.3855,1.3415,0.5155,0.565,0.8485,0.8245,0.38229,0.40519,3.8412,2.9817,-1.8089,-1.8173,0.10077,0.10205,0.35903,0.35903,0.76811,0.75754,0.30097,0.27433,0.81141,0.78975,0.67292,0.69797,0.9333,0.87991,0.76942,0.73808,2.7475,1.8124,0.77622,1,0.99954,0.65032,0.10044,0.0072645,1.2365,0.27479,1.1729,0.065034,0.0485,0.070011
1,3,2,2,0.78191,0.78369,1.365,1.379,0.504,0.547,0.881,0.84,0.36466,0.39871,3.8988,2.9007,-1.8468,-1.8107,0.085561,0.09463,0.36821,0.36821,0.73905,0.8024,0.28434,0.27555,0.80079,0.81995,0.65195,0.68602,0.89889,0.92162,0.74674,0.79425,2.735,2.5436,0.7692,1,0.99875,0.62427,0.13155,0.010668,1.234,0.34797,1.1432,0.086011,0.056,0.082051
1,3,2,2,0.82335,0.86763,1.413,1.4115,0.533,0.5695,0.8705,0.8055,0.37854,0.42279,3.7664,2.8339,-1.7519,-1.7542,0.093797,0.089927,0.35903,0.35903,0.80582,0.84675,0.28705,0.27969,0.83346,0.887,0.73989,0.799,0.91649,0.91611,0.73656,0.79903,2.0788,3.1416,0.7716,1,0.99743,0.60219,0.10746,0.0089769,1.2173,0.42772,1.0919,0.090142,0.0645,0.091295
1,3,2,3,0.76813,0.84021,1.274,1.2475,0.4965,0.547,0.756,0.7225,0.39567,0.43489,4.1775,2.0837,-1.9778,-1.9555,0.079785,0.06759,0.39405,0.39405,0.73843,0.81977,0.30882,0.21753,0.78561,0.77664,0.68044,0.75864,0.90896,0.89193,0.75571,0.75426,2.0854,1.565,0.78915,1,0.99852,0.7072,0.12777,0.0098472,1.2167,0.33741,1.1403,0.077665,0.074,0.11617
1,3,2,3,0.78543,0.81476,1.306,1.325,0.487,0.5565,0.815,0.764,0.36525,0.42887,4.0751,1.9619,-1.9736,-1.8471,0.0513,0.066508,0.38069,0.38069,0.81945,0.78273,0.29748,0.25133,0.82993,0.78523,0.72106,0.74804,0.94094,0.88388,0.76884,0.74233,1.6654,2.0699,0.78603,1,0.99148,0.72838,0.11706,0.012063,1.2105,0.44193,1.0954,0.069937,0.0905,0.13859
1,3,2,3,0.82544,0.86266,1.303,1.287,0.491,0.544,0.7925,0.732,0.3861,0.43187,4.0844,2.02,-1.961,-1.9054,0.061013,0.065207,0.38147,0.38147,0.83452,0.84237,0.29392,0.23032,0.85612,0.83435,0.74808,0.79279,0.9707,0.93639,0.79391,0.78188,3.1416,1.3777,0.76009,1,0.99428,0.71875,0.11324,0.010009,1.2275,0.40915,1.1248,0.071644,0.114,0.17498
1,3,3,1,0.86533,0.87026,1.3405,1.29,0.569,0.5665,0.7245,0.747,0.42093,0.42047,3.9722,4.1255,-1.8436,-1.9173,0.1129,0.072551,0.38365,0.38365,0.83486,0.83564,0.23793,0.21958,0.86952,0.88801,0.78229,0.7704,0.93231,0.92488,0.79034,0.77438,3.1416,2.9945,0.71477,1,0.99944,0.65309,0.05527,0.0051808,1.2933,0.19853,1.2516,0.03724,-0.0015,-0.002238
1,3,3,1,0.86947,0.8343,1.25,1.314,0.546,0.561,0.743,0.748,0.41912,0.41674,4.2575,4.0502,-1.9936,-1.8899,0.095981,0.083802,0.38365,0.38365,0.8465,0.81041,0.27898,0.28351,0.90832,0.87307,0.7997,0.7571,0.92959,0.88871,0.76514,0.77988,3.1416,2.8691,0.71387,1,0.99993,0.67255,0.034175,0.0038852,1.3028,0.21084,1.257,0.021941,-0.007,-0.0112
1,3,3,1,0.83754,0.90832,1.2945,1.278,0.513,0.5245,0.746,0.743,0.42685,0.40838,4.1125,4.1646,-1.8819,-1.9241,0.089435,0.08446,0.38726,0.38726,0.82518,0.85758,0.27172,0.26875,0.86673,0.91182,0.75055,0.82153,0.93231,0.90161,0.78769,0.78292,3.0835,2.2658,0.67992,1,0.99995,0.66994,-0.0056737,0.0043214,1.2818,0.19643,1.237,0.009703,-0.0095,-0.014677
1,3,3,2,0.83063,0.84934,1.1185,1.1145,0.4535,0.4695,0.63,0.629,0.4117,0.42286,4.7583,3.5891,-2.2378,-2.2161,0.079007,0.062046,0.45839,0.45839,0.81697,0.82011,0.235,0.23675,0.85574,0.85626,0.75863,0.79278,0.89217,0.86802,0.80049,0.76919,1.9014,1.6699,0.72911,1,0.99951,0.77045,0.048556,0.0047057,1.2389,0.34759,1.1563,0.040058,-0.0085,-0.015199
1,3,3,2,0.82077,0.86178,1.3115,1.24,0.545,0.5245,0.754,0.7055,0.41858,0.41155,4.0579,3.2259,-1.8775,-1.9773,0.07732,0.071675,0.39378,0.39378,0.78398,0.82336,0.24651,0.28085,0.84405,0.89221,0.72386,0.79525,0.93341,0.89208,0.77832,0.75096,3.0055,1.8253,0.69191,1,0.99991,0.67703,0.051897,0.0071991,1.2666,0.2236,1.2171,0.035579,0.0295,0.044987
1,3,3,2,0.74197,0.8463,1.0655,1.081,0.443,0.466,0.6195,0.6275,0.42291,0.42566,4.9948,3.7003,-2.3237,-2.2848,0.072831,0.058954,0.48828,0.48828,0.74709,0.83103,0.28399,0.23844,0.794,0.87904,0.69978,0.80131,0.84679,0.88106,0.71367,0.75714,2.0637,2.029,0.73067,1,0.99983,0.78362,0.04625,0.003755,1.2462,0.26087,1.1993,0.030184,0.006,0.011262
1,3,3,3,0.86624,0.85608,1.007,1.0095,0.464,0.472,0.578,0.5575,0.43726,0.45748,5.2851,2.575,-2.4475,-2.3567,0.10174,0.04867,0.49867,0.49867,0.83923,0.81754,0.24713,0.27151,0.8471,0.80964,0.76622,0.78444,0.92798,0.94096,0.82226,0.77599,3.1416,1.4578,0.80066,1,0.99348,0.85171,0.095673,0.0040803,1.2127,0.28831,1.1484,0.072612,0.0485,0.096326
1,3,3,3,0.8466,0.83755,1.0955,1.095,0.4915,0.479,0.62,0.604,0.43497,0.4465,4.858,2.374,-2.2774,-2.1813,0.10717,0.044805,0.4702,0.4702,0.8376,0.80544,0.22277,0.25331,0.85702,0.80179,0.76165,0.75073,0.91395,0.89173,0.80064,0.77009,2.9502,2.0302,0.74917,1,0.99081,0.835,0.060587,0.0028466,1.2235,0.30211,1.1537,0.045843,0.0045,0.0082154
1,3,3,3,0.82809,0.80852,1.1035,1.109,0.463,0.4975,0.624,0.599,0.42867,0.45246,4.8228,2.344,-2.2192,-2.1806,0.10525,0.045836,0.45211,0.45211,0.81383,0.78978,0.26065,0.2249,0.85625,0.82206,0.76855,0.73842,0.89754,0.84189,0.75013,0.75178,2.077,1.4723,0.78816,1,0.99998,0.75314,0.068896,0.0028827,1.2378,0.227,1.1984,0.051628,0.0495,0.089715
1,6,1,1,0.68675,0.66078,2.6945,2.6795,1.0475,0.968,1.579,1.743,0.39212,0.36792,1.9752,1.9862,-0.96366,-0.96706,0.26933,0.22789,0.17504,0.17504,0.72268,0.74226,0.37042,0.3752,0.76946,0.78619,0.64887,0.60671,0.79765,0.8473,0.69287,0.7083,3.1416,3.1416,0.73921,1,0.99963,0.34733,-0.043122,0.0042018,1.2361,0.35601,1.1351,-0.025737,-0.0215,-0.015958
1,6,1,1,0.60842,0.58845,3.0075,3.018,1.097,1.091,2.0015,1.946,0.36767,0.3433,1.7696,1.7637,-0.85972,-0.85888,0.29121,0.27238,0.13658,0.13658,0.65752,0.68337,0.49994,0.47653,0.69047,0.71763,0.5851,0.58435,0.82715,0.80274,0.60331,0.64641,3.1313,3.1416,0.74215,1,0.99949,0.27517,-0.041673,0.0068565,1.1645,0.31555,1.0699,-0.022888,0.0235,0.015628
1,6,1,1,0.71467,0.72995,2.252,2.262,0.824,0.756,1.475,1.563,0.345,0.32133,2.3632,2.3528,-1.1218,-1.1368,0.13675,0.14062,0.17404,0.17404,0.70784,0.75196,0.33203,0.37905,0.75708,0.8103,0.59388,0.60562,0.90959,0.87487,0.64887,0.64639,3.1416,2.525,0.75069,1,0.9981,0.35495,-0.051924,0.0071293,1.2383,0.27652,1.1532,-0.030895,0,0
1,6,1,2,0.78659,0.80314,1.872,1.811,0.615,0.599,1.2275,1.279,0.33336,0.31651,2.8429,2.209,-1.3872,-1.4174,0.13887,0.1603,0.27011,0.27011,0.77599,0.78065,0.36068,0.36953,0.86828,0.82367,0.64825,0.61709,0.95053,0.93628,0.73787,0.74903,1.9457,3.1416,0.77118,1,0.99013,0.56664,-0.063243,0.0073827,1.2316,0.48032,1.057,-0.060282,-0.0165,-0.017628
1,6,1,2,0.717,0.74188,1.935,1.956,0.727,0.654,1.2595,1.318,0.35547,0.33181,2.7506,2.045,-1.3358,-1.3148,0.15297,0.21922,0.25391,0.25391,0.73873,0.73122,0.37876,0.34195,0.80699,0.77919,0.63988,0.66395,0.92679,0.90547,0.70103,0.69762,1.5708,1.5708,0.72893,1,0.99397,0.52055,-0.0336,0.0082733,1.2285,0.40721,1.1058,-0.018513,-0.0075,-0.0077519
1,6,1,2,0.77957,0.73467,1.801,1.819,0.684,0.664,1.125,1.166,0.375,0.35904,2.955,2.199,-1.3913,-1.3726,0.12488,0.11241,0.23532,0.23532,0.72877,0.70422,0.33183,0.31454,0.80616,0.75661,0.63024,0.63406,0.90981,0.89058,0.70493,0.67384,1.8697,2.0725,0.74043,1,0.99561,0.48223,-0.05761,0.00656,1.228,0.29056,1.1418,-0.041226,0,0
