grp , pp , S , IDR , IDL , accTimeL , accQR , rho , Rf , IPerfEfL , q1R , peakVelL , decTimeR , circularityR , circularityL , q1L , q2L , Lf , flsAmp , decTimeL , q4R , phDiffStd , q3L , accQL , IPerfL , q3R , MTR , IPerfEfR , IPerfR , MTL , q2R , phDiffMean , flsPC , accTimeR , peakVelR , q4L
1,2,1,3,1,0.51574,1.5873,1,0.32992,11.561,1.0269,0.15969,0.53655,0.85466,0.85466,1.0269,0.58357,0.32992,0.052219,0.48644,0.44106,0.0067149,0.9626,1.1948,11.618,0.9626,1.358,6.1871,4.3214,1.2869,0.58357,0.034673,0.16693,0.46511,0.17295,0.44106
1,2,1,3,1,0.50681,1.4986,1,0.36439,4.0485,0.98236,0.19924,0.52006,0.79968,0.79968,0.98236,0.6157,0.36439,0.053003,0.49392,0.43241,0.0051221,1.0658,1.333,3.8932,1.0658,1.3587,2.9717,2.0781,1.4007,0.6157,0.049737,0.16349,0.48074,0.20225,0.43241
1,2,1,3,2,0.49581,1.2796,1,0.71957,4.6437,1.0339,0.27808,0.52516,0.84218,0.84218,1.0339,0.68446,0.71957,0.070537,0.50563,0.80008,0.0064259,0.93887,1.198,3.7445,0.93887,0.63129,7.8309,5.4978,0.72489,0.68446,0.10066,0.17615,0.47695,0.2436,0.80008
1,2,1,3,2,0.46846,1.1708,1,0.79901,4.7855,1.0188,0.27398,0.52923,0.91925,0.91925,1.0188,0.8972,0.79901,0.10846,0.53324,0.93883,0.010374,0.86883,1.1913,4.4183,0.86883,0.60447,6.755,4.4686,0.62685,0.8972,0.095395,0.17447,0.47248,0.26611,0.93883
1,2,1,3,2,0.49798,1.1878,1,0.86167,12.272,0.87424,0.22618,0.52105,0.88583,0.88583,0.87424,0.82268,0.86167,0.10609,0.50617,0.80237,0.0088559,0.85935,1.0802,10.788,0.85935,0.51046,10.651,7.9887,0.50594,0.82268,0.085177,0.17113,0.48203,0.23112,0.80237
1,2,1,3,2,0.49581,1.2796,1,0.71957,4.6437,1.0339,0.27808,0.52516,0.84218,0.84218,1.0339,0.68446,0.71957,0.070537,0.50563,0.80008,0.0064259,0.93887,1.198,3.7445,0.93887,0.63129,7.8309,5.4978,0.72489,0.68446,0.10066,0.17615,0.47695,0.2436,0.80008
1,2,1,3,2,0.46846,1.1708,1,0.79901,4.7855,1.0188,0.27398,0.52923,0.91925,0.91925,1.0188,0.8972,0.79901,0.10846,0.53324,0.93883,0.010374,0.86883,1.1913,4.4183,0.86883,0.60447,6.755,4.4686,0.62685,0.8972,0.095395,0.17447,0.47248,0.26611,0.93883
1,2,1,3,2,0.49798,1.1878,1,0.86167,12.272,0.87424,0.22618,0.52105,0.88583,0.88583,0.87424,0.82268,0.86167,0.10609,0.50617,0.80237,0.0088559,0.85935,1.0802,10.788,0.85935,0.51046,10.651,7.9887,0.50594,0.82268,0.085177,0.17113,0.48203,0.23112,0.80237
1,2,4,1,1,0.50155,1.2787,1,0.40133,23.815,0.98766,0.15534,0.51028,0.8379,0.8379,0.98766,0.51333,0.40133,0.039205,0.50319,0.48363,0.011501,0.92412,1.1512,25.254,0.92412,0.81528,23.478,25.912,0.71879,0.51333,-0.24951,0.17151,0.49459,0.14222,0.48363
1,2,4,1,1,0.50338,1.5498,1,0.41199,20.02,0.96249,0.19103,0.53369,0.78698,0.78698,0.96249,0.37656,0.41199,0.036784,0.50043,0.43566,0.010491,0.9796,1.1643,20.287,0.9796,1.0997,11.907,11.999,0.86809,0.37656,-0.26161,0.17141,0.46856,0.20599,0.43566
