grp , pp , S , IDR , IDL , q1L
1,8,1,2,1,1.0663
1,8,1,2,1,0.95205
1,8,1,2,1,0.95639
1,8,1,2,1,1.0663
1,8,1,2,2,0.83068
1,8,1,2,2,1.0486
1,8,1,2,2,1.0121
1,8,1,2,2,0.83068
1,8,1,2,2,1.0486
1,8,1,2,2,1.0121
1,8,1,3,1,1.0409
1,8,1,3,1,0.96156
1,8,1,3,1,0.9925
1,8,1,3,1,1.0409
1,8,1,3,1,0.96156
1,8,1,3,1,0.9925
1,8,1,3,2,0.88757
1,8,1,3,2,0.95751
1,8,1,3,2,0.82806
1,8,1,3,2,0.88757
1,8,1,3,2,0.95751
1,8,1,3,2,0.82806
1,8,4,1,1,0.9439
1,8,4,1,1,0.97872
1,8,4,1,1,1.0244
1,8,4,1,1,0.9439
1,8,4,1,1,0.97872
1,8,4,1,1,1.0244
1,8,4,1,2,1.0602
1,8,4,1,2,0.95121
1,8,4,1,2,0.99194
1,8,4,1,2,1.0602
1,8,4,1,2,0.95121
1,8,4,1,2,0.99194
1,8,4,2,1,1.0174
1,8,4,2,1,1.0875
1,8,4,2,1,0.94902
1,8,4,2,1,1.0174
1,8,4,2,1,1.0875
1,8,4,2,1,0.94902
1,8,4,2,2,0.92898
1,8,4,2,2,0.93932
1,8,4,2,2,0.91431
1,8,4,2,2,0.92898
1,8,4,2,2,0.93932
1,8,4,2,2,0.91431
1,8,4,3,1,0.97798
1,8,4,3,1,0.98688
1,8,4,3,1,0.95702
1,8,4,3,1,0.97798
1,8,4,3,1,0.98688
1,8,4,3,1,0.95702
1,8,4,3,2,0.85253
1,8,4,3,2,0.93594
1,8,4,3,2,0.7585
1,8,4,3,2,0.85253
1,8,4,3,2,0.93594
1,8,4,3,2,0.7585
1,8,7,1,1,0.81878
1,8,7,1,1,1.0543
1,8,7,1,1,1.0315
1,8,7,1,1,0.81878
1,8,7,1,1,1.0543
1,8,7,1,1,1.0315
1,8,7,1,2,0.87221
1,8,7,1,2,0.90323
1,8,7,1,2,0.82133
1,8,7,1,2,0.87221
1,8,7,1,2,0.90323
1,8,7,1,2,0.82133
1,8,7,2,1,0.98416
1,8,7,2,1,0.90504
1,8,7,2,1,1.0378
1,8,7,2,1,0.98416
1,8,7,2,1,0.90504
1,8,7,2,1,1.0378
1,8,7,2,2,0.8415
1,8,7,2,2,0.75314
1,8,7,2,2,0.94567
1,8,7,2,2,0.8415
1,8,7,2,2,0.75314
1,8,7,2,2,0.94567
1,8,7,3,1,0.85127
1,8,7,3,1,1.0351
1,8,7,3,1,0.82928
1,8,7,3,1,0.85127
1,8,7,3,1,1.0351
1,8,7,3,1,0.82928
1,8,7,3,2,0.85239
1,8,7,3,2,0.85774
1,8,7,3,2,0.83675
1,8,7,3,2,0.85239
1,8,7,3,2,0.85774
1,8,7,3,2,0.83675
1,9,1,1,1,1.0043
1,9,1,1,1,1.0156
1,9,1,1,1,1.0582
1,9,1,1,1,1.0043
1,9,1,1,1,1.0156
1,9,1,1,1,1.0582
1,9,1,1,2,0.94114
1,9,1,1,2,1.0193
1,9,1,1,2,1.0717
1,9,1,1,2,0.94114
1,9,1,1,2,1.0193
1,9,1,1,2,1.0717
1,9,1,2,1,1.08
1,9,1,2,1,0.95987
1,9,1,2,1,0.93248
1,9,1,2,1,1.08
1,9,1,2,1,0.95987
1,9,1,2,1,0.93248
1,9,1,2,2,1.0909
1,9,1,2,2,0.94356
1,9,1,2,2,0.93451
1,9,1,2,2,1.0909
1,9,1,2,2,0.94356
1,9,1,2,2,0.93451
1,9,1,3,1,0.94573
1,9,1,3,1,1.0497
1,9,1,3,1,0.92093
1,9,1,3,1,0.94573
1,9,1,3,1,1.0497
1,9,1,3,1,0.92093
1,9,1,3,2,0.99489
1,9,1,3,2,0.89225
1,9,1,3,2,0.92248
1,9,1,3,2,0.99489
1,9,1,3,2,0.89225
1,9,1,3,2,0.92248
1,9,4,1,1,0.83778
1,9,4,1,1,0.88218
1,9,4,1,1,0.92235
1,9,4,1,1,0.83778
1,9,4,1,1,0.88218
1,9,4,1,1,0.92235
1,9,4,1,2,1.0765
1,9,4,1,2,0.96672
1,9,4,1,2,0.96847
1,9,4,1,2,1.0765
1,9,4,1,2,0.96672
1,9,4,1,2,0.96847
1,9,4,2,1,1.0246
1,9,4,2,1,1.1106
1,9,4,2,1,0.97398
1,9,4,2,1,1.0246
1,9,4,2,1,1.1106
1,9,4,2,1,0.97398
1,9,4,2,2,0.8118
1,9,4,2,2,1.027
1,9,4,2,2,0.88135
1,9,4,2,2,0.8118
1,9,4,2,2,1.027
1,9,4,2,2,0.88135
1,9,4,3,1,0.9899
1,9,4,3,1,0.91683
1,9,4,3,1,0.82493
1,9,4,3,1,0.9899
1,9,4,3,1,0.91683
1,9,4,3,1,0.82493
1,9,4,3,2,0.93069
1,9,4,3,2,0.91093
1,9,4,3,2,0.92791
1,9,4,3,2,0.93069
1,9,4,3,2,0.91093
1,9,4,3,2,0.92791
1,9,7,1,1,0.81412
1,9,7,1,1,0.78799
1,9,7,1,1,0.89518
1,9,7,1,1,0.81412
1,9,7,1,1,0.78799
1,9,7,1,1,0.89518
1,9,7,1,2,0.9955
1,9,7,1,2,0.96314
1,9,7,1,2,0.9718
1,9,7,1,2,0.9955
1,9,7,1,2,0.96314
1,9,7,1,2,0.9718
1,9,7,2,1,1.0107
1,9,7,2,1,0.98609
1,9,7,2,1,1.043
1,9,7,2,1,1.0107
1,9,7,2,1,0.98609
1,9,7,2,1,1.043
1,9,7,2,2,0.91824
1,9,7,2,2,0.8758
1,9,7,2,2,0.9811
1,9,7,2,2,0.91824
1,9,7,2,2,0.8758
1,9,7,2,2,0.9811
1,9,7,3,1,0.9333
1,9,7,3,1,0.94382
1,9,7,3,1,0.96765
1,9,7,3,1,0.9333
1,9,7,3,1,0.94382
1,9,7,3,1,0.96765
1,9,7,3,2,0.86041
1,9,7,3,2,0.79452
1,9,7,3,2,0.86622
1,9,7,3,2,0.86041
1,9,7,3,2,0.79452
1,9,7,3,2,0.86622
2,1,1,1,1,0.97222
2,1,1,1,1,0.90709
2,1,1,1,1,1.0075
2,1,1,1,1,0.97222
2,1,1,1,1,0.90709
2,1,1,1,1,1.0075
2,1,1,1,2,0.99274
2,1,1,1,2,1.0321
2,1,1,1,2,1.0477
2,1,1,1,2,0.99274
2,1,1,1,2,1.0321
2,1,1,1,2,1.0477
2,1,1,2,1,1.0558
2,1,1,2,1,1.0152
2,1,1,2,1,1.086
2,1,1,2,1,1.0558
2,1,1,2,1,1.0152
2,1,1,2,1,1.086
2,1,1,2,2,1.0199
2,1,1,2,2,0.9424
2,1,1,2,2,1.048
2,1,1,2,2,1.0199
2,1,1,2,2,0.9424
2,1,1,2,2,1.048
2,1,1,3,1,0.86663
2,1,1,3,1,1.0208
2,1,1,3,1,0.89729
2,1,1,3,1,0.86663
2,1,1,3,1,1.0208
2,1,1,3,1,0.89729
2,1,1,3,2,0.86716
2,1,1,3,2,1.0309
2,1,1,3,2,0.8689
2,1,1,3,2,0.86716
2,1,1,3,2,1.0309
2,1,1,3,2,0.8689
2,1,4,1,1,0.93995
2,1,4,1,1,1.0327
2,1,4,1,1,0.90969
2,1,4,1,1,0.93995
2,1,4,1,1,1.0327
2,1,4,1,1,0.90969
2,1,4,1,2,0.95334
2,1,4,1,2,0.9826
2,1,4,1,2,0.87232
2,1,4,1,2,0.95334
2,1,4,1,2,0.9826
2,1,4,1,2,0.87232
2,1,4,2,1,0.98509
2,1,4,2,1,0.86347
2,1,4,2,1,0.9904
2,1,4,2,1,0.98509
2,1,4,2,1,0.86347
2,1,4,2,1,0.9904
2,1,4,2,2,0.9469
2,1,4,2,2,0.92421
2,1,4,2,2,0.97779
2,1,4,2,2,0.9469
2,1,4,2,2,0.92421
2,1,4,2,2,0.97779
2,1,4,3,1,0.87925
2,1,4,3,1,1.029
2,1,4,3,1,0.95433
2,1,4,3,1,0.87925
2,1,4,3,1,1.029
2,1,4,3,1,0.95433
2,1,4,3,2,0.9583
2,1,4,3,2,0.8306
2,1,4,3,2,0.92436
2,1,4,3,2,0.9583
2,1,4,3,2,0.8306
2,1,4,3,2,0.92436
2,1,7,1,1,0.88392
2,1,7,1,1,0.92705
2,1,7,1,1,0.99055
2,1,7,1,1,0.88392
2,1,7,1,1,0.92705
2,1,7,1,1,0.99055
2,1,7,1,2,0.85743
2,1,7,1,2,1.0733
2,1,7,1,2,1.0872
2,1,7,1,2,0.85743
2,1,7,1,2,1.0733
2,1,7,1,2,1.0872
2,1,7,2,1,0.84498
2,1,7,2,1,0.90233
2,1,7,2,1,0.99112
2,1,7,2,1,0.84498
2,1,7,2,1,0.90233
2,1,7,2,1,0.99112
2,1,7,2,2,0.91778
2,1,7,2,2,1.0245
2,1,7,2,2,1.02
2,1,7,2,2,0.91778
2,1,7,2,2,1.0245
2,1,7,2,2,1.02
2,1,7,3,1,0.86582
2,1,7,3,1,0.771
2,1,7,3,1,0.78345
2,1,7,3,1,0.86582
2,1,7,3,1,0.771
2,1,7,3,1,0.78345
2,1,7,3,2,0.90945
2,1,7,3,2,0.84982
2,1,7,3,2,0.90124
2,1,7,3,2,0.90945
2,1,7,3,2,0.84982
2,1,7,3,2,0.90124
2,4,1,1,1,1.0119
2,4,1,1,1,1.0336
2,4,1,1,1,0.965
2,4,1,1,1,1.0119
2,4,1,1,1,1.0336
2,4,1,1,1,0.965
2,4,1,1,2,1.0336
2,4,1,1,2,1.0108
2,4,1,1,2,1.0408
2,4,1,1,2,1.0336
2,4,1,1,2,1.0108
2,4,1,1,2,1.0408
2,4,1,2,1,1
2,4,1,2,1,1.0659
2,4,1,2,1,1.0305
2,4,1,2,1,1
2,4,1,2,1,1.0659
2,4,1,2,1,1.0305
2,4,1,2,2,0.99934
2,4,1,2,2,0.88889
2,4,1,2,2,1.0242
2,4,1,2,2,0.99934
2,4,1,2,2,0.88889
2,4,1,2,2,1.0242
2,4,1,3,1,0.99651
2,4,1,3,1,1.0387
2,4,1,3,1,1.0198
2,4,1,3,1,0.99651
2,4,1,3,1,1.0387
2,4,1,3,1,1.0198
2,4,1,3,2,1.0226
2,4,1,3,2,0.78732
2,4,1,3,2,0.95632
2,4,1,3,2,1.0226
2,4,1,3,2,0.78732
2,4,1,3,2,0.95632
2,4,4,1,1,1.1556
2,4,4,1,1,1.001
2,4,4,1,1,0.96124
2,4,4,1,1,1.1556
2,4,4,1,1,1.001
2,4,4,1,1,0.96124
2,4,4,1,2,1.0005
2,4,4,1,2,1.0335
2,4,4,1,2,0.96524
2,4,4,1,2,1.0005
2,4,4,1,2,1.0335
2,4,4,1,2,0.96524
2,4,4,2,1,0.91797
2,4,4,2,1,0.86173
2,4,4,2,1,1.0585
2,4,4,2,1,0.91797
2,4,4,2,1,0.86173
2,4,4,2,1,1.0585
2,4,4,2,2,1.0978
2,4,4,2,2,1.0776
2,4,4,2,2,0.96785
2,4,4,2,2,1.0978
2,4,4,2,2,1.0776
2,4,4,2,2,0.96785
2,4,4,3,1,0.97535
2,4,4,3,1,0.86316
2,4,4,3,1,0.80692
2,4,4,3,1,0.97535
2,4,4,3,1,0.86316
2,4,4,3,1,0.80692
2,4,4,3,2,0.87823
2,4,4,3,2,0.81725
2,4,4,3,2,0.81324
2,4,4,3,2,0.87823
2,4,4,3,2,0.81725
2,4,4,3,2,0.81324
2,4,7,1,1,1.0601
2,4,7,1,1,1.0287
2,4,7,1,1,1.085
2,4,7,1,1,1.0601
2,4,7,1,1,1.0287
2,4,7,1,1,1.085
2,4,7,1,2,0.92378
2,4,7,1,2,0.73716
2,4,7,1,2,0.93483
2,4,7,1,2,0.92378
2,4,7,1,2,0.73716
2,4,7,1,2,0.93483
2,4,7,2,1,0.94871
2,4,7,2,1,0.93793
2,4,7,2,1,0.93304
2,4,7,2,1,0.94871
2,4,7,2,1,0.93793
2,4,7,2,1,0.93304
2,4,7,2,2,0.95612
2,4,7,2,2,0.9918
2,4,7,2,2,0.94169
2,4,7,2,2,0.95612
2,4,7,2,2,0.9918
2,4,7,2,2,0.94169
2,4,7,3,1,0.92381
2,4,7,3,1,0.90546
2,4,7,3,1,0.92305
2,4,7,3,1,0.92381
2,4,7,3,1,0.90546
2,4,7,3,1,0.92305
2,4,7,3,2,0.90171
2,4,7,3,2,0.8409
2,4,7,3,2,0.79003
2,4,7,3,2,0.90171
2,4,7,3,2,0.8409
2,4,7,3,2,0.79003
2,5,1,1,1,0.84032
2,5,1,1,1,0.78978
2,5,1,1,1,0.92653
2,5,1,1,1,0.84032
2,5,1,1,1,0.78978
2,5,1,1,1,0.92653
2,5,1,1,2,0.82983
2,5,1,1,2,0.8608
2,5,1,1,2,0.79695
2,5,1,1,2,0.82983
2,5,1,1,2,0.8608
2,5,1,1,2,0.79695
2,5,1,2,1,0.80411
2,5,1,2,1,0.9331
2,5,1,2,1,0.9713
2,5,1,2,1,0.80411
2,5,1,2,1,0.9331
2,5,1,2,1,0.9713
2,5,1,2,2,0.78114
2,5,1,2,2,0.87184
2,5,1,2,2,0.86143
2,5,1,2,2,0.78114
2,5,1,2,2,0.87184
2,5,1,2,2,0.86143
2,5,1,3,1,0.74877
2,5,1,3,1,0.75753
2,5,1,3,1,0.74744
2,5,1,3,1,0.74877
2,5,1,3,1,0.75753
2,5,1,3,1,0.74744
2,5,1,3,2,0.84281
2,5,1,3,2,0.74301
2,5,1,3,2,0.77952
2,5,1,3,2,0.84281
2,5,1,3,2,0.74301
2,5,1,3,2,0.77952
2,5,4,1,1,0.9687
2,5,4,1,1,0.84598
2,5,4,1,1,0.74638
2,5,4,1,1,0.9687
2,5,4,1,1,0.84598
2,5,4,1,1,0.74638
2,5,4,1,2,0.87171
2,5,4,1,2,0.8229
2,5,4,1,2,0.78653
2,5,4,1,2,0.87171
2,5,4,1,2,0.8229
2,5,4,1,2,0.78653
2,5,4,2,1,0.85695
2,5,4,2,1,0.92726
2,5,4,2,1,0.87266
2,5,4,2,1,0.85695
2,5,4,2,1,0.92726
2,5,4,2,1,0.87266
2,5,4,2,2,0.80961
2,5,4,2,2,0.72348
2,5,4,2,2,0.8859
2,5,4,2,2,0.80961
2,5,4,2,2,0.72348
2,5,4,2,2,0.8859
2,5,4,3,1,0.82568
2,5,4,3,1,0.77783
2,5,4,3,1,0.80751
2,5,4,3,1,0.82568
2,5,4,3,1,0.77783
2,5,4,3,1,0.80751
2,5,4,3,2,0.86753
2,5,4,3,2,0.88351
2,5,4,3,2,0.83454
2,5,4,3,2,0.86753
2,5,4,3,2,0.88351
2,5,4,3,2,0.83454
2,5,7,1,1,0.98869
2,5,7,1,1,0.7263
2,5,7,1,1,0.78508
2,5,7,1,1,0.98869
2,5,7,1,1,0.7263
2,5,7,1,1,0.78508
