grp , pp , S , IDR , IDL , q4R
1,8,1,1,1,0.66326
1,8,1,1,1,0.56828
1,8,1,1,1,0.67721
1,8,1,1,1,0.66326
1,8,1,1,1,0.56828
1,8,1,1,2,0.726
1,8,1,1,2,0.6251
1,8,1,1,2,0.51781
1,8,1,1,2,0.726
1,8,1,1,2,0.6251
1,8,1,1,2,0.51781
1,8,1,2,1,0.55304
1,8,1,2,1,0.69119
1,8,1,2,1,0.54952
1,8,1,2,1,0.55304
1,8,1,2,1,0.69119
1,8,1,2,1,0.54952
1,8,1,2,2,0.6573
1,8,1,2,2,0.46826
1,8,1,2,2,0.79197
1,8,1,2,2,0.6573
1,8,1,2,2,0.46826
1,8,1,2,2,0.79197
1,8,1,3,1,0.54399
1,8,1,3,1,0.58939
1,8,1,3,1,0.59335
1,8,1,3,1,0.54399
1,8,1,3,1,0.58939
1,8,1,3,1,0.59335
1,8,1,3,2,0.92307
1,8,1,3,2,0.92715
1,8,1,3,2,1.0268
1,8,1,3,2,0.92307
1,8,1,3,2,0.92715
1,8,1,3,2,1.0268
1,8,4,1,1,0.63486
1,8,4,1,1,0.60388
1,8,4,1,1,0.51349
1,8,4,1,1,0.63486
1,8,4,1,1,0.60388
1,8,4,1,1,0.51349
1,8,4,1,2,0.60526
1,8,4,1,2,0.65097
1,8,4,1,2,0.60341
1,8,4,1,2,0.60526
1,8,4,1,2,0.65097
1,8,4,1,2,0.60341
1,8,4,2,1,0.475
1,8,4,2,1,0.52439
1,8,4,2,1,0.43984
1,8,4,2,1,0.475
1,8,4,2,1,0.52439
1,8,4,2,1,0.43984
1,8,4,2,2,0.90307
1,8,4,2,2,0.90997
1,8,4,2,2,0.9224
1,8,4,2,2,0.90307
1,8,4,2,2,0.90997
1,8,4,2,2,0.9224
1,8,4,3,1,0.69495
1,8,4,3,1,0.57227
1,8,4,3,1,0.69731
1,8,4,3,1,0.69495
1,8,4,3,1,0.57227
1,8,4,3,1,0.69731
1,8,4,3,2,0.89269
1,8,4,3,2,1.0405
1,8,4,3,2,0.98094
1,8,4,3,2,0.89269
1,8,4,3,2,1.0405
1,8,4,3,2,0.98094
1,8,7,1,1,0.55869
1,8,7,1,1,0.54214
1,8,7,1,1,0.63144
1,8,7,1,1,0.55869
1,8,7,1,1,0.54214
1,8,7,1,1,0.63144
1,8,7,1,2,0.74461
1,8,7,1,2,0.55217
1,8,7,1,2,0.60866
1,8,7,1,2,0.74461
1,8,7,1,2,0.55217
1,8,7,1,2,0.60866
1,8,7,2,1,0.5036
1,8,7,2,1,0.51555
1,8,7,2,1,0.46846
1,8,7,2,1,0.5036
1,8,7,2,1,0.51555
1,8,7,2,1,0.46846
1,8,7,2,2,0.88302
1,8,7,2,2,0.80691
1,8,7,2,2,0.88941
1,8,7,2,2,0.88302
1,8,7,2,2,0.80691
1,8,7,2,2,0.88941
1,8,7,3,1,0.59786
1,8,7,3,1,0.66164
1,8,7,3,1,0.70987
1,8,7,3,1,0.59786
1,8,7,3,1,0.66164
1,8,7,3,1,0.70987
1,8,7,3,2,0.91449
1,8,7,3,2,0.96849
1,8,7,3,2,0.91166
1,8,7,3,2,0.91449
1,8,7,3,2,0.96849
1,8,7,3,2,0.91166
1,9,1,1,1,0.61477
1,9,1,1,1,0.43413
1,9,1,1,1,0.47286
1,9,1,1,1,0.61477
1,9,1,1,1,0.43413
1,9,1,1,1,0.47286
1,9,1,1,2,0.66292
1,9,1,1,2,0.6146
1,9,1,1,2,0.57673
1,9,1,1,2,0.66292
1,9,1,1,2,0.6146
1,9,1,1,2,0.57673
1,9,1,2,1,0.60671
1,9,1,2,1,0.59278
1,9,1,2,1,0.68232
1,9,1,2,1,0.60671
1,9,1,2,1,0.59278
1,9,1,2,1,0.68232
1,9,1,2,2,0.59816
1,9,1,2,2,0.75079
1,9,1,2,2,0.64418
1,9,1,2,2,0.59816
1,9,1,2,2,0.75079
1,9,1,2,2,0.64418
1,9,1,3,1,0.62987
1,9,1,3,1,0.6068
1,9,1,3,1,0.51941
1,9,1,3,1,0.62987
1,9,1,3,1,0.6068
1,9,1,3,1,0.51941
1,9,1,3,2,0.80075
1,9,1,3,2,0.89268
1,9,1,3,2,0.9168
1,9,1,3,2,0.80075
1,9,1,3,2,0.89268
