grp , pp , S , IDR , IDL , accTimeR
1,2,1,1,2,0.6
1,2,1,1,2,0.49903
1,2,1,1,2,0.49206
1,2,1,1,2,0.61615
1,2,1,1,2,0.33604
1,2,1,1,2,0.59701
1,2,1,1,2,0.3945
1,2,1,1,2,0.63662
1,2,1,1,2,0.5977
1,2,1,1,2,0.53846
1,2,1,1,2,0.2757
1,2,1,1,2,0.39216
1,2,1,1,2,0.46491
1,2,1,1,2,0.59195
1,2,1,1,2,0.27208
1,2,1,1,2,0.70306
1,2,1,1,2,0.25909
1,2,1,1,2,0.66909
1,2,1,1,2,0.26696
1,2,1,1,2,0.64115
1,2,1,1,2,0.34137
1,2,1,1,2,0.71895
1,2,1,1,2,0.3121
1,2,1,1,2,0.42188
1,2,1,1,2,0.31579
1,2,1,1,2,0.77057
1,2,1,1,2,0.39724
1,2,1,1,2,0.7341
1,2,1,1,2,0.31362
1,2,1,1,2,0.6033
1,2,1,1,2,0.35582
1,2,1,1,2,0.67447
1,2,1,1,2,0.35531
1,2,1,1,2,0.6208
1,2,1,1,2,0.23749
1,2,1,1,2,0.64168
1,2,1,1,2,0.42129
1,2,1,1,2,0.65905
1,2,1,1,2,0.30592
1,2,1,1,2,0.70338
1,2,1,1,2,0.3078
1,2,1,1,2,0.71002
1,2,1,1,2,0.29292
1,2,1,1,2,0.47458
1,2,1,1,2,0.55556
1,2,1,1,2,0.74063
1,2,1,1,2,0.24947
1,2,1,1,2,0.70563
1,2,1,1,2,0.415
1,2,1,1,2,0.69808
1,2,1,1,2,0.31305
1,2,1,1,2,0.73287
1,2,1,1,2,0.28477
1,2,1,1,2,0.7583
1,2,1,1,2,0.28125
1,2,1,1,2,0.65342
1,2,1,1,2,0.25949
1,2,1,1,2,0.66748
1,2,1,1,2,0.36854
1,2,1,1,2,0.69826
1,2,1,1,2,0.26182
1,2,1,1,2,0.65215
1,2,1,1,2,0.34705
1,2,1,1,2,0.68191
1,2,1,1,2,0.25371
1,2,1,1,2,0.71303
1,2,1,1,2,0.60202
1,2,1,1,2,0.48387
1,2,1,1,2,0.54115
1,2,1,1,2,0.59563
1,2,1,1,2,0.6199
1,2,1,1,2,0.2988
1,2,1,1,2,0.59934
1,2,1,1,2,0.3403
1,2,1,1,2,0.56504
1,2,1,1,2,0.33863
1,2,1,1,2,0.64249
1,2,1,1,2,0.29082
1,2,1,1,2,0.715
1,2,1,1,2,0.33333
1,2,1,1,2,0.70168
1,2,1,1,2,0.32031
1,2,1,1,2,0.65777
1,2,1,1,2,0.3413
1,2,1,1,2,0.75
1,2,1,1,2,0.27879
1,2,1,1,2,0.45763
1,2,1,1,2,0.57634
1,2,1,1,2,0.6155
1,2,1,1,2,0.35057
1,2,1,1,2,0.73158
1,2,1,1,2,0.2409
1,2,1,1,2,0.73958
1,2,1,1,2,0.52381
1,2,1,1,2,0.52113
1,2,1,1,2,0.70652
1,2,1,1,2,0.70683
1,2,1,1,2,0.26673
1,2,1,1,2,0.74288
1,2,1,1,2,0.31904
1,2,1,1,2,0.52168
1,2,1,1,2,0.26579
1,2,1,1,2,0.69701
