grp , pp , S , IDR , IDL , IPerfR
1,2,1,1,2,4.8381
1,2,1,1,2,3.5013
1,2,1,1,2,4.1033
1,2,1,1,2,3.2912
1,2,1,1,2,3.9393
1,2,1,1,2,3.5291
1,2,1,1,2,5.7287
1,2,1,1,2,77.129
1,2,1,1,2,33.898
1,2,1,1,2,4.1741
1,2,1,1,2,4.1708
1,2,1,1,2,4.0656
1,2,1,1,2,4.1545
1,2,1,1,2,4.1806
1,2,1,1,2,4.4129
1,2,1,1,2,4.0656
1,2,1,1,2,5.2125
1,2,1,1,2,4.1938
1,2,1,1,2,4.9831
1,2,1,1,2,3.7691
1,2,1,1,2,3.9598
1,2,1,1,2,4.1971
1,2,1,1,2,6.0203
1,2,1,1,2,3.9393
1,2,1,1,2,5.3487
1,2,1,1,2,65.703
1,2,1,1,2,65.703
1,2,1,1,2,4.6643
1,2,1,1,2,5.403
1,2,1,1,2,4.2919
1,2,1,1,2,4.896
1,2,1,1,2,3.6855
1,2,1,1,2,4.8469
1,2,1,1,2,3.6302
1,2,1,1,2,64.12
1,2,1,1,2,7.9432
1,2,1,1,2,45.487
1,2,1,1,2,59.133
1,2,1,1,2,10.294
1,2,1,1,2,7.0396
1,2,1,1,2,2.2156
1,2,1,1,2,3.3241
1,2,1,1,2,39.716
1,2,1,1,2,48.825
1,2,1,1,2,2.5379
1,2,1,1,2,61.172
1,2,1,1,2,51.172
1,2,1,1,2,3.6228
1,2,1,1,2,52.176
1,2,1,1,2,46.684
1,2,1,1,2,3.2953
1,2,1,1,2,3.1754
1,2,1,1,2,2.7153
1,2,1,1,2,3.3963
1,2,1,1,2,3.2196
1,2,1,1,2,3.3429
1,2,1,1,2,2.9517
1,2,1,1,2,3.0533
1,2,1,1,2,3.4784
1,2,1,1,2,3.1104
1,2,1,1,2,83.155
1,2,1,1,2,40.014
1,2,1,1,2,3.3179
1,2,1,1,2,2.0406
1,2,1,1,2,3.4181
1,2,1,1,2,3.1792
1,2,1,1,2,2.581
1,2,1,1,2,4.4873
1,2,1,1,2,2.9665
1,2,1,1,2,3.5082
