grp , pp , S , IDR , IDL , accQR
1,2,1,1,2,0.2605
1,2,1,1,2,0.65079
1,2,1,1,2,0.49815
1,2,1,1,2,0.35782
1,2,1,1,2,2.5923
1,2,1,1,2,0.60362
1,2,1,1,2,2.69
1,2,1,1,2,0.6392
1,2,1,1,2,2.0636
1,2,1,1,2,0.32952
1,2,1,1,2,2.2736
1,2,1,1,2,0.57558
1,2,1,1,2,3.1785
1,2,1,1,2,0.4504
1,2,1,1,2,1.9569
1,2,1,1,2,0.45738
1,2,1,1,2,2.0177
1,2,1,1,2,0.47985
1,2,1,1,2,3.2954
1,2,1,1,2,0.37512
1,2,1,1,2,4.5751
1,2,1,1,2,0.27804
1,2,1,1,2,2.245
1,2,1,1,2,0.3589
1,2,1,1,2,2.9886
1,2,1,1,2,0.19365
1,2,1,1,2,2.7254
1,2,1,1,2,0.59977
1,2,1,1,2,2.9604
1,2,1,1,2,0.4555
1,2,1,1,2,2.7514
1,2,1,1,2,0.52354
1,2,1,1,2,2.7245
1,2,1,1,2,0.39464
1,2,1,1,2,2.6471
1,2,1,1,2,0.59091
1,2,1,1,2,0.64583
1,2,1,1,2,0.30872
1,2,1,1,2,2.5571
1,2,1,1,2,0.23936
1,2,1,1,2,3.0828
1,2,1,1,2,0.25889
1,2,1,1,2,3.0233
1,2,1,1,2,0.35331
1,2,1,1,2,3.6244
1,2,1,1,2,0.36412
1,2,1,1,2,2.0198
1,2,1,1,2,0.46881
1,2,1,1,2,1.6529
1,2,1,1,2,0.36746
1,2,1,1,2,2.2657
1,2,1,1,2,0.4632
1,2,1,1,2,2.4583
1,2,1,1,2,0.70833
1,2,1,1,2,0.54717
1,2,1,1,2,0.39268
1,2,1,1,2,2.7208
1,2,1,1,2,0.7553
1,2,1,1,2,2.6388
1,2,1,1,2,0.48663
1,2,1,1,2,3.1787
1,2,1,1,2,0.48632
1,2,1,1,2,1
1,2,1,1,2,0.91168
1,2,1,1,2,0.78788
1,2,1,1,2,0.68519
1,2,1,1,2,1.0078
1,2,1,1,2,1.0349
1,2,1,1,2,0.62365
1,2,1,1,2,1.9777
1,2,1,1,2,0.6875
1,2,1,1,2,1.5581
1,2,1,1,2,0.57154
1,2,1,1,2,0.69231
1,2,1,1,2,0.875
1,2,1,1,2,2.6296
1,2,1,1,2,1.575
1,2,1,1,2,1.1698
1,2,1,1,2,0.69038
1,2,1,1,2,2.6776
1,2,1,1,2,0.42308
1,2,1,1,2,2.8621
1,2,1,1,2,0.49548
1,2,1,1,2,2.7482
1,2,1,1,2,0.56055
1,2,1,1,2,1.9311
1,2,1,1,2,0.39182
1,2,1,1,2,2.206
1,2,1,1,2,1.4074
1,2,1,1,2,2.1905
1,2,1,1,2,0.29854
1,2,1,1,2,1.5183
1,2,1,1,2,0.36308
1,2,1,1,2,2.1905
1,2,1,1,2,0.65836
1,2,1,1,2,1.8128
1,2,1,1,2,0.48347
1,2,1,1,2,1.8163
1,2,1,1,2,0.61169
1,2,1,1,2,3.2132
1,2,1,1,2,0.55929
1,2,1,1,2,1.375
1,2,1,1,2,0.51833
1,2,1,1,2,2.2707
1,2,1,1,2,0.42257
1,2,1,1,2,2.2511
1,2,1,1,2,0.40924
1,2,1,1,2,2.4165
1,2,1,1,2,1.125
1,2,1,1,2,0.83333
1,2,1,1,2,0.35099
1,2,1,1,2,3.0112
1,2,1,1,2,0.41796
1,2,1,1,2,1.4109
1,2,1,1,2,0.43343
1,2,1,1,2,2.1965
1,2,1,1,2,0.36528
1,2,1,1,2,2.5142
1,2,1,1,2,0.31957
1,2,1,1,2,2.5584
1,2,1,1,2,0.53128
1,2,1,1,2,2.8561
1,2,1,1,2,0.49909
1,2,1,1,2,1.7149
1,2,1,1,2,0.43306
1,2,1,1,2,2.8226
1,2,1,1,2,0.53432
1,2,1,1,2,1.8832
1,2,1,1,2,0.46747
1,2,1,1,2,2.9441
