grp , pp , S , IDR , IDL , peakVelL
1,2,1,1,1,0.2033
1,2,1,1,1,0.25994
1,2,1,1,1,0.17846
1,2,1,1,1,0.0056022
1,2,1,1,1,0.00408
1,2,1,1,1,0.20861
1,2,1,1,1,0.0020214
1,2,1,1,1,0.0065315
1,2,1,1,1,0.20644
1,2,1,1,1,0.22569
1,2,1,1,1,0.1953
1,2,1,1,1,0.15069
1,2,1,1,1,0.16101
1,2,1,1,1,0.21194
1,2,1,1,1,0.19429
1,2,1,1,1,0.19446
1,2,1,1,1,0.22474
1,2,1,1,1,0.22949
1,2,1,1,1,0.18396
1,2,1,1,1,0.19565
1,2,1,1,1,0.18824
1,2,1,1,1,0.20023
1,2,1,1,1,0.17135
1,2,1,1,1,0.17396
1,2,1,1,1,0.19552
1,2,1,1,1,0.25465
1,2,1,1,1,0.19056
1,2,1,1,1,0.19681
1,2,1,1,1,0.21273
1,2,1,1,1,0.22661
1,2,1,1,1,0.21858
1,2,1,1,1,0.17288
1,2,1,1,1,0.22477
1,2,1,1,1,0.18133
1,2,1,1,1,0.20585
1,2,1,1,1,0.13903
1,2,1,1,1,0.0026061
1,2,1,1,1,0.0027084
1,2,1,1,1,0.20674
1,2,1,1,1,0.0032432
1,2,1,1,1,0.0016353
1,2,1,1,1,0.22429
1,2,1,1,1,0.18207
1,2,1,1,1,0.22044
1,2,1,1,1,0.22484
1,2,1,1,1,0.0016851
1,2,1,1,2,0.0011645
1,2,1,1,2,0.00098549
1,2,1,1,2,0.00087578
1,2,1,1,2,0.0016288
1,2,1,1,2,0.10942
1,2,1,1,2,0.1549
1,2,1,1,2,0.003999
1,2,1,1,2,0.0040365
1,2,1,1,2,0.16103
1,2,1,1,2,0.17749
1,2,1,1,2,0.19962
1,2,1,1,2,0.18
1,2,1,1,2,0.20646
1,2,1,1,2,0.21253
1,2,1,1,2,0.25017
1,2,1,1,2,0.21966
1,2,1,1,2,0.28532
1,2,1,1,2,0.18201
1,2,1,1,2,0.2795
1,2,1,1,2,0.21291
1,2,1,1,2,0.20417
1,2,1,1,2,0.20985
1,2,1,1,2,0.23545
1,2,1,1,2,0.23115
1,2,1,1,2,0.21513
1,2,1,1,2,0.24509
1,2,1,1,2,0.20948
1,2,1,1,2,0.15863
1,2,1,1,2,0.21351
1,2,1,1,2,0.18297
1,2,1,1,2,0.22654
1,2,1,1,2,0.18306
1,2,1,1,2,0.23067
1,2,1,1,2,0.20208
1,2,1,1,2,0.23408
1,2,1,1,2,0.23722
1,2,1,1,2,0.18893
1,2,1,1,2,0.18479
1,2,1,1,2,0.20941
1,2,1,1,2,0.22689
1,2,1,1,2,0.24581
1,2,1,1,2,0.24158
1,2,1,1,2,0.26187
1,2,1,1,2,0.20135
1,2,1,1,2,0.17922
1,2,1,1,2,0.19412
1,2,1,1,2,0.16786
1,2,1,1,2,0.19845
1,2,1,1,2,0.1203
1,2,1,1,2,0.21498
1,2,1,1,2,0.22807
1,2,1,1,2,0.21119
1,2,1,1,2,0.25699
1,2,1,1,2,0.27478
1,2,1,1,2,0.21696
1,2,1,1,2,0.23779
1,2,1,1,2,0.21797
1,2,1,1,2,0.23589
1,2,1,1,2,0.23437
1,2,1,1,2,0.20903
1,2,1,1,2,0.22324
1,2,1,1,2,0.20164
1,2,1,1,2,0.20569
1,2,1,1,2,0.29095
1,2,1,1,2,0.22738
1,2,1,1,2,0.23639
1,2,1,1,2,0.26273
1,2,1,1,2,0.20181
1,2,1,1,2,0.23985
1,2,1,1,2,0.20156
1,2,1,1,2,0.18978
1,2,1,1,2,0.16563
1,2,1,1,2,0.18296
1,2,1,1,2,0.19555
1,2,1,1,2,0.17968
1,2,1,1,2,0.2258
1,2,1,1,2,0.26087
1,2,1,1,2,0.23958
1,2,1,1,2,0.19669
1,2,1,1,2,0.22914
1,2,1,1,2,0.22128
1,2,1,1,2,0.18279
1,2,1,1,2,0.21087
1,2,1,1,2,0.16734
1,2,1,1,2,0.17301
1,2,1,1,2,0.19111
1,2,1,1,2,0.25118
1,2,1,1,2,0.22525
1,2,1,1,2,0.21507
1,2,1,1,2,0.20017
1,2,1,1,2,0.22874
1,2,1,1,2,0.23147
1,2,1,1,2,0.2542
1,2,1,1,2,0.22876
1,2,1,1,2,0.22887
1,2,1,1,2,0.19529
1,2,1,1,2,0.23739
1,2,1,1,2,0.21751
1,2,1,1,2,0.28799
1,2,1,1,2,0.22175
1,2,1,1,2,0.25164
1,2,1,1,2,0.22255
1,2,1,1,2,0.24815
1,2,1,1,2,0.0025717
1,2,1,1,2,0.00257
1,2,1,1,2,0.20771
1,2,1,1,2,0.24231
1,2,1,1,2,0.23611
1,2,1,1,2,0.24552
1,2,1,1,2,0.22423
1,2,1,1,2,0.00063393
1,2,1,1,2,0.0011735
1,2,1,1,2,0.0013339
1,2,1,1,2,0.0010863
1,2,1,1,2,0.22825
1,2,1,1,2,0.2083
1,2,1,1,2,0.25263
1,2,1,1,2,0.0026675
1,2,1,1,2,0.0011238
1,2,1,1,2,0.0014325
1,2,1,1,2,0.0032501
1,2,1,1,2,0.21386
1,2,1,1,2,0.21176
1,2,1,1,2,0.1988
1,2,1,1,2,0.26186
1,2,1,1,2,0.20664
1,2,1,1,2,0.22219
1,2,1,1,2,0.21364
1,2,1,1,2,0.19943
1,2,1,1,2,0.2455
1,2,1,1,2,0.0054428
1,2,1,1,2,0.0059196
1,2,1,1,2,0.2176
1,2,1,1,2,0.24312
1,2,1,1,2,0.22996
1,2,1,1,2,0.20873
1,2,1,1,2,0.188
1,2,1,1,2,0.19821
1,2,1,1,2,0.29545
1,2,1,1,2,0.28299
1,2,1,1,2,0.24334
1,2,1,1,2,0.26042
1,2,1,1,2,0.26424
1,2,1,1,2,0.2367
1,2,1,1,2,0.21617
1,2,1,1,2,0.23095
1,2,1,1,2,0.2073
1,2,1,1,2,0.22054
1,2,1,1,2,0.19789
1,2,1,1,2,0.19771
1,2,1,1,2,0.22713
1,2,1,1,2,0.18765
1,2,1,1,2,0.19926
1,2,1,1,2,0.20509
1,2,1,1,2,0.22817
1,2,1,1,2,0.22459
1,2,1,1,2,0.20793
1,2,1,1,2,0.19754
1,2,1,1,2,0.2305
1,2,1,1,2,0.18983
1,2,1,1,2,0.16682
1,2,1,1,2,0.23237
1,2,1,1,2,0.18726
1,2,1,1,2,0.24665
1,2,1,1,2,0.24115
1,2,1,1,2,0.25801
1,2,1,1,2,0.19188
1,2,1,1,2,0.22094
1,2,1,1,2,0.22102
1,2,1,1,2,0.25287
1,2,1,1,2,0.201
1,2,1,1,2,0.27365
1,2,1,1,2,0.23334
1,2,1,1,2,0.21497
1,2,1,1,2,0.17099
1,2,1,1,2,0.0011645
1,2,1,1,2,0.00098549
1,2,1,1,2,0.00087578
1,2,1,1,2,0.0016288
1,2,1,1,2,0.10942
1,2,1,1,2,0.1549
1,2,1,1,2,0.003999
1,2,1,1,2,0.0040365
1,2,1,1,2,0.16103
1,2,1,1,2,0.17749
1,2,1,1,2,0.19962
1,2,1,1,2,0.18
1,2,1,1,2,0.20646
1,2,1,1,2,0.21253
1,2,1,1,2,0.25017
1,2,1,1,2,0.21966
1,2,1,1,2,0.28532
1,2,1,1,2,0.18201
1,2,1,1,2,0.2795
1,2,1,1,2,0.21291
1,2,1,1,2,0.20417
1,2,1,1,2,0.20985
1,2,1,1,2,0.23545
1,2,1,1,2,0.23115
1,2,1,1,2,0.21513
1,2,1,1,2,0.24509
1,2,1,1,2,0.20948
1,2,1,1,2,0.15863
1,2,1,1,2,0.21351
1,2,1,1,2,0.18297
1,2,1,1,2,0.22654
1,2,1,1,2,0.18306
1,2,1,1,2,0.23067
1,2,1,1,2,0.20208
1,2,1,1,2,0.23408
1,2,1,1,2,0.23722
1,2,1,1,2,0.18893
1,2,1,1,2,0.18479
1,2,1,1,2,0.20941
1,2,1,1,2,0.22689
1,2,1,1,2,0.24581
1,2,1,1,2,0.24158
1,2,1,1,2,0.26187
1,2,1,1,2,0.20135
1,2,1,1,2,0.17922
1,2,1,1,2,0.19412
1,2,1,1,2,0.16786
1,2,1,1,2,0.19845
1,2,1,1,2,0.1203
1,2,1,1,2,0.21498
1,2,1,1,2,0.22807
1,2,1,1,2,0.21119
1,2,1,1,2,0.25699
1,2,1,1,2,0.27478
1,2,1,1,2,0.21696
1,2,1,1,2,0.23779
1,2,1,1,2,0.21797
1,2,1,1,2,0.23589
1,2,1,1,2,0.23437
1,2,1,1,2,0.20903
1,2,1,1,2,0.22324
1,2,1,1,2,0.20164
1,2,1,1,2,0.20569
1,2,1,1,2,0.29095
1,2,1,1,2,0.22738
1,2,1,1,2,0.23639
1,2,1,1,2,0.26273
1,2,1,1,2,0.20181
1,2,1,1,2,0.23985
1,2,1,1,2,0.20156
1,2,1,1,2,0.18978
1,2,1,1,2,0.16563
1,2,1,1,2,0.18296
1,2,1,1,2,0.19555
1,2,1,1,2,0.17968
1,2,1,1,2,0.2258
1,2,1,1,2,0.26087
1,2,1,1,2,0.23958
1,2,1,1,2,0.19669
1,2,1,1,2,0.22914
1,2,1,1,2,0.22128
1,2,1,1,2,0.18279
1,2,1,1,2,0.21087
1,2,1,1,2,0.16734
1,2,1,1,2,0.17301
1,2,1,1,2,0.19111
1,2,1,1,2,0.25118
1,2,1,1,2,0.22525
1,2,1,1,2,0.21507
1,2,1,1,2,0.20017
1,2,1,1,2,0.22874
1,2,1,1,2,0.23147
1,2,1,1,2,0.2542
1,2,1,1,2,0.22876
1,2,1,1,2,0.22887
1,2,1,1,2,0.19529
1,2,1,1,2,0.23739
1,2,1,1,2,0.21751
1,2,1,1,2,0.28799
1,2,1,1,2,0.22175
1,2,1,1,2,0.25164
1,2,1,1,2,0.22255
1,2,1,1,2,0.24815
1,2,1,1,2,0.0025717
1,2,1,1,2,0.00257
1,2,1,1,2,0.20771
1,2,1,1,2,0.24231
1,2,1,1,2,0.23611
1,2,1,1,2,0.24552
1,2,1,1,2,0.22423
1,2,1,1,2,0.00063393
1,2,1,1,2,0.0011735
1,2,1,1,2,0.0013339
1,2,1,1,2,0.0010863
1,2,1,1,2,0.22825
1,2,1,1,2,0.2083
1,2,1,1,2,0.25263
1,2,1,1,2,0.0026675
1,2,1,1,2,0.0011238
1,2,1,1,2,0.0014325
1,2,1,1,2,0.0032501
1,2,1,1,2,0.21386
1,2,1,1,2,0.21176
1,2,1,1,2,0.1988
1,2,1,1,2,0.26186
1,2,1,1,2,0.20664
1,2,1,1,2,0.22219
1,2,1,1,2,0.21364
1,2,1,1,2,0.19943
1,2,1,1,2,0.2455
1,2,1,1,2,0.0054428
1,2,1,1,2,0.0059196
1,2,1,1,2,0.2176
1,2,1,1,2,0.24312
1,2,1,1,2,0.22996
1,2,1,1,2,0.20873
1,2,1,1,2,0.188
1,2,1,1,2,0.19821
1,2,1,1,2,0.29545
1,2,1,1,2,0.28299
1,2,1,1,2,0.24334
1,2,1,1,2,0.26042
1,2,1,1,2,0.26424
1,2,1,1,2,0.2367
1,2,1,1,2,0.21617
1,2,1,1,2,0.23095
1,2,1,1,2,0.2073
1,2,1,1,2,0.22054
1,2,1,1,2,0.19789
1,2,1,1,2,0.19771
1,2,1,1,2,0.22713
1,2,1,1,2,0.18765
1,2,1,1,2,0.19926
1,2,1,1,2,0.20509
1,2,1,1,2,0.22817
1,2,1,1,2,0.22459
1,2,1,1,2,0.20793
1,2,1,1,2,0.19754
1,2,1,1,2,0.2305
1,2,1,1,2,0.18983
1,2,1,1,2,0.16682
1,2,1,1,2,0.23237
1,2,1,1,2,0.18726
1,2,1,1,2,0.24665
1,2,1,1,2,0.24115
1,2,1,1,2,0.25801
1,2,1,1,2,0.19188
1,2,1,1,2,0.22094
1,2,1,1,2,0.22102
1,2,1,1,2,0.25287
1,2,1,1,2,0.201
1,2,1,1,2,0.27365
1,2,1,1,2,0.23334
1,2,1,1,2,0.21497
1,2,1,1,2,0.17099
1,2,1,2,1,0.001664
1,2,1,2,1,0.0087295
1,2,1,2,1,0.21125
1,2,1,2,1,0.0020979
1,2,1,2,1,0.0056156
1,2,1,2,1,0.25179
1,2,1,2,1,0.0049426
1,2,1,2,1,0.0012236
1,2,1,2,1,0.21857
1,2,1,2,1,0.21278
1,2,1,2,1,0.23836
1,2,1,2,1,0.22551
1,2,1,2,1,0.23296
1,2,1,2,1,0.26029
1,2,1,2,1,0.23537
1,2,1,2,1,0.3331
1,2,1,2,1,0.22651
1,2,1,2,1,0.22252
1,2,1,2,1,0.23885
1,2,1,2,1,0.22653
1,2,1,2,1,0.19098
1,2,1,2,1,0.20575
1,2,1,2,1,0.21488
1,2,1,2,1,0.21741
