grp , pp , S , IDR , IDL , decTimeR
1,2,1,1,1,0.67629
1,2,1,1,1,0.36979
1,2,1,1,1,0.67963
1,2,1,1,1,0.4306
1,2,1,1,1,0.63439
1,2,1,1,1,0.29783
1,2,1,1,1,0.66811
1,2,1,1,1,0.387
1,2,1,1,1,0.62329
1,2,1,1,1,0.32152
1,2,1,1,1,0.6823
1,2,1,1,1,0.39109
1,2,1,1,1,0.69652
1,2,1,1,1,0.33743
1,2,1,1,1,0.59246
1,2,1,1,1,0.41559
1,2,1,1,1,0.66609
1,2,1,1,1,0.40043
1,2,1,1,1,0.70746
1,2,1,1,1,0.37014
1,2,1,1,1,0.64014
1,2,1,1,1,0.63043
1,2,1,1,1,0.42029
1,2,1,1,1,0.37334
1,2,1,1,1,0.60337
1,2,1,1,1,0.34825
1,2,1,1,1,0.66089
1,2,1,1,1,0.26903
1,2,1,1,1,0.69906
1,2,1,1,1,0.32318
1,2,1,1,1,0.63067
1,2,1,1,1,0.32983
1,2,1,1,1,0.77972
1,2,1,1,1,0.32288
1,2,1,1,1,0.12281
1,2,1,1,1,0.45726
1,2,1,1,1,0.45794
1,2,1,1,1,0.51535
1,2,1,1,1,0.51116
1,2,1,1,1,0.49952
1,2,1,1,1,0.32679
1,2,1,1,1,0.70066
1,2,1,1,1,0.30065
1,2,1,1,1,0.66976
1,2,1,1,1,0.31559
1,2,1,1,1,0.64054
1,2,1,1,1,0.3883
1,2,1,1,1,0.65393
1,2,1,1,1,0.3773
1,2,1,1,1,0.78589
1,2,1,1,1,0.40817
1,2,1,1,1,0.76378
1,2,1,1,1,0.35226
1,2,1,1,1,0.60856
1,2,1,1,1,0.56364
1,2,1,1,1,0.38776
1,2,1,1,1,0.41916
1,2,1,1,1,0.70716
1,2,1,1,1,0.38689
1,2,1,1,1,0.66687
1,2,1,1,1,0.41823
1,2,1,1,1,0.64484
1,2,1,1,1,0.32323
1,2,1,1,1,0.76728
1,2,1,1,1,0.4071
1,2,1,1,1,0.67343
1,2,1,1,1,0.36042
1,2,1,1,1,0.76564
1,2,1,1,1,0.45891
1,2,1,1,1,0.65329
1,2,1,1,1,0.33203
1,2,1,1,1,0.76849
1,2,1,1,1,0.59322
1,2,1,1,1,0.4898
1,2,1,1,1,0.32959
1,2,1,1,1,0.63082
1,2,1,1,1,0.38024
1,2,1,1,1,0.79344
1,2,1,1,1,0.35213
1,2,1,1,1,0.688
1,2,1,1,1,0.25911
1,2,1,1,1,0.73358
1,2,1,1,1,0.34011
1,2,1,1,1,0.73253
1,2,1,1,1,0.26702
1,2,1,1,1,0.65191
1,2,1,1,1,0.68508
1,2,1,1,1,0.24138
1,2,1,1,1,0.27046
1,2,1,1,1,0.67815
1,2,1,1,1,0.34352
1,2,1,1,1,0.71657
1,2,1,1,1,0.35364
1,2,1,1,1,0.69801
1,2,1,1,1,0.42739
1,2,1,1,1,0.7575
1,2,1,1,1,0.40086
1,2,1,1,1,0.78137
1,2,1,1,1,0.34781
1,2,1,1,1,0.77968
1,2,1,1,1,0.33554
1,2,1,1,2,0.50602
1,2,1,1,2,0.47761
1,2,1,1,2,0.44444
1,2,1,1,2,0.41111
1,2,1,1,2,0.5029
1,2,1,1,2,0.50926
1,2,1,1,2,0.38426
1,2,1,1,2,0.66458
1,2,1,1,2,0.41045
1,2,1,1,2,0.61468
1,2,1,1,2,0.36385
1,2,1,1,2,0.41379
1,2,1,1,2,0.47115
1,2,1,1,2,0.72498
1,2,1,1,2,0.61765
1,2,1,1,2,0.54386
1,2,1,1,2,0.40867
1,2,1,1,2,0.72852
1,2,1,1,2,0.29745
1,2,1,1,2,0.74154
1,2,1,1,2,0.33152
1,2,1,1,2,0.73367
1,2,1,1,2,0.3594
1,2,1,1,2,0.65921
1,2,1,1,2,0.2817
1,2,1,1,2,0.68849
1,2,1,1,2,0.59375
1,2,1,1,2,0.69173
1,2,1,1,2,0.23005
1,2,1,1,2,0.60314
1,2,1,1,2,0.26654
1,2,1,1,2,0.68698
1,2,1,1,2,0.39719
1,2,1,1,2,0.64503
1,2,1,1,2,0.32609
1,2,1,1,2,0.64535
1,2,1,1,2,0.37974
1,2,1,1,2,0.76311
1,2,1,1,2,0.35889
1,2,1,1,2,0.57928
1,2,1,1,2,0.34161
1,2,1,1,2,0.69465
1,2,1,1,2,0.29723
1,2,1,1,2,0.6929
1,2,1,1,2,0.29057
1,2,1,1,2,0.70783
1,2,1,1,2,0.5339
1,2,1,1,2,0.46296
1,2,1,1,2,0.25995
1,2,1,1,2,0.75123
1,2,1,1,2,0.29492
1,2,1,1,2,0.58552
1,2,1,1,2,0.30256
1,2,1,1,2,0.68763
1,2,1,1,2,0.2677
1,2,1,1,2,0.71597
1,2,1,1,2,0.24233
1,2,1,1,2,0.71955
1,2,1,1,2,0.34714
1,2,1,1,2,0.74114
1,2,1,1,2,0.33313
1,2,1,1,2,0.63201
1,2,1,1,2,0.30239
1,2,1,1,2,0.73902
1,2,1,1,2,0.34846
1,2,1,1,2,0.65356
1,2,1,1,2,0.31877
1,2,1,1,2,0.74696
1,2,1,1,2,0.28759
1,2,1,1,2,0.4005
1,2,1,1,2,0.52074
1,2,1,1,2,0.45949
1,2,1,1,2,0.4071
1,2,1,1,2,0.38053
1,2,1,1,2,0.70213
1,2,1,1,2,0.40133
1,2,1,1,2,0.66057
1,2,1,1,2,0.43562
1,2,1,1,2,0.66236
1,2,1,1,2,0.35824
1,2,1,1,2,0.70995
1,2,1,1,2,0.28571
1,2,1,1,2,0.6676
1,2,1,1,2,0.29916
1,2,1,1,2,0.68066
1,2,1,1,2,0.34304
1,2,1,1,2,0.65942
1,2,1,1,2,0.25085
1,2,1,1,2,0.72222
1,2,1,1,2,0.55932
1,2,1,1,2,0.42748
1,2,1,1,2,0.38524
1,2,1,1,2,0.65038
1,2,1,1,2,0.2691
1,2,1,1,2,0.76008
1,2,1,1,2,0.27083
1,2,1,1,2,0.47937
1,2,1,1,2,0.48592
1,2,1,1,2,0.30435
1,2,1,1,2,0.29398
1,2,1,1,2,0.73421
1,2,1,1,2,0.25801
1,2,1,1,2,0.68182
1,2,1,1,2,0.47899
1,2,1,1,2,0.73498
1,2,1,1,2,0.30364
1,2,1,1,2,0.75253
1,2,1,1,2,0.28967
1,2,1,1,2,0.6717
1,2,1,1,2,0.28498
1,2,1,1,2,0.75185
1,2,1,1,2,0.3649
1,2,1,1,2,0.70981
1,2,1,1,2,0.25555
1,2,1,1,2,0.81648
1,2,1,1,2,0.27623
1,2,1,1,2,0.68874
1,2,1,1,2,0.21761
1,2,1,1,2,0.73716
1,2,1,1,2,0.29183
1,2,1,1,2,0.72258
1,2,1,1,2,0.3064
1,2,1,1,2,0.71816
1,2,1,1,2,0.35393
1,2,1,1,2,0.65037
1,2,1,1,2,0.3947
