grp , pp , S , IDR , IDL , IPerfEfL
1,2,1,1,2,2.4244
1,2,1,1,2,3.194
1,2,1,1,2,3.4202
1,2,1,1,2,2.9688
1,2,1,1,2,2.4962
1,2,1,1,2,2.673
1,2,1,1,2,2.4556
1,2,1,1,2,2.986
1,2,1,1,2,2.7131
1,2,1,1,2,3.0108
1,2,1,1,2,2.6691
1,2,1,1,2,2.589
1,2,1,1,2,2.2837
1,2,1,1,2,2.5908
1,2,1,1,2,2.6652
1,2,1,1,2,2.7523
1,2,1,1,2,2.5816
1,2,1,1,2,2.7607
1,2,1,1,2,2.5688
1,2,1,1,2,3.6329
1,2,1,1,2,2.1793
1,2,1,1,2,2.9328
1,2,1,1,2,2.3596
1,2,1,1,2,2.9909
1,2,1,1,2,37.729
1,2,1,1,2,18.864
1,2,1,1,2,2.7295
1,2,1,1,2,2.9186
1,2,1,1,2,2.3353
1,2,1,1,2,2.1754
1,2,1,1,2,2.638
1,2,1,1,2,5.2972
1,2,1,1,2,11.932
1,2,1,1,2,34.616
1,2,1,1,2,28.424
1,2,1,1,2,2.528
1,2,1,1,2,1.8219
1,2,1,1,2,3.5386
1,2,1,1,2,28.195
1,2,1,1,2,32.675
1,2,1,1,2,29.882
1,2,1,1,2,19.21
1,2,1,1,2,2.4262
1,2,1,1,2,2.4656
1,2,1,1,2,2.3719
1,2,1,1,2,2.2368
1,2,1,1,2,3.0296
1,2,1,1,2,1.896
1,2,1,1,2,2.7335
1,2,1,1,2,2.203
1,2,1,1,2,4.1621
1,2,1,1,2,25.152
1,2,1,1,2,19.532
1,2,1,1,2,3.0967
1,2,1,1,2,2.6668
1,2,1,1,2,2.2644
1,2,1,1,2,3.0995
1,2,1,1,2,2.3735
1,2,1,1,2,3.0428
1,2,1,1,2,2.3092
1,2,1,1,2,2.5878
1,2,1,1,2,2.7039
1,2,1,1,2,2.5707
1,2,1,1,2,2.8104
1,2,1,1,2,2.6832
1,2,1,1,2,2.5335
1,2,1,1,2,3.3265
1,2,1,1,2,2.5316
1,2,1,1,2,2.613
1,2,1,1,2,2.0566
1,2,1,1,2,2.9882
1,2,1,1,2,2.0012
1,2,1,1,2,2.9729
1,2,1,1,2,2.6914
1,2,1,1,2,2.9135
1,2,1,1,2,2.6267
1,2,1,1,2,2.8846
1,2,1,1,2,2.6169
1,2,1,1,2,2.9454
1,2,1,1,2,2.6189
1,2,1,1,2,3.2614
1,2,1,1,2,2.6977
1,2,1,1,2,3.2766
1,2,1,1,2,2.584
1,2,1,1,2,2.6894
1,2,1,1,2,2.677
1,2,1,1,2,3.6419
1,2,1,1,2,2.8823
1,2,1,1,2,2.9306
1,2,1,1,2,2.9479
1,2,1,1,2,3.4962
1,2,1,1,2,3.0036
1,2,1,1,2,4.3757
1,2,1,1,2,1.9708
1,2,1,1,2,2.8517
1,2,1,1,2,2.5955
1,2,1,2,1,11.821
1,2,1,2,1,9.1447
1,2,1,2,1,3.4216
1,2,1,2,1,59.104
1,2,1,2,1,20.27
1,2,1,2,1,4.6713
1,2,1,2,1,14.509
1,2,1,2,1,64.539
1,2,1,2,1,4.5063
1,2,1,2,1,2.949
1,2,1,2,1,3.8723
1,2,1,2,1,3.6698
1,2,1,2,1,4.2993
1,2,1,2,1,2.6373
1,2,1,2,1,3.646
1,2,1,2,1,3.7836
1,2,1,2,1,3.5492
1,2,1,2,1,4.7463
1,2,1,2,1,3.4574
1,2,1,2,1,3.9681
1,2,1,2,1,3.7234
1,2,1,2,1,3.3502
1,2,1,2,1,4.002
1,2,1,2,1,3.6916
1,2,1,2,1,4.1135
1,2,1,2,1,3.3442
1,2,1,2,1,4.6442
1,2,1,2,1,3.5247
1,2,1,2,1,3.3804
1,2,1,2,1,42.217
1,2,1,2,1,19.429
1,2,1,2,1,5.0133
1,2,1,2,1,3.2269
1,2,1,2,1,51.512
1,2,1,2,1,35.093
1,2,1,2,1,3.2158
1,2,1,2,1,105.94
1,2,1,2,1,89.125
1,2,1,2,1,2.9914
1,2,1,2,1,38.723
1,2,1,2,1,21.848
1,2,1,2,1,3.0936
1,2,1,2,1,4.4811
1,2,1,2,1,28.358
1,2,1,2,1,21.848
1,2,1,2,1,3.8938
1,2,1,2,1,60.375
1,2,1,2,1,95.167
