grp , pp , S , IDR , IDL , circularityL
1,6,4,1,1,0.84782
1,6,4,1,2,0.8421
1,6,4,1,2,0.91629
1,6,4,1,2,0.88768
1,6,4,1,2,0.8421
1,6,4,1,2,0.91629
1,6,4,1,2,0.88768
1,6,4,2,1,0.91712
1,6,4,2,1,0.81581
1,6,4,2,1,0.8929
1,6,4,2,1,0.91712
1,6,4,2,1,0.81581
1,6,4,2,1,0.8929
1,6,4,2,2,0.91566
1,6,4,2,2,0.78427
1,6,4,2,2,0.82556
1,6,4,2,2,0.91566
1,6,4,2,2,0.78427
1,6,4,2,2,0.82556
1,6,4,3,1,0.86659
1,6,4,3,1,0.84345
1,6,4,3,1,0.88656
1,6,4,3,1,0.86659
1,6,4,3,1,0.84345
1,6,4,3,1,0.88656
1,6,4,3,2,0.84571
1,6,4,3,2,0.94284
1,6,4,3,2,0.94264
1,6,4,3,2,0.84571
1,6,4,3,2,0.94284
1,6,4,3,2,0.94264
1,6,7,1,1,0.7385
1,6,7,1,1,0.73369
1,6,7,1,1,0.80358
1,6,7,1,1,0.7385
1,6,7,1,1,0.73369
1,6,7,1,1,0.80358
1,6,7,1,2,0.72464
1,6,7,1,2,0.83891
1,6,7,1,2,0.84626
1,6,7,1,2,0.72464
1,6,7,1,2,0.83891
1,6,7,1,2,0.84626
1,6,7,2,1,0.80896
1,6,7,2,1,0.7994
1,6,7,2,1,0.89347
1,6,7,2,1,0.80896
1,6,7,2,1,0.7994
1,6,7,2,1,0.89347
1,6,7,2,2,0.81315
1,6,7,2,2,0.86807
1,6,7,2,2,0.78239
1,6,7,2,2,0.81315
1,6,7,2,2,0.86807
1,6,7,2,2,0.78239
1,6,7,3,1,0.83082
1,6,7,3,1,0.76546
1,6,7,3,1,0.77785
1,6,7,3,1,0.83082
1,6,7,3,1,0.76546
1,6,7,3,1,0.77785
1,6,7,3,2,0.95444
1,6,7,3,2,0.94312
1,6,7,3,2,0.89567
1,6,7,3,2,0.95444
1,6,7,3,2,0.94312
1,6,7,3,2,0.89567
1,8,1,1,1,0.72671
1,8,1,1,1,0.92786
1,8,1,1,1,0.80289
1,8,1,1,1,0.72671
1,8,1,1,1,0.92786
1,8,1,1,1,0.80289
1,8,1,1,2,0.76635
1,8,1,1,2,0.85411
1,8,1,1,2,0.81549
1,8,1,1,2,0.76635
1,8,1,1,2,0.85411
1,8,1,1,2,0.81549
1,8,1,2,1,0.76169
1,8,1,2,1,0.83903
1,8,1,2,1,0.79121
1,8,1,2,1,0.76169
1,8,1,2,1,0.83903
1,8,1,2,1,0.79121
1,8,1,2,2,0.71977
1,8,1,2,2,0.89405
1,8,1,2,2,0.89389
1,8,1,2,2,0.71977
1,8,1,2,2,0.89405
1,8,1,2,2,0.89389
1,8,1,3,1,0.80696
1,8,1,3,1,0.75371
1,8,1,3,1,0.80334
1,8,1,3,1,0.80696
1,8,1,3,1,0.75371
1,8,1,3,1,0.80334
1,8,1,3,2,0.90027
1,8,1,3,2,0.90773
1,8,1,3,2,0.94303
1,8,1,3,2,0.90027
1,8,1,3,2,0.90773
1,8,1,3,2,0.94303
1,8,4,1,1,0.72761
1,8,4,1,1,0.70957
1,8,4,1,1,0.80478
1,8,4,1,1,0.72761
1,8,4,1,1,0.70957
1,8,4,1,1,0.80478
1,8,4,1,2,0.77092
1,8,4,1,2,0.74944
1,8,4,1,2,0.86441
1,8,4,1,2,0.77092
1,8,4,1,2,0.74944
1,8,4,1,2,0.86441
1,8,4,2,1,0.86109
1,8,4,2,1,0.83995
1,8,4,2,1,0.78312
1,8,4,2,1,0.86109
1,8,4,2,1,0.83995
1,8,4,2,1,0.78312
1,8,4,2,2,0.95348
1,8,4,2,2,0.89868
1,8,4,2,2,0.90804
1,8,4,2,2,0.95348
1,8,4,2,2,0.89868
1,8,4,2,2,0.90804
1,8,4,3,1,0.81996
1,8,4,3,1,0.75683
1,8,4,3,1,0.79735
1,8,4,3,1,0.81996
1,8,4,3,1,0.75683
1,8,4,3,1,0.79735
1,8,4,3,2,0.96481
1,8,4,3,2,0.91872
1,8,4,3,2,0.9081
1,8,4,3,2,0.96481
1,8,4,3,2,0.91872
1,8,4,3,2,0.9081
1,8,7,1,1,0.7684
1,8,7,1,1,0.84102
1,8,7,1,1,0.80589
1,8,7,1,1,0.7684
1,8,7,1,1,0.84102
1,8,7,1,1,0.80589
1,8,7,1,2,0.78576
1,8,7,1,2,0.75688
1,8,7,1,2,0.81082
1,8,7,1,2,0.78576
1,8,7,1,2,0.75688
1,8,7,1,2,0.81082
1,8,7,2,1,0.83648
1,8,7,2,1,0.73563
1,8,7,2,1,0.81213
1,8,7,2,1,0.83648
1,8,7,2,1,0.73563
1,8,7,2,1,0.81213
1,8,7,2,2,0.81921
1,8,7,2,2,0.87004
1,8,7,2,2,0.86762
1,8,7,2,2,0.81921
1,8,7,2,2,0.87004
1,8,7,2,2,0.86762
1,8,7,3,1,0.80283
1,8,7,3,1,0.83695
1,8,7,3,1,0.76045
1,8,7,3,1,0.80283
1,8,7,3,1,0.83695
1,8,7,3,1,0.76045
1,8,7,3,2,0.86187
1,8,7,3,2,0.94256
1,8,7,3,2,0.88709
1,8,7,3,2,0.86187
1,8,7,3,2,0.94256
1,8,7,3,2,0.88709
1,9,1,1,1,0.82697
1,9,1,1,1,0.86117
1,9,1,1,1,0.78765
1,9,1,1,1,0.82697
1,9,1,1,1,0.86117
1,9,1,1,1,0.78765
1,9,1,1,2,0.83413
1,9,1,1,2,0.83209
1,9,1,1,2,0.90937
1,9,1,1,2,0.83413
1,9,1,1,2,0.83209
1,9,1,1,2,0.90937
1,9,1,2,1,0.90882
1,9,1,2,1,0.79596
1,9,1,2,1,0.85344
1,9,1,2,1,0.90882
1,9,1,2,1,0.79596
1,9,1,2,1,0.85344
1,9,1,2,2,0.86473
1,9,1,2,2,0.80337
1,9,1,2,2,0.87105
1,9,1,2,2,0.86473
1,9,1,2,2,0.80337
1,9,1,2,2,0.87105
1,9,1,3,1,0.83242
1,9,1,3,1,0.94532
1,9,1,3,1,0.95055
1,9,1,3,1,0.83242
1,9,1,3,1,0.94532
1,9,1,3,1,0.95055
1,9,1,3,2,0.94932
1,9,1,3,2,0.90602
1,9,1,3,2,0.90027
1,9,1,3,2,0.94932
1,9,1,3,2,0.90602
1,9,1,3,2,0.90027
1,9,4,1,1,0.81215
1,9,4,1,1,0.78377
1,9,4,1,1,0.80929
1,9,4,1,1,0.81215
1,9,4,1,1,0.78377
1,9,4,1,1,0.80929
1,9,4,1,2,0.79857
1,9,4,1,2,0.91655
1,9,4,1,2,0.8467
1,9,4,1,2,0.79857
1,9,4,1,2,0.91655
1,9,4,1,2,0.8467
1,9,4,2,1,0.92902
1,9,4,2,1,0.85024
1,9,4,2,1,0.85304
1,9,4,2,1,0.92902
1,9,4,2,1,0.85024
1,9,4,2,1,0.85304
1,9,4,2,2,0.89529
1,9,4,2,2,0.84861
1,9,4,2,2,0.8405
1,9,4,2,2,0.89529
1,9,4,2,2,0.84861
1,9,4,2,2,0.8405
1,9,4,3,1,0.94906
1,9,4,3,1,0.85153
1,9,4,3,1,0.94719
1,9,4,3,1,0.94906
1,9,4,3,1,0.85153
1,9,4,3,1,0.94719
1,9,4,3,2,0.9425
1,9,4,3,2,0.88747
1,9,4,3,2,0.94792
1,9,4,3,2,0.9425
1,9,4,3,2,0.88747
1,9,4,3,2,0.94792
1,9,7,1,1,0.85954
1,9,7,1,1,0.78801
1,9,7,1,1,0.81992
1,9,7,1,1,0.85954
1,9,7,1,1,0.78801
1,9,7,1,1,0.81992
1,9,7,1,2,0.90341
1,9,7,1,2,0.73179
1,9,7,1,2,0.79683
1,9,7,1,2,0.90341
1,9,7,1,2,0.73179
1,9,7,1,2,0.79683
1,9,7,2,1,0.91107
1,9,7,2,1,0.7772
1,9,7,2,1,0.85028
1,9,7,2,1,0.91107
1,9,7,2,1,0.7772
1,9,7,2,1,0.85028
1,9,7,2,2,0.91895
1,9,7,2,2,0.8868
1,9,7,2,2,0.88217
1,9,7,2,2,0.91895
1,9,7,2,2,0.8868
1,9,7,2,2,0.88217
1,9,7,3,1,0.80852
1,9,7,3,1,0.80779
1,9,7,3,1,0.90946
1,9,7,3,1,0.80852
1,9,7,3,1,0.80779
1,9,7,3,1,0.90946
1,9,7,3,2,0.86764
1,9,7,3,2,0.91325
1,9,7,3,2,0.89334
1,9,7,3,2,0.86764
1,9,7,3,2,0.91325
1,9,7,3,2,0.89334
2,1,1,1,1,0.75248
2,1,1,1,1,0.73813
2,1,1,1,1,0.80434
2,1,1,1,1,0.75248
2,1,1,1,1,0.73813
2,1,1,1,1,0.80434
2,1,1,1,2,0.71974
2,1,1,1,2,0.74976
2,1,1,1,2,0.68827
2,1,1,1,2,0.71974
2,1,1,1,2,0.74976
2,1,1,1,2,0.68827
2,1,1,2,1,0.92775
2,1,1,2,1,0.81136
2,1,1,2,1,0.86305
2,1,1,2,1,0.92775
2,1,1,2,1,0.81136
2,1,1,2,1,0.86305
2,1,1,2,2,0.90882
2,1,1,2,2,0.88002
2,1,1,2,2,0.93664
2,1,1,2,2,0.90882
2,1,1,2,2,0.88002
2,1,1,2,2,0.93664
2,1,1,3,1,0.83256
2,1,1,3,1,0.92408
2,1,1,3,1,0.80623
2,1,1,3,1,0.83256
2,1,1,3,1,0.92408
2,1,1,3,1,0.80623
2,1,1,3,2,0.90607
2,1,1,3,2,0.95029
2,1,1,3,2,0.87016
2,1,1,3,2,0.90607
2,1,1,3,2,0.95029
2,1,1,3,2,0.87016
2,1,4,1,1,0.63008
2,1,4,1,1,0.68359
2,1,4,1,1,0.76834
2,1,4,1,1,0.63008
2,1,4,1,1,0.68359
2,1,4,1,1,0.76834
2,1,4,1,2,0.8323
2,1,4,1,2,0.79097
2,1,4,1,2,0.80644
2,1,4,1,2,0.8323
2,1,4,1,2,0.79097
2,1,4,1,2,0.80644
2,1,4,2,1,0.81967
2,1,4,2,1,0.73891
2,1,4,2,1,0.76054
2,1,4,2,1,0.81967
2,1,4,2,1,0.73891
2,1,4,2,1,0.76054
2,1,4,2,2,0.82828
2,1,4,2,2,0.85073
2,1,4,2,2,0.79676
2,1,4,2,2,0.82828
2,1,4,2,2,0.85073
2,1,4,2,2,0.79676
2,1,4,3,1,0.94914
2,1,4,3,1,0.95864
2,1,4,3,1,0.93607
2,1,4,3,1,0.94914
2,1,4,3,1,0.95864
2,1,4,3,1,0.93607
2,1,4,3,2,0.92614
2,1,4,3,2,0.8865
2,1,4,3,2,0.88278
2,1,4,3,2,0.92614
2,1,4,3,2,0.8865
2,1,4,3,2,0.88278
2,1,7,1,1,0.79608
2,1,7,1,1,0.83749
2,1,7,1,1,0.88655
2,1,7,1,1,0.79608
2,1,7,1,1,0.83749
2,1,7,1,1,0.88655
