grp , pp , S , IDR , IDL , peakVelR
1,2,1,1,2,0.25276
1,2,1,1,2,0.24686
1,2,1,1,2,0.23443
1,2,1,1,2,0.22478
1,2,1,1,2,0.26184
1,2,1,1,2,0.23909
1,2,1,1,2,0.17325
1,2,1,1,2,0.21539
1,2,1,1,2,0.20853
1,2,1,1,2,0.26779
1,2,1,1,2,0.22337
1,2,1,1,2,0.23131
1,2,1,1,2,0.0021935
1,2,1,1,2,0.003768
1,2,1,1,2,0.2465
1,2,1,1,2,0.24185
1,2,1,1,2,0.17102
1,2,1,1,2,0.19078
1,2,1,1,2,0.2114
1,2,1,1,2,0.2062
1,2,1,1,2,0.19369
1,2,1,2,1,0.00094955
1,2,1,2,1,0.001126
1,2,1,2,1,0.0032331
1,2,1,2,1,0.0012917
1,2,1,2,1,0.13142
1,2,1,2,1,0.15015
1,2,1,2,1,0.23992
1,2,1,2,1,0.25424
1,2,1,2,1,0.26365
1,2,1,2,1,0.29647
1,2,1,2,1,0.25295
1,2,1,2,1,0.27651
1,2,1,2,1,0.21085
1,2,1,2,1,0.23857
1,2,1,2,1,0.25366
1,2,1,2,1,0.24998
1,2,1,2,1,0.22046
1,2,1,2,1,0.23419
1,2,1,2,1,0.21904
1,2,1,2,1,0.22696
1,2,1,2,1,0.22038
1,2,1,2,1,0.23756
1,2,1,2,1,0.19151
1,2,1,2,1,0.21069
1,2,1,2,1,0.20909
1,2,1,2,1,0.19437
1,2,1,2,1,0.24818
1,2,1,2,1,0.23508
1,2,1,2,1,0.16119
1,2,1,2,1,0.19956
1,2,1,2,1,0.17781
1,2,1,2,1,0.18715
1,2,1,2,1,0.23914
1,2,1,2,1,0.1867
1,2,1,2,1,0.21223
1,2,1,2,1,0.18064
1,2,1,2,1,0.18139
1,2,1,2,1,0.1778
1,2,1,2,1,0.25307
1,2,1,2,1,0.24867
1,2,1,2,1,0.23775
1,2,1,2,1,0.2336
1,2,1,2,1,0.25845
1,2,1,2,1,0.19562
1,2,1,2,1,0.22377
1,2,1,2,1,0.18222
1,2,1,2,1,0.14411
1,2,1,2,1,0.24252
1,2,1,2,1,0.21026
1,2,1,2,1,0.17261
1,2,1,2,1,0.21033
1,2,1,2,1,0.20332
1,2,1,2,1,0.20969
1,2,1,2,1,0.19557
1,2,1,2,1,0.18297
1,2,1,2,1,0.23979
1,2,1,2,1,0.20132
1,2,1,2,1,0.18761
1,2,1,2,1,0.0043813
1,2,1,2,1,0.0051933
1,2,1,2,1,0.001581
1,2,1,2,1,0.0010854
1,2,1,2,1,0.0015195
1,2,1,2,1,0.0010493
1,2,1,2,1,0.0015932
1,2,1,2,1,0.00075424
1,2,1,2,1,0.00077923
1,2,1,2,1,0.0010355
1,2,1,2,1,0.0014363
1,2,1,2,1,0.0023378
1,2,1,2,1,0.10081
1,2,1,2,1,0.16366
1,2,1,2,1,0.16717
1,2,1,2,1,0.16129
1,2,1,2,1,0.20101
1,2,1,2,1,0.17583
1,2,1,2,1,0.17517
1,2,1,2,1,0.21731
1,2,1,2,1,0.22205
1,2,1,2,1,0.21771
1,2,1,2,1,0.21591
1,2,1,2,1,0.18511
1,2,1,2,1,0.24784
1,2,1,2,1,0.19414
1,2,1,2,1,0.22195
1,2,1,2,1,0.21539
1,2,1,2,1,0.18554
1,2,1,2,1,0.22295
1,2,1,2,1,0.21727
1,2,1,2,1,0.19605
1,2,1,2,1,0.19096
1,2,1,2,1,0.18166
1,2,1,2,1,0.18931
1,2,1,2,1,0.18549
1,2,1,2,1,0.20354
1,2,1,2,1,0.22841
1,2,1,2,1,0.25471
1,2,1,2,1,0.25402
1,2,1,2,1,0.23832
1,2,1,2,1,0.21076
1,2,1,2,1,0.1638
1,2,1,2,1,0.21376
1,2,1,2,1,0.23788
1,2,1,2,1,0.21772
1,2,1,2,1,0.20792
1,2,1,2,1,0.24757
1,2,1,2,1,0.26904
1,2,1,2,1,0.19915
1,2,1,2,1,0.26158
1,2,1,2,1,0.23878
1,2,1,2,1,0.23224
1,2,1,2,1,0.20012
1,2,1,2,1,0.19379
1,2,1,2,1,0.20519
1,2,1,2,1,0.24455
1,2,1,2,1,0.19048
1,2,1,2,1,0.19374
1,2,1,2,1,0.21282
1,2,1,2,1,0.20261
1,2,1,2,1,0.15865
1,2,1,2,1,0.20662
1,2,1,2,1,0.19469
