grp , pp , S , IDR , IDL , IPerfEfR
1,2,1,1,1,4.1564
1,2,1,1,1,3.4483
1,2,1,1,1,3.2996
1,2,1,1,1,3.9202
1,2,1,1,1,3.3612
1,2,1,1,1,4.0218
1,2,1,1,1,3.2706
1,2,1,1,1,4.016
1,2,1,1,1,2.7889
1,2,1,1,1,4.5977
1,2,1,1,1,3.1121
1,2,1,1,1,3.5994
1,2,1,1,1,3.1208
1,2,1,1,1,3.2899
1,2,1,1,1,2.884
1,2,1,1,1,3.2384
1,2,1,1,1,2.9746
1,2,1,1,1,3.1794
1,2,1,1,1,2.8959
1,2,1,1,1,3.8002
1,2,1,1,1,121.44
1,2,1,1,1,80.96
1,2,1,1,1,2.853
1,2,1,1,1,2.7696
1,2,1,1,1,3.205
1,2,1,1,1,3.5878
1,2,1,1,1,2.9125
1,2,1,1,1,3.5023
1,2,1,1,1,2.7437
1,2,1,1,1,3.3331
1,2,1,1,1,3.0914
1,2,1,1,1,3.7517
1,2,1,1,1,3.244
1,2,1,1,1,32.507
1,2,1,1,1,7.9185
1,2,1,1,1,17.317
1,2,1,1,1,7.1084
1,2,1,1,1,11.275
1,2,1,1,1,2.6854
1,2,1,1,1,3.1159
1,2,1,1,1,3.3547
1,2,1,1,1,3.5863
1,2,1,1,1,2.5783
1,2,1,1,1,2.9886
1,2,1,1,1,2.504
1,2,1,1,1,2.9568
1,2,1,1,1,2.3868
1,2,1,1,1,3.0934
1,2,1,1,1,3.5005
1,2,1,1,1,2.8757
1,2,1,1,1,2.8361
1,2,1,1,1,2.7934
1,2,1,1,1,2.9012
1,2,1,1,1,101.07
1,2,1,1,1,56.722
1,2,1,1,1,2.7316
1,2,1,1,1,3.2622
1,2,1,1,1,2.7397
1,2,1,1,1,3.3792
1,2,1,1,1,2.7383
1,2,1,1,1,3.0848
1,2,1,1,1,3.1194
1,2,1,1,1,3.8048
1,2,1,1,1,2.2951
1,2,1,1,1,3.4187
1,2,1,1,1,2.7711
1,2,1,1,1,3.6595
1,2,1,1,1,2.8728
1,2,1,1,1,2.7532
1,2,1,1,1,2.7262
1,2,1,1,1,3.8074
1,2,1,1,1,94.217
1,2,1,1,1,37.815
1,2,1,1,1,2.9694
1,2,1,1,1,3.1965
1,2,1,1,1,3.1929
1,2,1,1,1,3.6451
1,2,1,1,1,3.0728
1,2,1,1,1,2.4883
1,2,1,1,1,3.215
1,2,1,1,1,3.4764
1,2,1,1,1,2.9726
1,2,1,1,1,3.5316
1,2,1,1,1,2.9104
1,2,1,1,1,3.1159
1,2,1,1,1,30.711
1,2,1,1,1,63.894
1,2,1,1,1,3.0129
1,2,1,1,1,3.6143
1,2,1,1,1,2.7836
1,2,1,1,1,3.0593
1,2,1,1,1,2.9966
1,2,1,1,1,3.1674
1,2,1,1,1,2.8832
1,2,1,1,1,3.6237
1,2,1,1,1,2.995
1,2,1,1,1,3.4527
1,2,1,1,1,2.6521
1,2,1,1,1,3.8152
1,2,1,1,1,2.8347
1,2,1,1,2,67.862
1,2,1,1,2,8.4068
1,2,1,1,2,48.142
1,2,1,1,2,62.584
1,2,1,1,2,10.895
1,2,1,1,2,7.4505
1,2,1,1,2,2.3449
1,2,1,1,2,3.5182
1,2,1,1,2,42.034
1,2,1,1,2,51.675
1,2,1,1,2,2.686
1,2,1,1,2,64.742
1,2,1,1,2,54.159
1,2,1,1,2,3.8343
1,2,1,1,2,55.221
1,2,1,1,2,49.408
1,2,1,1,2,3.4877
1,2,1,1,2,3.3607
1,2,1,1,2,2.8738
1,2,1,1,2,3.5945
1,2,1,1,2,3.4075
1,2,1,1,2,3.538
1,2,1,1,2,3.124
1,2,1,1,2,3.2315
1,2,1,1,2,3.6814
1,2,1,1,2,3.292
1,2,1,1,2,88.009
1,2,1,1,2,42.35
1,2,1,1,2,3.5116
1,2,1,1,2,2.1597
1,2,1,1,2,3.6176
1,2,1,1,2,3.3647
1,2,1,1,2,2.7316
1,2,1,1,2,4.7492
1,2,1,1,2,3.1397
1,2,1,1,2,3.713
1,2,1,1,2,3.0512
1,2,1,1,2,3.3952
1,2,1,1,2,3.1985
1,2,1,1,2,3.1894
1,2,1,1,2,3.679
1,2,1,1,2,3.239
1,2,1,1,2,3.4662
1,2,1,1,2,3.9582
1,2,1,1,2,3.3607
1,2,1,1,2,4.2414
1,2,1,1,2,47.734
1,2,1,1,2,104.31
1,2,1,1,2,3.2978
1,2,1,1,2,3.9471
1,2,1,1,2,3.0762
1,2,1,1,2,2.8929
1,2,1,1,2,3.6106
1,2,1,1,2,3.8084
1,2,1,1,2,3.2427
1,2,1,1,2,4.1446
1,2,1,1,2,3.527
1,2,1,1,2,4.5133
1,2,1,1,2,3.1537
1,2,1,1,2,3.5649
1,2,1,1,2,3.4366
1,2,1,1,2,3.0982
1,2,1,1,2,3.6316
1,2,1,1,2,4.7572
1,2,1,1,2,3.4075
1,2,1,1,2,3.4598
1,2,1,1,2,3.8448
1,2,1,1,2,3.8007
1,2,1,1,2,3.5292
1,2,1,1,2,13.188
1,2,1,1,2,24.127
1,2,1,1,2,3.3931
1,2,1,1,2,14.305
1,2,1,1,2,2.226
1,2,1,1,2,4.8433
1,2,1,1,2,3.4788
1,2,1,1,2,4.5567
1,2,1,1,2,3.4927
1,2,1,1,2,5.1992
1,2,1,1,2,3.8356
1,2,1,1,2,4.0712
1,2,1,1,2,3.7397
1,2,1,1,2,4.9023
1,2,1,1,2,4.3997
1,2,1,1,2,5.1129
1,2,1,1,2,4.2359
1,2,1,1,2,3.7939
1,2,1,1,2,4.4673
1,2,1,1,2,5.2885
1,2,1,1,2,88.739
1,2,1,1,2,19.983
1,2,1,1,2,3.8639
1,2,1,1,2,5.015
1,2,1,1,2,3.54
1,2,1,1,2,5.1481
1,2,1,1,2,54.538
1,2,1,1,2,16.621
1,2,1,1,2,36.871
1,2,1,1,2,56.909
1,2,1,1,2,4.2053
1,2,1,1,2,4.9346
1,2,1,1,2,4.658
1,2,1,1,2,4.4902
1,2,1,1,2,3.4927
1,2,1,1,2,4.0336
1,2,1,1,2,3.4042
1,2,1,1,2,4.422
1,2,1,1,2,3.9189
1,2,1,1,2,4.396
1,2,1,1,2,3.3605
1,2,1,1,2,4.3021
1,2,1,1,2,3.3053
1,2,1,1,2,3.5665
1,2,1,1,2,4.0058
1,2,1,1,2,4.2705
1,2,1,1,2,3.4765
1,2,1,1,2,3.9845
1,2,1,1,2,3.8105
1,2,1,1,2,4.4826
1,2,1,1,2,3.5044
1,2,1,1,2,4.8255
1,2,1,1,2,2.9381
1,2,1,1,2,3.6434
1,2,1,1,2,3.9936
1,2,1,1,2,4.267
1,2,1,1,2,3.3011
1,2,1,1,2,3.4445
1,2,1,1,2,53.975
1,2,1,1,2,52.356
1,2,1,1,2,4.1323
1,2,1,1,2,8.1274
1,2,1,1,2,17.723
1,2,1,1,2,51.447
1,2,1,1,2,13.084
1,2,1,1,2,3.3752
1,2,1,1,2,4.0668
1,2,1,1,2,2.9921
1,2,1,1,2,4.3686
1,2,1,1,2,3.0631
1,2,1,1,2,3.934
1,2,1,1,2,3.514
1,2,1,1,2,3.9223
1,2,1,1,2,3.261
1,2,1,1,2,4.2735
1,2,1,1,2,3.267
1,2,1,1,2,4.5525
1,2,1,1,2,3.7824
1,2,1,1,2,3.8878
1,2,1,1,2,4.3758
1,2,1,1,2,4.3939
1,2,1,1,2,3.6902
1,2,1,1,2,4.0825
1,2,1,1,2,3.9783
1,2,1,1,2,4.0451
1,2,1,1,2,3.9903
1,2,1,1,2,3.777
1,2,1,1,2,4.5525
1,2,1,1,2,4.1142
1,2,1,1,2,3.737
1,2,1,1,2,4.8173
1,2,1,1,2,3.4862
1,2,1,1,2,4.0856
1,2,1,1,2,3.2771
1,2,1,1,2,3.9223
1,2,1,1,2,3.514
1,2,1,1,2,5.7041
1,2,1,1,2,76.798
1,2,1,1,2,33.752
1,2,1,1,2,4.1561
1,2,1,1,2,4.1529
1,2,1,1,2,4.0482
1,2,1,1,2,4.1367
1,2,1,1,2,4.1627
1,2,1,1,2,4.3939
1,2,1,1,2,4.0482
1,2,1,1,2,5.1901
1,2,1,1,2,4.1758
1,2,1,1,2,4.9617
1,2,1,1,2,3.7529
1,2,1,1,2,3.9428
1,2,1,1,2,4.1791
1,2,1,1,2,5.9944
1,2,1,1,2,3.9223
1,2,1,1,2,5.3257
1,2,1,1,2,65.421
1,2,1,1,2,65.421
1,2,1,1,2,4.6442
1,2,1,1,2,5.3798
1,2,1,1,2,4.2735
1,2,1,1,2,4.875
1,2,1,1,2,3.6697
1,2,1,1,2,4.8261
1,2,1,1,2,3.6147
1,2,1,1,2,67.862
1,2,1,1,2,8.4068
1,2,1,1,2,48.142
1,2,1,1,2,62.584
1,2,1,1,2,10.895
1,2,1,1,2,7.4505
1,2,1,1,2,2.3449
1,2,1,1,2,3.5182
1,2,1,1,2,42.034
1,2,1,1,2,51.675
1,2,1,1,2,2.686
1,2,1,1,2,64.742
1,2,1,1,2,54.159
1,2,1,1,2,3.8343
1,2,1,1,2,55.221
1,2,1,1,2,49.408
1,2,1,1,2,3.4877
1,2,1,1,2,3.3607
1,2,1,1,2,2.8738
1,2,1,1,2,3.5945
1,2,1,1,2,3.4075
1,2,1,1,2,3.538
1,2,1,1,2,3.124
1,2,1,1,2,3.2315
1,2,1,1,2,3.6814
1,2,1,1,2,3.292
1,2,1,1,2,88.009
1,2,1,1,2,42.35
1,2,1,1,2,3.5116
1,2,1,1,2,2.1597
1,2,1,1,2,3.6176
1,2,1,1,2,3.3647
1,2,1,1,2,2.7316
1,2,1,1,2,4.7492
1,2,1,1,2,3.1397
1,2,1,1,2,3.713
1,2,1,1,2,3.0512
1,2,1,1,2,3.3952
1,2,1,1,2,3.1985
1,2,1,1,2,3.1894
1,2,1,1,2,3.679
1,2,1,1,2,3.239
1,2,1,1,2,3.4662
1,2,1,1,2,3.9582
1,2,1,1,2,3.3607
1,2,1,1,2,4.2414
1,2,1,1,2,47.734
1,2,1,1,2,104.31
1,2,1,1,2,3.2978
1,2,1,1,2,3.9471
1,2,1,1,2,3.0762
1,2,1,1,2,2.8929
1,2,1,1,2,3.6106
1,2,1,1,2,3.8084
1,2,1,1,2,3.2427
1,2,1,1,2,4.1446
1,2,1,1,2,3.527
1,2,1,1,2,4.5133
1,2,1,1,2,3.1537
1,2,1,1,2,3.5649
1,2,1,1,2,3.4366
1,2,1,1,2,3.0982
1,2,1,1,2,3.6316
1,2,1,1,2,4.7572
1,2,1,1,2,3.4075
1,2,1,1,2,3.4598
1,2,1,1,2,3.8448
1,2,1,1,2,3.8007
1,2,1,1,2,3.5292
1,2,1,1,2,13.188
1,2,1,1,2,24.127
1,2,1,1,2,3.3931
1,2,1,1,2,14.305
1,2,1,1,2,2.226
1,2,1,1,2,4.8433
1,2,1,1,2,3.4788
1,2,1,1,2,4.5567
1,2,1,1,2,3.4927
1,2,1,1,2,5.1992
1,2,1,1,2,3.8356
1,2,1,1,2,4.0712
1,2,1,1,2,3.7397
1,2,1,1,2,4.9023
1,2,1,1,2,4.3997
1,2,1,1,2,5.1129
1,2,1,1,2,4.2359
1,2,1,1,2,3.7939
1,2,1,1,2,4.4673
1,2,1,1,2,5.2885
1,2,1,1,2,88.739
1,2,1,1,2,19.983
1,2,1,1,2,3.8639
1,2,1,1,2,5.015
1,2,1,1,2,3.54
1,2,1,1,2,5.1481
1,2,1,1,2,54.538
1,2,1,1,2,16.621
1,2,1,1,2,36.871
1,2,1,1,2,56.909
1,2,1,1,2,4.2053
1,2,1,1,2,4.9346
1,2,1,1,2,4.658
1,2,1,1,2,4.4902
1,2,1,1,2,3.4927
1,2,1,1,2,4.0336
1,2,1,1,2,3.4042
1,2,1,1,2,4.422
1,2,1,1,2,3.9189
1,2,1,1,2,4.396
1,2,1,1,2,3.3605
1,2,1,1,2,4.3021
1,2,1,1,2,3.3053
1,2,1,1,2,3.5665
1,2,1,1,2,4.0058
1,2,1,1,2,4.2705
1,2,1,1,2,3.4765
1,2,1,1,2,3.9845
1,2,1,1,2,3.8105
1,2,1,1,2,4.4826
1,2,1,1,2,3.5044
1,2,1,1,2,4.8255
1,2,1,1,2,2.9381
1,2,1,1,2,3.6434
1,2,1,1,2,3.9936
1,2,1,1,2,4.267
1,2,1,1,2,3.3011
1,2,1,1,2,3.4445
1,2,1,1,2,53.975
1,2,1,1,2,52.356
1,2,1,1,2,4.1323
1,2,1,1,2,8.1274
1,2,1,1,2,17.723
1,2,1,1,2,51.447
1,2,1,1,2,13.084
1,2,1,1,2,3.3752
1,2,1,1,2,4.0668
1,2,1,1,2,2.9921
1,2,1,1,2,4.3686
1,2,1,1,2,3.0631
1,2,1,1,2,3.934
1,2,1,1,2,3.514
1,2,1,1,2,3.9223
1,2,1,1,2,3.261
1,2,1,1,2,4.2735
1,2,1,1,2,3.267
1,2,1,1,2,4.5525
1,2,1,1,2,3.7824
1,2,1,1,2,3.8878
1,2,1,1,2,4.3758
1,2,1,1,2,4.3939
1,2,1,1,2,3.6902
1,2,1,1,2,4.0825
1,2,1,1,2,3.9783
1,2,1,1,2,4.0451
1,2,1,1,2,3.9903
1,2,1,1,2,3.777
1,2,1,1,2,4.5525
1,2,1,1,2,4.1142
1,2,1,1,2,3.737
1,2,1,1,2,4.8173
1,2,1,1,2,3.4862
1,2,1,1,2,4.0856
1,2,1,1,2,3.2771
1,2,1,1,2,3.9223
1,2,1,1,2,3.514
1,2,1,1,2,5.7041
1,2,1,1,2,76.798
1,2,1,1,2,33.752
1,2,1,1,2,4.1561
1,2,1,1,2,4.1529
1,2,1,1,2,4.0482
1,2,1,1,2,4.1367
1,2,1,1,2,4.1627
1,2,1,1,2,4.3939
1,2,1,1,2,4.0482
1,2,1,1,2,5.1901
1,2,1,1,2,4.1758
1,2,1,1,2,4.9617
1,2,1,1,2,3.7529
1,2,1,1,2,3.9428
1,2,1,1,2,4.1791
1,2,1,1,2,5.9944
1,2,1,1,2,3.9223
1,2,1,1,2,5.3257
1,2,1,1,2,65.421
1,2,1,1,2,65.421
1,2,1,1,2,4.6442
1,2,1,1,2,5.3798
1,2,1,1,2,4.2735
