group , participant , session , IDRight , IDLeft , value
2,4,4,1,2,0.046213
2,4,4,1,2,0.019248
2,4,4,2,1,0.030273
2,4,4,2,1,0.023358
2,4,4,2,1,0.025873
2,4,4,2,2,0.043472
2,4,4,2,2,0.017552
2,4,4,2,2,0.02074
2,4,4,3,1,2.9833e-05
2,4,4,3,1,4.2448e-05
2,4,4,3,1,4.9981e-05
2,4,4,3,2,0.10084
2,4,4,3,2,0.13423
2,4,4,3,2,0.1572
2,4,7,1,1,0.01593
2,4,7,1,1,0.01943
2,4,7,1,1,0.019703
2,4,7,1,2,0.017671
2,4,7,1,2,0.012794
2,4,7,1,2,0.014829
2,4,7,2,1,5.4678e-06
2,4,7,2,1,3.0539e-06
2,4,7,2,1,3.6998e-06
2,4,7,2,2,0.023286
2,4,7,2,2,0.036134
2,4,7,2,2,0.023937
2,4,7,3,1,1.3216e-05
2,4,7,3,1,4.1161e-06
2,4,7,3,1,4.4108e-05
2,4,7,3,2,0.11753
2,4,7,3,2,0.17648
2,4,7,3,2,0.16957
2,5,1,1,1,0.032102
2,5,1,1,1,0.023969
2,5,1,1,1,0.040839
2,5,1,1,2,0.015377
2,5,1,1,2,0.00081745
2,5,1,1,2,0.033138
2,5,1,2,1,3.7931e-06
2,5,1,2,1,3.3516e-06
2,5,1,2,1,0.00013205
2,5,1,2,2,0.016651
2,5,1,2,2,0.044796
2,5,1,2,2,0.020255
2,5,1,3,1,0.00013361
2,5,1,3,1,0.00012843
2,5,1,3,1,0.00010605
2,5,1,3,2,0.14676
2,5,1,3,2,0.10492
2,5,1,3,2,0.14338
2,5,4,1,1,0.022161
2,5,4,1,1,0.02169
2,5,4,1,1,0.03352
2,5,4,1,2,0.036959
2,5,4,1,2,0.036587
2,5,4,1,2,0.031019
2,5,4,2,1,8.5245e-06
2,5,4,2,1,1.7686e-05
2,5,4,2,1,4.2688e-06
2,5,4,2,2,0.088181
2,5,4,2,2,0.052871
2,5,4,2,2,0.042398
2,5,4,3,1,1.3202e-05
2,5,4,3,1,1.0724e-05
2,5,4,3,1,0.0004694
2,5,4,3,2,0.10505
2,5,4,3,2,0.12641
2,5,4,3,2,0.15281
2,5,7,1,1,0.02668
2,5,7,1,1,0.037451
2,5,7,1,1,0.033083
2,5,7,1,2,0.022504
2,5,7,1,2,0.037988
2,5,7,1,2,0.035154
2,5,7,2,1,2.0274e-05
2,5,7,2,1,5.976e-05
2,5,7,2,1,1.6887e-05
2,5,7,2,2,0.068847
2,5,7,2,2,0.0532
2,5,7,2,2,0.059222
2,5,7,3,1,1.3576e-05
2,5,7,3,1,7.9411e-06
2,5,7,3,1,1.8723e-05
2,5,7,3,2,0.15355
2,5,7,3,2,0.15632
2,5,7,3,2,0.15271
2,7,1,1,1,0.02423
2,7,1,1,1,0.028556
2,7,1,1,1,0.023733
2,7,1,1,2,0.063802
2,7,1,1,2,0.06907
2,7,1,1,2,0.045559
2,7,1,2,1,0.029721
2,7,1,2,1,0.044384
2,7,1,2,1,0.031468
2,7,1,2,2,0.078078
2,7,1,2,2,0.10038
2,7,1,2,2,0.061189
2,7,1,3,1,0.050158
2,7,1,3,1,0.047774
2,7,1,3,1,0.0383
2,7,1,3,2,0.16279
2,7,1,3,2,0.13251
2,7,1,3,2,0.13393
2,7,4,1,1,0.040839
2,7,4,1,1,0.02347
2,7,4,1,1,0.026879
2,7,4,1,2,0.054682
2,7,4,1,2,0.038364
2,7,4,1,2,0.06622
2,7,4,2,1,0.03513
2,7,4,2,1,0.03513
2,7,4,2,1,0.031181
2,7,4,2,2,0.10862
2,7,4,2,2,0.084064
2,7,4,2,2,0.10575
2,7,4,3,1,1.7051e-05
2,7,4,3,1,9.4742e-06
2,7,4,3,1,2.4726e-06
2,7,4,3,2,0.14672
2,7,4,3,2,0.135
2,7,4,3,2,0.15209
2,7,7,1,1,0.032308
2,7,7,1,1,0.030455
2,7,7,1,1,0.027714
2,7,7,1,2,0.039929
2,7,7,1,2,0.030043
2,7,7,1,2,0.026677
2,7,7,2,1,7.8857e-06
2,7,7,2,1,2.7058e-05
2,7,7,2,1,5.2449e-06
2,7,7,2,2,0.053428
2,7,7,2,2,0.064858
2,7,7,2,2,0.062376
2,7,7,3,1,8.8885e-06
2,7,7,3,1,2.5366e-06
2,7,7,3,1,8.0966e-06
2,7,7,3,2,0.15608
2,7,7,3,2,0.1659
2,7,7,3,2,0.17601
2,10,1,1,1,0.028544
2,10,1,1,1,0.019649
2,10,1,1,1,0.030162
2,10,1,1,2,0.020594
2,10,1,1,2,0.029873
2,10,1,1,2,0.034182
2,10,1,2,1,0.030932
2,10,1,2,1,0.028401
2,10,1,2,1,0.038217
2,10,1,2,2,0.042194
2,10,1,2,2,0.032513
2,10,1,2,2,0.035911
2,10,1,3,1,0.030784
2,10,1,3,1,0.03788
2,10,1,3,1,0.036045
2,10,1,3,2,0.068737
2,10,1,3,2,0.069046
2,10,1,3,2,0.07366
2,10,4,1,1,0.018669
2,10,4,1,1,0.02078
2,10,4,1,1,0.02618
2,10,4,1,2,0.029618
2,10,4,1,2,0.03129
2,10,4,1,2,0.02376
2,10,4,2,1,0.030188
2,10,4,2,1,0.038812
2,10,4,2,1,0.033877
2,10,4,2,2,0.090568
2,10,4,2,2,0.04852
2,10,4,2,2,0.059531
2,10,4,3,1,0.026308
2,10,4,3,1,0.025768
2,10,4,3,1,0.026518
2,10,4,3,2,0.084869
2,10,4,3,2,0.077905
2,10,4,3,2,0.11373
2,10,7,1,1,0.030141
2,10,7,1,1,0.028195
2,10,7,1,1,0.029847
2,10,7,1,2,0.028541
2,10,7,1,2,0.030777
2,10,7,1,2,0.046325
2,10,7,2,1,0.030961
2,10,7,2,1,0.028127
2,10,7,2,1,0.02765
2,10,7,2,2,0.068582
2,10,7,2,2,0.051708
2,10,7,2,2,0.062914
2,10,7,3,1,0.028867
2,10,7,3,1,0.028588
2,10,7,3,1,0.03206
2,10,7,3,2,0.088636
2,10,7,3,2,0.090046
2,10,7,3,2,0.075931
